,Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID,MLBID
274,Jasson Dominguez,NYY,60.4856,237.522,211.804,51.2769,33.4456,9.85727,0.558396,7.41555,30.813,26.1197,22.0134,0.582598,60.5528,1.5557,2.02962,0.119918,3.05107,10.5328,2.37124,0.242096,0.09267941495945639,0.2549355428128763,0.363541,0.315271,0.398943,0.311584,0.714213,0.156847,5.55614,0.300698,-0.102909,0.76294,27.7813,-0.283755,98.7499,0.660031,0.0362403,0.3090910017490387,-2.4768140353262424,0.600683,325.9800109863281,8.77873,0.889172,1.31436,8.77873,-0.889172,3.24753,261.4,4.356666666,261.4,4.356666666,,,,,,,,,,,,,,,,,,,Jasson Dominguez,28080,691176,691176.0
275,Andrew Vaughn,MIL,128.944,536.87,488.629,122.448,78.3892,24.4327,0.770059,18.856,55.2187,72.9633,37.597,0.186351,105.212,5.70596,4.3991,0.539212,10.5155,0.50736,0.170489,0.250595,0.07002998863784529,0.19597295434648984,0.357344,0.309046,0.419518,0.315934,0.728563,0.168923,1.80675,0.280767,-0.798384,-0.770488,64.6902,1.25487,102.765,-1.56887,-2.29876,0.1903120279312133,-12.248154878616331,0.593818,303.7699890136719,2.10014,1.38239,0.664968,2.10014,-1.38239,4.11338,582.0,4.511627906,582.0,4.511627906,,,,,,,,,,,,,,,,,,,Andrew Vaughn,26197,683734,683734.0
276,Jose Trevino,CIN,70.0644,253.797,234.718,54.9986,38.43,10.1611,0.481319,5.92612,24.625,25.1749,14.5269,0.0999538,39.8534,1.49487,1.98963,1.06712,6.43534,0.872611,0.208845,0.234318,0.057238265227721366,0.15702864888079843,0.364508,0.281013,0.357453,0.27916,0.638467,0.123136,2.87184,0.257021,-0.19601,-0.269816,23.0037,-6.98435,71.9387,-0.465827,0.785405,-8.90670171380043,6.19160658121109,0.586126,999.0,1.6317,-0.72372,1.13021,1.6317,0.72372,3.49305,208.3,2.975714285,208.3,2.975714285,,,,,,,,,,,,,,,,,,,Jose Trevino,16725,624431,624431.0
277,Tyler Freeman,COL,83.7681,343.655,302.545,83.0856,59.9273,16.0746,1.80787,5.27583,43.9626,31.5801,26.1622,0.235668,45.9679,10.462,2.31157,2.1741,7.47052,13.0918,4.21854,0.274622,0.07612925754026567,0.13376176688830368,0.569141,0.350561,0.392019,0.32851,0.74258,0.117397,5.77536,0.306805,0.144901,0.254942,44.9175,4.31201,96.9718,0.399843,-0.734256,-0.8335466980934143,-4.876226544380188,0.585607,744.3300170898438,3.39959,0.205988,1.43922,3.39959,-0.205988,3.08105,388.1,4.620238095,388.1,4.620238095,,,,,,,,,,,,,,,,,,,Tyler Freeman,22532,671289,671289.0
278,Edouard Julien,COL,88.2549,340.989,293.848,71.2333,47.5613,13.8622,1.34664,8.46318,38.3453,32.5019,41.363,1.00035,98.9534,3.04597,1.74235,0.988911,5.32231,3.60118,1.3654,0.242415,0.12130303323567623,0.29019528489188806,0.418005,0.340125,0.385159,0.320974,0.725284,0.142744,3.97858,0.333575,-0.14226,-0.439473,42.4827,2.19224,91.8095,-0.581733,-1.5304,-3.8918692469596863,-1.7573917657136915,0.582722,999.0,3.02282,-1.68637,0.862719,3.02282,1.68637,3.84971,361.9,4.1125,361.9,4.1125,,,,,,,,,,,,,,,,,,,Edouard Julien,27534,666397,666397.0
279,Edgar Quero,CWS,109.994,429.872,383.927,97.5112,71.3003,17.6118,0.339974,8.25919,41.7571,43.6022,36.5286,0.424663,78.2821,5.31046,3.54084,0.565111,8.84063,0.908731,0.650728,0.253984,0.08497552759891315,0.1821056035284922,0.466627,0.324594,0.366165,0.305752,0.690758,0.112181,2.04467,0.296591,-0.279236,-0.828843,48.2437,-2.54903,94.7436,-1.10808,-1.79749,-3.778699159622192,-5.118575215339661,0.578214,589.2999877929688,1.67511,-1.10558,0.78184,1.67511,1.10558,3.95755,417.3,3.793636363,417.3,3.793636363,,,,,,,,,,,,,,,,,,,Edgar Quero,28022,700337,700337.0
280,Josh Lowe,LAA,114.754,471.158,428.288,101.678,63.9778,22.3334,2.05186,13.3151,56.6879,49.2476,36.8169,1.95794,127.074,2.28407,2.94489,0.824389,4.87705,20.8115,4.03033,0.237406,0.07814130291749263,0.26970570381910103,0.289727,0.299318,0.392401,0.300074,0.691718,0.154995,6.13166,0.303817,-0.368171,1.84425,50.7053,-4.96565,90.0756,1.47608,-1.51186,-4.035114884376526,-6.6249920129776,0.568489,299.29998779296875,1.95688,-2.05801,0.941186,1.95688,2.05801,3.74508,486.3,4.228695652,486.3,4.228695652,,,,,,,,,,,,,,,,,,,Josh Lowe,19953,666139,666139.0
281,Nick Fortes,TB,89.9511,308.152,280.178,62.4795,44.0772,11.0734,0.475699,6.8532,29.2424,29.3137,17.2459,0.140168,55.6842,5.53039,2.13181,3.06536,6.23674,2.06859,0.808519,0.222999,0.05596556244970015,0.18070367870401619,0.30971,0.279448,0.339298,0.273151,0.618746,0.116299,3.10717,0.253108,0.174613,-0.357804,26.4269,-9.98362,72.3488,-0.183191,-1.5818,-10.25397638976574,5.358869910240173,0.566205,999.0,1.21396,0.870585,0.869914,1.21396,-0.870585,3.84011,234.9,2.61,234.9,2.61,,,,,,,,,,,,,,,,,,,Nick Fortes,21538,663743,663743.0
282,Taylor Walls,TB,85.5549,325.841,288.851,61.6375,41.3746,13.0758,1.86287,5.32429,36.8912,29.3579,31.4321,0.189675,77.2836,0.955714,2.92572,1.67683,2.91877,14.4849,3.93698,0.213389,0.09646453331532863,0.23718193843009322,0.406711,0.290054,0.326853,0.274628,0.616908,0.113465,6.29545,0.269224,0.0320699,0.799011,28.3346,-10.166,73.3633,0.831081,0.540091,-9.427125990390778,3.825469553470612,0.55517,999.0,3.24813,0.190599,1.18514,3.24813,-0.190599,3.41981,265.7,3.089534883,265.7,3.089534883,,,,,,,,,,,,,,,,,,,Taylor Walls,22458,670764,670764.0
283,Travis d'Arnaud,LAA,60.4613,221.296,202.799,44.1755,27.0379,9.47448,0.547288,7.11581,21.8757,24.6705,13.9989,0.00513852,63.4756,3.15122,1.22173,0.124425,3.8612,0.262685,0.176856,0.217829,0.06325871231292025,0.28683573132817586,0.22054,0.277277,0.375208,0.285022,0.652485,0.15738,2.56718,0.277747,-0.249249,-0.31157,21.1111,-5.03673,79.7067,-0.560819,-0.729278,-5.853781580924988,3.6249346137046814,0.551238,999.0,2.04156,-0.0118168,1.09907,2.04156,0.0118168,3.53457,192.0,3.2,192.0,3.2,,,,,,,,,,,,,,,,,,,Travis d'Arnaud,7739,518595,518595.0
