,BatterName,batter,PA L15,xwOBA L15,xwOBA OE L15,PA,xwOBA,xwOBA OE,Hot Score
8,Alejandro Kirk,672386,32.0,0.276,-0.068,344.0,0.362,0.031,-0.099
50,Corey Seager,608369,61.0,0.315,-0.017,321.0,0.425,0.084,-0.101
58,Elly De La Cruz,682829,60.0,0.246,-0.093,456.0,0.351,0.009,-0.102
151,Mike Trout,545361,45.0,0.295,-0.051,347.0,0.387,0.052,-0.103
208,Willi Castro,650489,30.0,0.199,-0.125,340.0,0.328,-0.022,-0.10300000000000001
158,Nick Castellanos,592206,46.0,0.212,-0.109,433.0,0.325,-0.001,-0.108
169,Pete Crow-Armstrong,691718,47.0,0.241,-0.104,442.0,0.347,0.004,-0.108
129,Luis Garcia,671277,37.0,0.253,-0.09,366.0,0.359,0.02,-0.11
46,Christopher Morel,666624,31.0,0.205,-0.126,210.0,0.322,-0.013,-0.113
159,Nick Kurtz,701762,53.0,0.284,-0.058,283.0,0.4,0.057,-0.115
146,Michael Conforto,624424,38.0,0.259,-0.108,336.0,0.35,0.008,-0.11599999999999999
0,Aaron Judge,592450,30.0,0.316,0.003,432.0,0.458,0.129,-0.126
61,Eugenio Suarez,553993,52.0,0.219,-0.108,432.0,0.352,0.024,-0.132
190,Steven Kwan,680757,54.0,0.19,-0.167,447.0,0.325,-0.027,-0.14
211,Willy Adames,642715,57.0,0.206,-0.13,454.0,0.345,0.011,-0.14100000000000001
218,Zach McKinstry,656716,34.0,0.183,-0.173,367.0,0.32,-0.021,-0.152
18,Austin Wells,669224,28.0,0.114,-0.194,320.0,0.304,-0.04,-0.154
