,Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID,MLBID
22,Austin Riley,ATL,156,672,606,165,98,32,2,33,88,98,52,3,171,9,5,0,,3,2,0.271965,0.07738095238095238,0.2544642857142857,0.307082,0.336366,0.495376,0.354975,0.831742,0.223411,3.16307,0.323206,-0.0977708,-1.10335,102.274,22.8716,128.284,-1.20112,-1.53516,21.32568335533142,0.464842677116394,4.51691,78.83999633789062,,,,,,,915.5,5.868589743,915.5,5.868589743,,,,,,,,,,,,,,,,,,,Austin Riley,18360,663586,663586.0
23,Ketel Marte,ARI,147,637,559,150,91,31,2,25,85,84,67,3,108,7,4,0,,6,2,0.267782,0.10518053375196232,0.1695447409733124,0.618077,0.350479,0.466607,0.352137,0.817086,0.198825,3.89747,0.28927,-0.105035,-0.572785,95.479,20.2125,125.826,-0.67782,2.51267,18.820287585258484,2.587674379348755,4.35863,42.0,,,,,,,845.1,5.748979591,845.1,5.748979591,,,,,,,,,,,,,,,,,,,Ketel Marte,13613,606466,606466.0
24,Adley Rutschman,BAL,143,573,499,128,83,27,1,17,70,67,66,2,91,3,4,1,,1,1,0.257018,0.11518324607329843,0.15881326352530542,0.726193,0.344991,0.419972,0.334374,0.764964,0.162954,2.57454,0.280497,-0.48526,-1.08201,77.6766,9.925,116.326,-1.56727,6.2882,9.466148853302002,12.188199996948242,4.2347,157.27000427246094,,,,,,,667.7,4.669230769,667.7,4.669230769,,,,,,,,,,,,,,,,,,,Adley Rutschman,26288,668939,668939.0
25,Zach Neto,LAA,154,665,594,152,91,32,1,28,82,90,48,2,159,18,5,1,,30,10,0.255858,0.07218045112781955,0.23909774436090225,0.303418,0.32764,0.45482,0.337528,0.78246,0.198962,5.24963,0.300818,0.594999,1.05138,91.7885,13.2136,115.876,1.64638,-3.04153,14.089976906776428,4.083467483520508,4.20112,32.650001525878906,,,,,,,845.9,5.492857142,845.9,5.492857142,,,,,,,,,,,,,,,,,,,Zach Neto,31347,687263,687263.0
26,Mookie Betts,LAD,151,651,574,150,96,30,2,22,83,80,67,2,85,6,5,0,,11,3,0.261543,0.10291858678955453,0.130568356374808,0.788677,0.342248,0.437428,0.338515,0.779676,0.175885,4.40805,0.271469,-0.285021,-0.0559728,90.3777,13.457,117.988,-0.340993,-1.53386,13.538132220506668,5.441136240959168,4.1578,65.0,,,,,,,802.7,5.315894039,802.7,5.315894039,,,,,,,,,,,,,,,,,,,Mookie Betts,13611,605141,605141.0
27,Jazz Chisholm Jr.,NYY,143,616,547,135,82,22,2,29,78,81,60,2,159,5,4,0,,34,9,0.24637,0.09740259740259741,0.25811688311688313,0.376228,0.324264,0.452311,0.334628,0.776575,0.205942,5.87959,0.291733,0.939898,2.05519,83.5744,10.7892,116.185,2.99509,1.96418,14.745566844940186,3.5641850233078003,4.04252,21.729999542236328,,,,,,,791.2,5.532867132,791.2,5.532867132,,,,,,,,,,,,,,,,,,,Jazz Chisholm Jr.,20454,665862,665862.0
28,Jeremy Pena,HOU,151,651,591,160,109,31,2,18,79,75,42,2,116,12,5,2,,19,5,0.271266,0.06451612903225806,0.1781874039938556,0.35877,0.329088,0.424051,0.326901,0.75314,0.152786,5.0961,0.307714,0.861071,0.517347,84.2389,7.31828,110.309,1.37842,0.721818,9.28832197189331,7.696818113327026,4.03024,93.16000366210938,,,,,,,759.6,5.030463576,759.6,5.030463576,,,,,,,,,,,,,,,,,,,Jeremy Pena,21636,665161,665161.0
29,Geraldo Perdomo,ARI,159,686,591,152,105,31,4,13,88,66,80,2,94,8,5,2,,21,6,0.257622,0.11661807580174927,0.13702623906705538,0.85055,0.351853,0.386816,0.327094,0.738669,0.129194,5.36389,0.285551,0.447014,0.456428,88.8755,7.81931,108.671,0.903441,0.950782,7.953382432460785,8.300781965255737,3.99812,91.02999877929688,,,,,,,782.2,4.919496855,782.2,4.919496855,,,,,,,,,,,,,,,,,,,Geraldo Perdomo,22799,672695,672695.0
30,Bryce Harper,PHI,154,665,576,155,90,35,0,31,88,97,79,3,144,5,5,0,,11,4,0.269885,0.11879699248120301,0.21654135338345865,0.549335,0.360599,0.492447,0.36597,0.853046,0.222562,3.39762,0.306943,0.212808,-0.425502,107.145,28.5698,134.676,-0.212694,1.62884,27.117714554071423,-10.346160650253296,3.97957,54.29999923706055,,,,,,,946.6,6.146753246,946.6,6.146753246,,,,,,,,,,,,,,,,,,,Bryce Harper,11579,547180,547180.0
31,Riley Greene,DET,151,651,583,157,94,29,4,30,92,89,59,3,175,5,5,0,,5,2,0.269507,0.09062980030721966,0.26881720430107525,0.335889,0.339059,0.486412,0.352827,0.82547,0.216905,4.57438,0.333368,0.00652152,-0.686877,97.9423,21.0216,127.343,-0.680355,3.7482,20.299062371253967,-3.826796531677246,3.97777,82.37999725341797,,,,,,,881.0,5.834437086,881.0,5.834437086,,,,,,,,,,,,,,,,,,,Riley Greene,25976,682985,682985.0
