,Hitter,ID,Team,OppSP,SPID,SP Hand,Proj K,Proj BB,Proj HR,Proj TB,Proj BIP,PA,K%,BB%,Brl%,ISO,xwOBA,FB%,Hard%,FB%,Pull%,Split PA,Split K%,Split BB%,Split Brl%,Split ISO,Split xwOBA,Split Hard%,Split FB%,Split Pull%,IsHot,IsCold
200,Manny Machado,592518,SD,Brandon Pfaadt,694297,R,0.68,0.27,0.21,2.14,3.32,1110.0,0.185,0.068,0.119,0.2,0.359,0.242,0.502,0.242,0.358,827.0,0.18,0.058,0.11,0.186,0.354,0.496,0.22,0.354,N,N
201,Jackson Merrill,701538,SD,Brandon Pfaadt,694297,R,0.72,0.23,0.19,2.19,3.32,924.0,0.187,0.055,0.116,0.186,0.365,0.319,0.428,0.319,0.349,649.0,0.199,0.057,0.129,0.208,0.378,0.46,0.338,0.356,N,N
202,Xander Bogaerts,593428,SD,Brandon Pfaadt,694297,R,0.58,0.28,0.12,1.75,3.1999999999999993,904.0,0.162,0.076,0.058,0.116,0.32,0.233,0.36,0.233,0.418,660.0,0.168,0.071,0.052,0.119,0.316,0.34,0.226,0.408,N,N
203,Ryan O'Hearn,656811,SD,Brandon Pfaadt,694297,R,0.54,0.36,0.13,1.6700000000000002,2.9400000000000004,855.0,0.157,0.097,0.076,0.169,0.358,0.259,0.432,0.259,0.405,747.0,0.15,0.1,0.083,0.182,0.37,0.457,0.273,0.401,N,N
204,Ramon Laureano,657656,SD,Brandon Pfaadt,694297,R,0.97,0.2,0.19,1.9100000000000001,2.65,606.0,0.281,0.059,0.124,0.208,0.336,0.287,0.439,0.287,0.406,397.0,0.282,0.058,0.123,0.207,0.329,0.444,0.302,0.381,N,N
205,Jake Cronenworth,630105,SD,Brandon Pfaadt,694297,R,0.61,0.36,0.12,1.54,2.75,988.0,0.188,0.103,0.074,0.148,0.326,0.27,0.367,0.27,0.36,712.0,0.188,0.107,0.095,0.17,0.346,0.405,0.283,0.357,N,N
206,Elias Diaz,553869,SD,Brandon Pfaadt,694297,R,0.74,0.18,0.1,1.29,2.64,583.0,0.223,0.062,0.051,0.112,0.266,0.206,0.357,0.206,0.374,412.0,0.233,0.066,0.06,0.122,0.274,0.377,0.204,0.405,N,N
207,Ketel Marte,606466,ARI,JP Sears,676664,L,0.69,0.46,0.3,2.49,3.3800000000000003,918.0,0.17,0.109,0.135,0.267,0.399,0.254,0.515,0.254,0.482,320.0,0.147,0.056,0.144,0.293,0.418,0.544,0.244,0.476,N,N
208,Corbin Carroll,682998,ARI,JP Sears,676664,L,0.98,0.37,0.19,1.9000000000000001,3.1599999999999997,1105.0,0.211,0.098,0.098,0.237,0.343,0.261,0.44,0.261,0.43,340.0,0.226,0.079,0.092,0.187,0.326,0.373,0.219,0.474,N,N
209,Geraldo Perdomo,672695,ARI,JP Sears,676664,L,0.47,0.46,0.09,1.5899999999999999,3.3500000000000005,873.0,0.127,0.116,0.044,0.126,0.317,0.253,0.293,0.253,0.396,265.0,0.098,0.094,0.019,0.074,0.309,0.294,0.164,0.336,N,N
210,Lourdes Gurriel Jr.,666971,ARI,JP Sears,676664,L,0.61,0.22,0.14,1.7300000000000002,3.34,983.0,0.161,0.054,0.067,0.155,0.312,0.274,0.396,0.274,0.387,296.0,0.142,0.064,0.072,0.156,0.346,0.404,0.298,0.379,N,N
211,Tyler Locklear,682988,ARI,JP Sears,676664,L,1.0,0.33,0.18,1.76,2.81,57.0,0.404,0.07,0.069,0.135,0.204,0.241,0.414,0.241,0.517,20.0,0.45,0.05,0.1,0.158,0.136,0.4,0.2,0.5,N,N
212,James McCann,543510,ARI,JP Sears,676664,L,1.0,0.22,0.16,1.69,2.8299999999999996,292.0,0.243,0.072,0.087,0.156,0.319,0.276,0.393,0.276,0.296,106.0,0.198,0.057,0.104,0.155,0.325,0.403,0.299,0.403,N,N
213,Blaze Alexander,677942,ARI,JP Sears,676664,L,1.08,0.3,0.1,1.3200000000000003,2.56,249.0,0.281,0.072,0.051,0.09,0.257,0.218,0.359,0.218,0.269,119.0,0.286,0.084,0.111,0.125,0.305,0.389,0.25,0.333,N,N
214,Connor Kaiser,663731,ARI,JP Sears,676664,L,1.04,0.37,0.11,1.29,2.46,,,,,,,,,,,,,,,,,,,,N,N
215,Jorge Barrosa,678489,ARI,JP Sears,676664,L,0.81,0.3,0.08,1.1900000000000002,2.56,44.0,0.25,0.0,0.03,0.095,0.223,0.182,0.242,0.182,0.333,19.0,0.211,0.0,0.067,0.105,0.2,0.2,0.333,0.4,N,N
216,Brendan Donovan,680977,STL,Tyler Glasnow,607192,R,0.71,0.5,0.13,1.76,3.25,1098.0,0.128,0.076,0.067,0.135,0.342,0.221,0.382,0.221,0.37,759.0,0.123,0.079,0.074,0.151,0.36,0.398,0.243,0.368,N,N
217,Ivan Herrera,671056,STL,Tyler Glasnow,607192,R,1.11,0.55,0.17,1.7800000000000002,2.7399999999999998,499.0,0.198,0.098,0.093,0.148,0.36,0.19,0.429,0.19,0.364,348.0,0.204,0.083,0.066,0.119,0.331,0.403,0.173,0.354,N,N
218,Alec Burleson,676475,STL,Tyler Glasnow,607192,R,0.67,0.41,0.17,1.8400000000000003,3.27,972.0,0.129,0.066,0.076,0.162,0.336,0.271,0.419,0.271,0.358,755.0,0.128,0.073,0.08,0.181,0.352,0.447,0.288,0.384,N,N
219,Willson Contreras,575929,STL,Tyler Glasnow,607192,R,1.31,0.47,0.19,1.6300000000000001,2.1600000000000006,799.0,0.257,0.095,0.129,0.197,0.367,0.266,0.474,0.266,0.358,590.0,0.261,0.085,0.128,0.182,0.356,0.481,0.272,0.342,N,Y
220,Lars Nootbaar,663457,STL,Tyler Glasnow,607192,R,0.98,0.7,0.16,1.4700000000000002,2.34,792.0,0.207,0.121,0.101,0.162,0.342,0.23,0.506,0.23,0.369,547.0,0.186,0.124,0.115,0.18,0.365,0.512,0.261,0.347,Y,N
221,Masyn Winn,691026,STL,Tyler Glasnow,607192,R,0.82,0.33,0.11,1.51,2.87,1047.0,0.17,0.063,0.043,0.137,0.295,0.246,0.338,0.246,0.351,719.0,0.159,0.057,0.036,0.117,0.296,0.307,0.219,0.335,N,N
222,Nolan Gorman,669357,STL,Tyler Glasnow,607192,R,1.61,0.52,0.17,1.29,1.78,632.0,0.351,0.092,0.145,0.192,0.318,0.379,0.399,0.379,0.407,467.0,0.353,0.092,0.159,0.198,0.331,0.411,0.388,0.415,N,N
223,Pedro Pages,686780,STL,Tyler Glasnow,607192,R,1.22,0.25,0.11,1.18,2.2800000000000002,496.0,0.264,0.054,0.062,0.128,0.261,0.258,0.389,0.258,0.347,327.0,0.251,0.055,0.071,0.146,0.261,0.354,0.27,0.363,N,N
224,Victor Scott II,687363,STL,Tyler Glasnow,607192,R,1.08,0.4,0.08,1.07,2.0500000000000003,531.0,0.256,0.077,0.047,0.096,0.271,0.253,0.285,0.253,0.433,382.0,0.236,0.086,0.051,0.112,0.274,0.3,0.269,0.439,N,N
225,Mookie Betts,605141,LAD,Sonny Gray,543243,R,0.55,0.35,0.14,1.81,3.4400000000000004,955.0,0.112,0.102,0.056,0.167,0.337,0.353,0.365,0.353,0.366,676.0,0.12,0.104,0.055,0.165,0.328,0.35,0.365,0.375,N,N
226,Shohei Ohtani,660271,LAD,Sonny Gray,543243,R,1.13,0.47,0.31,2.31,2.6300000000000003,1212.0,0.245,0.106,0.218,0.334,0.434,0.329,0.593,0.329,0.441,798.0,0.239,0.118,0.239,0.386,0.463,0.622,0.361,0.468,Y,N
227,Freddie Freeman,518692,LAD,Sonny Gray,543243,R,0.93,0.39,0.13,1.6900000000000002,2.81,1038.0,0.19,0.099,0.09,0.188,0.358,0.302,0.431,0.302,0.378,706.0,0.19,0.108,0.098,0.199,0.373,0.445,0.308,0.404,N,N
228,Teoscar Hernandez,606192,LAD,Sonny Gray,543243,R,1.23,0.21,0.19,1.82,2.6700000000000004,1013.0,0.273,0.067,0.135,0.218,0.343,0.263,0.458,0.263,0.339,770.0,0.284,0.069,0.133,0.193,0.328,0.446,0.247,0.344,N,N
229,Michael Conforto,624424,LAD,Sonny Gray,543243,R,1.02,0.36,0.16,1.6400000000000001,2.57,833.0,0.238,0.097,0.109,0.186,0.347,0.296,0.447,0.296,0.42,661.0,0.236,0.1,0.109,0.183,0.341,0.455,0.309,0.439,Y,N
230,Andy Pages,681624,LAD,Sonny Gray,543243,R,0.96,0.17,0.16,1.8000000000000003,2.7300000000000004,874.0,0.229,0.055,0.093,0.174,0.324,0.307,0.392,0.307,0.378,659.0,0.231,0.058,0.103,0.184,0.32,0.386,0.301,0.389,N,N
231,Alex Freeland,690976,LAD,Sonny Gray,543243,R,1.01,0.39,0.12,1.33,2.3699999999999997,11.0,0.364,0.091,0.0,0.0,0.317,0.0,0.4,0.0,0.4,9.0,0.333,0.111,0.0,0.0,0.387,0.5,0.0,0.25,N,N
232,Dalton Rushing,687221,LAD,Sonny Gray,543243,R,1.09,0.32,0.16,1.5100000000000002,2.17,92.0,0.402,0.076,0.106,0.072,0.278,0.34,0.426,0.34,0.489,69.0,0.406,0.087,0.114,0.095,0.288,0.429,0.371,0.486,N,N
233,Miguel Rojas,500743,LAD,Sonny Gray,543243,R,0.46,0.19,0.08,1.27,2.7500000000000004,515.0,0.113,0.072,0.031,0.138,0.307,0.199,0.273,0.199,0.41,314.0,0.115,0.07,0.028,0.122,0.306,0.272,0.177,0.421,N,N
