,Hitter,ID,Team,OppSP,SPID,SP Hand,Proj K,Proj BB,Proj HR,Proj TB,Proj BIP,PA,K%,BB%,Brl%,ISO,xwOBA,FB%,Hard%,FB%,Pull%,Split PA,Split K%,Split BB%,Split Brl%,Split ISO,Split xwOBA,Split Hard%,Split FB%,Split Pull%,IsHot,IsCold
33,Zach McKinstry,656716,DET,Pierson Ohl,701487,R,0.74,0.28,0.06,1.21,2.57,700.0,0.214,0.089,0.054,0.152,0.307,0.266,0.317,0.266,0.402,576.0,0.214,0.095,0.056,0.145,0.311,0.323,0.293,0.366,N,N
34,Dillon Dingler,693307,DET,Pierson Ohl,701487,R,0.96,0.1,0.11,1.42,2.65,393.0,0.26,0.036,0.074,0.148,0.331,0.274,0.456,0.274,0.404,292.0,0.257,0.038,0.075,0.132,0.339,0.457,0.256,0.402,N,N
35,Javier Baez,595879,DET,Pierson Ohl,701487,R,0.83,0.1,0.09,1.2600000000000002,2.55,610.0,0.241,0.033,0.071,0.14,0.276,0.268,0.408,0.268,0.44,449.0,0.243,0.033,0.069,0.151,0.275,0.399,0.277,0.443,N,N
36,Jeremy Pena,665161,HOU,Sandy Alcantara,645261,R,0.69,0.17,0.12,1.83,3.65,1003.0,0.166,0.043,0.062,0.141,0.322,0.226,0.397,0.226,0.404,782.0,0.182,0.043,0.062,0.131,0.321,0.393,0.209,0.412,Y,N
37,Jose Altuve,514888,HOU,Sandy Alcantara,645261,R,0.7,0.26,0.11,1.6500000000000001,3.41,1132.0,0.17,0.071,0.06,0.158,0.311,0.251,0.308,0.251,0.527,887.0,0.166,0.07,0.058,0.153,0.31,0.29,0.245,0.517,N,N
38,Jesus Sanchez,660821,HOU,Sandy Alcantara,645261,R,0.87,0.31,0.17,1.85,3.1300000000000003,879.0,0.24,0.077,0.119,0.164,0.345,0.213,0.492,0.213,0.371,705.0,0.227,0.081,0.134,0.183,0.369,0.522,0.221,0.384,N,N
39,Carlos Correa,621043,HOU,Sandy Alcantara,645261,R,0.7,0.27,0.11,1.5799999999999998,3.2400000000000007,736.0,0.178,0.086,0.076,0.16,0.344,0.212,0.455,0.212,0.351,560.0,0.177,0.082,0.073,0.134,0.335,0.441,0.201,0.337,N,N
40,Christian Walker,572233,HOU,Sandy Alcantara,645261,R,0.99,0.24,0.16,1.58,2.78,990.0,0.253,0.081,0.125,0.19,0.335,0.303,0.465,0.303,0.39,752.0,0.254,0.08,0.138,0.216,0.349,0.474,0.303,0.39,N,N
41,Victor Caratini,605170,HOU,Sandy Alcantara,645261,R,0.66,0.24,0.13,1.51,3.03,559.0,0.181,0.061,0.07,0.148,0.319,0.261,0.408,0.261,0.408,454.0,0.161,0.062,0.061,0.141,0.312,0.402,0.257,0.405,N,N
42,Yainer Diaz,673237,HOU,Sandy Alcantara,645261,R,0.59,0.12,0.13,1.69,3.2100000000000004,1010.0,0.17,0.037,0.08,0.151,0.339,0.208,0.458,0.208,0.378,766.0,0.17,0.035,0.076,0.143,0.332,0.45,0.193,0.384,N,N
