,player_name,pitcher,Split,zone,xwOBA,IsBIP,BatterName,batter
5993,,,R,2,0.31675757575757574,26,Ivan Herrera,671056.0
14991,,,L,4,0.3167317073170731,37,Yandy Diaz,650490.0
14865,,,L,6,0.3167291666666667,44,Wilmer Flores,527038.0
1826,,,R,9,0.3167054263565891,88,Brent Rooker,667670.0
695,,,L,2,0.31668421052631573,16,Andrew Benintendi,643217.0
352,Merrill Kelly,518876.0,R,7,0.3166808510638298,36,,
400,Quinn Priester,682990.0,R,1,0.31663157894736843,18,,
224,Jake Irvin,663623.0,R,8,0.31661538461538463,66,,
11229,,,R,1,0.316609756097561,32,Nick Castellanos,592206.0
10270,,,R,2,0.3166,13,Matt Wallner,670242.0
12529,,,R,7,0.31655,19,Romy Gonzalez,663853.0
9798,,,L,8,0.3165,31,Maikel Garcia,672580.0
433,Shane Smith,681343.0,L,7,0.3160454545454546,19,,
5428,,,L,4,0.31603333333333333,26,Gleyber Torres,650402.0
364,Michael McGreevy,700241.0,R,1,0.31579999999999997,6,,
822,,,R,2,0.31574074074074077,23,Andruw Monasterio,655316.0
9234,,,R,2,0.3156136363636364,37,Lenyn Sosa,672820.0
2141,,,L,9,0.3156060606060606,29,Bryce Harper,547180.0
13246,,,R,6,0.3155702479338843,90,Spencer Torkelson,679529.0
273,Kevin Gausman,592332.0,R,1,0.3155645161290323,52,,
3760,,,L,8,0.3155454545454546,10,Darell Hernaiz,687231.0
13224,,,R,4,0.31552336448598134,102,Spencer Steer,668715.0
30,Cam Schlittler,693645.0,R,4,0.3155,4,,
10540,,,L,4,0.3155,25,Michael Conforto,624424.0
7948,,,L,2,0.3154375,15,Jorge Polanco,593871.0
4675,,,R,1,0.31534210526315787,19,Elly De La Cruz,682829.0
5810,,,R,6,0.3153333333333333,3,Hunter Feduccia,676439.0
11537,,,L,6,0.31523529411764706,14,Noelvi Marte,682622.0
10012,,,R,4,0.3152178217821782,95,Masataka Yoshida,807799.0
8818,,,R,7,0.31519565217391304,39,Kody Clemens,665019.0
14267,,,R,9,0.3151515151515152,15,Tyler Soderstrom,691016.0
5826,,,R,4,0.31508823529411767,33,Hunter Goodman,696100.0
7291,,,R,4,0.31475384615384616,53,Joc Pederson,592626.0
10565,,,L,6,0.31474418604651166,42,Michael Harris II,671739.0
13199,,,L,8,0.3147,10,Spencer Horwitz,687462.0
11592,,,L,5,0.3146857142857143,25,Nolan Jones,666134.0
6075,,,R,9,0.31456,31,J.P. Crawford,641487.0
9194,,,L,9,0.31453333333333333,9,Lars Nootbaar,663457.0
139,Eduardo Rodriguez,593958.0,R,1,0.3144754098360656,58,,
8129,,,R,4,0.31442857142857145,14,Jose Iglesias,578428.0
5427,,,L,3,0.31438095238095237,9,Gleyber Torres,650402.0
4791,,,R,5,0.3142696629213483,83,Enrique Hernandez,571771.0
8223,,,R,4,0.31426923076923075,25,Jose Trevino,624431.0
11971,,,L,5,0.31425925925925924,26,Paul DeJong,657557.0
11123,,,R,5,0.31425000000000003,32,Nathan Lukes,664770.0
8516,,,L,1,0.31425,9,Jurickson Profar,595777.0
694,,,L,1,0.31416666666666665,10,Andrew Benintendi,643217.0
5893,,,L,5,0.31403448275862067,27,Ildemaro Vargas,545121.0
518,Trevor Rogers,669432.0,R,9,0.31402247191011234,81,,
11492,,,R,2,0.31397029702970297,100,Nico Hoerner,663538.0
11037,,,R,4,0.313962962962963,52,Myles Straw,664702.0
12634,,,R,3,0.3139393939393939,26,Royce Lewis,668904.0
13097,,,R,1,0.31392857142857145,66,Seiya Suzuki,673548.0
9453,,,L,9,0.3139166666666667,21,Luis Arraez,650333.0
6306,,,R,8,0.3138125,55,Jackson Holliday,702616.0
2475,,,L,8,0.31371875,28,Carlos Correa,621043.0
6374,,,R,4,0.31366666666666665,3,Jacob Melton,689200.0
7285,,,L,8,0.31366666666666665,6,Joc Pederson,592626.0
6747,,,L,4,0.3136086956521739,18,James Wood,695578.0
14156,,,R,9,0.3136,41,Tyler Freeman,671289.0
2069,,,R,5,0.31351282051282053,38,Brooks Lee,686797.0
3621,,,R,3,0.31349999999999995,3,Dalton Rushing,687221.0
11842,,,R,7,0.31344827586206897,22,Otto Lopez,672640.0
11055,,,R,4,0.3134166666666667,11,Nacho Alvarez,805373.0
13467,,,L,3,0.31341176470588233,9,Teoscar Hernandez,606192.0
13804,,,L,1,0.313375,4,Trent Grisham,663757.0
