,Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID,MLBID
90,Robbie Ray,SF,9.40927,10.7369,13.3324,4.59003,28.601,28.601,0,0.0,,168.293,722.549,152.378,92.57,85.83,28.304,69.5336,0.484812,6.00755,179.779,9.61425,3.71853,2.5855,1.51364,0.248812,0.0962337,0.1525783389806747,0.235512,1.3186,0.282677,0.709553,,,4.53161,1.91325,1.16618,158.58999633789062,,,,,,,635.6000000000001,3.783333333333334,608,3.619047619047619,,,,,,,,,,,,,,,,,,,Robbie Ray,11486,592662,592662.0
91,Bailey Ober,MIN,7.99317,10.1845,6.18799,4.43223,31.948,24.094,0,0.6512,,143.968,603.815,135.732,75.72,70.9,24.7261,37.2063,1.0318,5.10959,127.701,7.98307,2.32591,3.43224,1.54572,0.21149,0.0616187,0.1498712114989757,0.241732,1.20123,0.271361,0.702842,,,4.47561,1.90648,1.27584,303.04998779296875,,,,,,,538.5000000000001,3.739583333333334,529,3.673611111111111,,,,,,,,,,,,,,,,,,,Bailey Ober,21224,641927,641927.0
92,Nick Martinez,,8.6363,9.86454,8.3492,4.35514,25.556,23.085,0,0.0,,132.361,556.038,130.219,68.48,64.05,18.2226,32.6579,0.57021,5.18012,99.4047,6.75911,2.2206,3.04381,1.23906,0.178773,0.0587333,0.120039839297533,0.251291,1.23055,0.279591,0.687197,,,4.28048,1.89954,1.38679,561.510009765625,,,,,,,501.4000000000002,3.79848484848485,510,3.863636363636364,,,,,,,,,,,,,,,,,,,Nick Martinez,12730,607259,607259.0
93,Michael Soroka,ARI,6.45003,8.61987,3.007,4.14876,36.773,21.58,0,0.6617,,130.897,557.465,116.24,64.4,60.34,15.6623,50.6677,1.5017,8.12164,127.339,8.75537,3.48372,2.51322,1.07688,0.228425,0.0908894,0.1375358924269676,0.233096,1.2751,0.282779,0.707044,,,4.09237,1.89534,1.60864,398.2699890136719,,,,,,,552.0000000000001,4.213740458015268,528,4.030534351145038,,,,,,,,,,,,,,,,,,,Michael Soroka,18383,647336,647336.0
94,Chad Patrick,MIL,7.68269,8.46972,8.99858,4.36009,23.929,23.929,0,0.0,,128.908,544.41,120.79,66.99,62.45,20.6276,38.6571,0.429172,4.99638,120.81,8.43465,2.69893,3.12518,1.44016,0.221911,0.0710073,0.1509033292531967,0.241214,1.2369,0.278755,0.708112,,,4.35693,1.87205,1.33302,329.19000244140625,,,,,,,491.69999999999993,3.811627906976744,482,3.736434108527132,,,,,,,,,,,,,,,,,,,Chad Patrick,30113,694477,694477.0
95,Reid Detmers,LAA,6.00623,9.68064,3.4815,4.4488,32.718,22.015,0,0.6446,,132.548,568.044,122.546,70.08,65.52,19.8957,49.0751,1.80246,6.65788,147.289,10.0009,3.33219,3.00131,1.35092,0.259292,0.0863931,0.1728990077972412,0.239202,1.29478,0.297428,0.706289,,,4.12545,1.85779,1.15985,341.3500061035156,,,,,,,548.4000000000001,4.123308270676692,535,4.022556390977444,,,,,,,,,,,,,,,,,,,Reid Detmers,27468,672282,672282.0
96,Foster Griffin,WSH,5.83778,9.46377,4.81247,4.32282,29.078,21.283,0,0.6556,,126.709,542.806,121.209,65.33,60.86,15.8684,44.9918,1.23346,6.10772,118.221,8.39712,3.19572,2.62762,1.12711,0.217796,0.0828875,0.134908989071846,0.246508,1.31168,0.294564,0.700565,,,4.10701,1.84036,1.31958,515.219970703125,,,,,,,515.4000000000002,4.058267716535434,514,4.047244094488189,,,,,,,,,,,,,,,,,,,Foster Griffin,16432,656492,656492.0
97,Landen Roupp,SF,6.98752,8.89279,4.97678,4.24104,28.07,22.183,0,0.6723,,120.388,517.578,115.013,60.87,56.73,13.3819,46.8675,0.946644,4.84802,108.78,8.13223,3.50374,2.32102,1.00041,0.210172,0.0905517,0.1196203902363777,0.246883,1.34466,0.295698,0.705648,,,4.06173,1.81319,1.31219,440.6199951171875,,,,,,,495.1,4.1258333333333335,497,4.141666666666667,,,,,,,,,,,,,,,,,,,Landen Roupp,30076,694738,694738.0
98,Ryan Pepiot,TB,9.07653,11.2058,12.3579,4.53984,29.388,29.388,0,0.0,,165.257,704.145,149.781,89.25,83.36,27.8515,61.0527,0.454852,8.1518,162.225,8.83488,3.32497,2.65713,1.51681,0.230386,0.0867047,0.1436811611056327,0.235898,1.27579,0.274083,0.707534,,,4.61909,1.81087,1.37528,135.13999938964844,,,,,,,603.6,3.658181818181818,578,3.503030303030303,,,,,,,,,,,,,,,,,,,Ryan Pepiot,26221,686752,686752.0
99,Reynaldo Lopez,ATL,5.83996,7.56077,2.79265,4.50475,29.18,19.238,0,0.6479,,112.681,482.469,106.872,60.1,56.4,14.4528,40.9522,1.0279,3.82788,113.662,9.07831,3.27092,2.77547,1.15437,0.235583,0.0848805,0.1507024690508842,0.244172,1.31188,0.298535,0.687545,,,3.97737,1.80101,0.927484,379.1099853515625,,,,,,,482.8,4.272566371681416,480,4.247787610619469,,,,,,,,,,,,,,,,,,,Reynaldo Lopez,16400,625643,625643.0
