,Pitcher,Team,FGID,SAVID,TBF,IP,GS,H,R,W,QS,SV,ER,HR,HR/9,K%,K/9,K,BB,BB/9,BB%,HBP,1B,2B,3B,ERA,WHIP,GB%,LD%,FB%,FB,GB,LD,L,G,HLD,BS,IBB,K/BB,K-BB%,AVG,BABIP,LOB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,MLBAMID,MLBID,$,Deep $
403,Cade Gibson,MIA,31815,806188.0,262.009,59.9,0.0,56.84,31.04,0.0,0.0,0.0,29.0,8.0,1.2,0.197,7.8,52.0,21.0,3.2,0.079,7.0,36.800000000000004,11.040000000000001,1.0,4.36,1.3,0.515,0.228,0.211,44.5116195,89.30675250000002,44.228106000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.22
404,John King,STL,22051,667463.0,261.578,59.8,0.0,62.28,29.099999999999998,0.0,0.0,0.0,27.0,7.0,1.1,0.148,5.9,39.0,16.0,2.4,0.063,0.0,42.32,11.96,1.0,4.06,1.31,0.613,0.208,0.153,42.658356999999995,107.73042699999998,46.27347199999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.34
405,Enyel De Los Santos,HOU,18403,660853.0,257.511,59.7,0.0,54.160000000000004,30.07,0.0,0.0,0.0,28.0,9.0,1.4,0.229,8.9,59.0,20.0,3.0,0.078,3.0,33.120000000000005,11.040000000000001,1.0,4.22,1.24,0.379,0.242,0.296,49.626058000000015,72.2076995,43.021151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.6
406,Chase Silseth,LAA,30074,681217.0,257.069,59.6,0.0,50.400000000000006,29.099999999999998,0.0,0.0,0.0,27.0,8.0,1.2,0.265,10.3,68.0,25.0,3.8,0.096,3.0,32.2,9.200000000000001,1.0,4.08,1.27,0.47,0.239,0.234,40.525043000000004,73.83105,39.294525500000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.76
407,Jose Butto,SF,23313,676130.0,263.499,59.6,0.0,51.16,28.13,0.0,0.0,2.0,26.0,6.0,0.9,0.227,9.1,60.0,29.0,4.4,0.109,2.0,34.04,10.120000000000001,1.0,3.93,1.34,0.431,0.241,0.262,45.544239000000005,75.12181950000002,41.9670095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
408,PJ Poulin,WSH,23394,676571.0,258.176,59.3,0.0,53.08,29.099999999999998,0.0,0.0,0.0,27.0,7.0,1.1,0.233,9.1,60.0,24.0,3.6,0.093,5.0,34.96,10.120000000000001,1.0,4.1,1.3,0.522,0.228,0.206,40.58300799999999,82.90777599999998,40.757183999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.48
409,Austin Warren,NYM,24937,681810.0,257.18,59.3,0.0,56.84,29.099999999999998,0.0,0.0,1.0,27.0,8.0,1.2,0.206,8.0,53.0,19.0,2.9,0.075,3.0,36.800000000000004,11.040000000000001,1.0,4.1,1.28,0.478,0.238,0.23,45.3691,84.07172,44.25802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.57
410,Joey Wentz,ATL,19962,666214.0,259.173,59.2,4.86,55.08,30.07,2.0,1.4,0.0,28.0,9.0,1.4,0.217,8.5,56.0,22.0,3.3,0.085,1.0,34.96,10.120000000000001,1.0,4.26,1.3,0.38,0.243,0.295,50.275507499999996,73.375065,43.7532795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.91
411,Ryan Fernandez,STL,24862,681676.0,257.18,59.2,0.0,51.24000000000001,28.13,0.0,0.0,0.0,26.0,7.0,1.1,0.245,9.6,63.0,25.0,3.8,0.096,2.0,33.120000000000005,10.120000000000001,1.0,3.95,1.29,0.46,0.239,0.242,42.46418,75.2851,40.51861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.68
412,Blake Treinen,LAD,12572,595014.0,253.058,59.1,0.0,47.64,28.13,0.0,0.0,4.0,26.0,8.0,1.2,0.284,11.0,72.0,25.0,3.8,0.097,3.0,29.44,9.200000000000001,1.0,3.96,1.23,0.394,0.244,0.286,42.603834,64.295896,37.766036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.32
