,Pitcher,Team,FGID,SAVID,TBF,IP,GS,H,R,W,QS,SV,ER,HR,HR/9,K%,K/9,K,BB,BB/9,BB%,HBP,1B,2B,3B,ERA,WHIP,GB%,LD%,FB%,FB,GB,LD,L,G,HLD,BS,IBB,K/BB,K-BB%,AVG,BABIP,LOB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,MLBAMID,MLBID,$,Deep $
525,Will Klein,LAD,27787,694361.0,217.77,49.9,0.0,42.88,24.25,0.0,0.0,0.0,22.0,6.0,1.1,0.248,9.7,54.0,22.0,4.0,0.103,4.0,27.6,8.280000000000001,1.0,3.97,1.3,0.526,0.227,0.203,32.819755,67.76606,33.103295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.59
526,Hunter Stratton,ATL,23455,676702.0,214.777,49.8,0.0,47.64,26.189999999999998,0.0,0.0,0.0,24.0,8.0,1.4,0.206,8.0,44.0,14.0,2.5,0.063,5.0,29.44,9.200000000000001,1.0,4.34,1.24,0.367,0.239,0.302,44.054337000000004,62.47563449999999,37.5480915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.39
527,Bryan Hudson,CWS,19924,663542.0,213.95,49.8,0.0,42.88,24.25,0.0,0.0,0.0,22.0,6.0,1.1,0.247,9.6,53.0,19.0,3.4,0.091,4.0,27.6,8.280000000000001,1.0,3.98,1.24,0.43,0.241,0.263,37.119924999999995,61.03849999999999,34.138974999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.72
531,DL Hall,MIL,22207,669084.0,222.698,49.7,0.0,47.56,26.189999999999998,0.0,0.0,0.0,24.0,7.0,1.3,0.192,7.8,43.0,23.0,4.2,0.105,2.0,30.360000000000003,9.200000000000001,1.0,4.35,1.42,0.426,0.242,0.265,41.133225,67.066744,37.764218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
532,Yuki Matsui,SD,33826,673513.0,214.592,49.6,0.0,42.040000000000006,24.25,0.0,0.0,0.0,22.0,7.0,1.3,0.24,9.4,52.0,22.0,4.0,0.103,0.0,25.76,8.280000000000001,1.0,3.99,1.29,0.34,0.234,0.323,40.982568,54.12792,33.320304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.61
533,Jalen Beeks,FA,17192,656222.0,214.041,49.5,0.0,45.64,24.25,0.0,0.0,0.0,22.0,6.0,1.1,0.2,7.8,43.0,17.0,3.1,0.079,2.0,29.44,9.200000000000001,1.0,4.0,1.27,0.441,0.241,0.256,39.742578,67.0848555,37.0468605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.59
535,Steven Cruz,KC,23165,674444.0,216.45,49.3,0.0,44.72,24.25,0.0,0.0,0.0,22.0,6.0,1.1,0.213,8.4,46.0,20.0,3.7,0.094,1.0,28.52,9.200000000000001,1.0,4.02,1.31,0.406,0.244,0.277,40.395825,62.8881,36.408899999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.4
536,Blade Tidwell,SF,31701,694918.0,221.974,49.3,4.86,48.400000000000006,26.189999999999998,1.0,1.8,0.0,24.0,6.0,1.1,0.186,7.5,41.0,22.0,4.0,0.097,2.0,31.28,10.120000000000001,1.0,4.38,1.43,0.452,0.239,0.249,40.458883,70.107534,38.074273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.28
537,Ryan Rolison,COL,22200,669020.0,223.015,49.3,0.0,51.24000000000001,26.189999999999998,0.0,0.0,0.0,24.0,7.0,1.3,0.171,6.9,38.0,20.0,3.7,0.089,0.0,33.120000000000005,10.120000000000001,1.0,4.38,1.45,0.527,0.228,0.202,38.118465,78.9596775,38.61351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
538,Jake Bird,NYY,21267,656234.0,215.517,49.3,0.0,43.8,24.25,0.0,0.0,0.0,22.0,6.0,1.1,0.242,9.5,52.0,20.0,3.7,0.095,4.0,28.52,8.280000000000001,1.0,4.02,1.29,0.505,0.229,0.217,34.228804499999995,67.0941975,33.6547365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.5
540,Taylor Rashi,ARI,26344,688497.0,217.014,49.2,0.0,45.64,25.22,0.0,0.0,0.0,23.0,6.0,1.1,0.213,8.4,46.0,21.0,3.8,0.098,2.0,29.44,9.200000000000001,1.0,4.21,1.35,0.525,0.227,0.205,34.878255,71.631685,35.028269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.18
541,Yennier Cano,BAL,25911,666974.0,212.224,49.0,0.0,43.72,23.28,0.0,0.0,0.0,21.0,5.0,0.9,0.229,9.0,49.0,19.0,3.5,0.089,2.0,29.44,8.280000000000001,1.0,3.86,1.28,0.613,0.205,0.157,30.070704,75.21281599999999,32.089839999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.66
542,Osvaldo Bido,OAK,23150,674370.0,212.947,48.9,0.0,44.800000000000004,25.22,0.0,0.0,0.0,23.0,7.0,1.3,0.21,8.3,45.0,19.0,3.5,0.091,5.0,27.6,9.200000000000001,1.0,4.23,1.3,0.339,0.232,0.325,43.5669975,57.2701215,35.151492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.3
543,Rob Zastryzny,MIL,15094,642239.0,213.675,48.8,0.0,46.72,26.189999999999998,0.0,0.0,0.0,24.0,8.0,1.5,0.195,7.7,42.0,18.0,3.3,0.086,2.0,28.52,9.200000000000001,1.0,4.43,1.33,0.362,0.237,0.306,43.49002500000001,60.85530000000001,36.6514875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.1
544,Luinder Avila,KC,24452,679883.0,213.033,48.5,1.62,43.72,23.28,0.0,0.5,0.0,21.0,5.0,0.9,0.214,8.5,46.0,20.0,3.7,0.095,2.0,29.44,8.280000000000001,1.0,3.9,1.31,0.538,0.227,0.192,33.229458,71.16397199999999,34.33220549999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.46
545,Orlando Ribalta,WSH,26247,687377.0,211.454,48.1,0.0,42.96,25.22,0.0,0.0,0.0,23.0,7.0,1.3,0.213,8.4,45.0,21.0,3.9,0.098,3.0,26.68,8.280000000000001,1.0,4.3,1.33,0.348,0.232,0.32,42.18166000000001,56.58160600000001,34.327144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.18
547,Lyon Richardson,CIN,24581,680689.0,219.106,47.8,0.0,46.64,27.16,0.0,0.0,0.0,25.0,7.0,1.3,0.181,7.5,40.0,26.0,4.9,0.12,2.0,29.44,9.200000000000001,1.0,4.71,1.52,0.499,0.231,0.22,36.745439999999995,71.117737,36.056462999999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
548,Chase Petty,CIN,30170,695534.0,210.587,47.7,3.24,45.72,25.22,1.0,1.1,0.0,23.0,7.0,1.3,0.205,8.1,43.0,19.0,3.6,0.092,2.0,29.44,8.280000000000001,1.0,4.34,1.36,0.5,0.23,0.219,35.586586499999996,69.09295499999999,34.917944999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.59
549,Sean Reynolds,SD,22253,669308.0,207.08,47.6,3.24,42.96,25.22,1.0,1.4,0.0,23.0,7.0,1.3,0.237,9.3,49.0,20.0,3.8,0.098,5.0,26.68,8.280000000000001,1.0,4.35,1.32,0.395,0.244,0.285,37.626799999999996,56.958000000000006,33.41536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.73
550,Justin Wilson,FA,4301,458677.0,200.083,47.3,0.0,41.040000000000006,22.31,0.0,0.0,0.0,21.0,6.0,1.1,0.262,9.9,52.0,15.0,2.9,0.076,2.0,25.76,8.280000000000001,1.0,4.0,1.18,0.397,0.244,0.283,36.132034499999996,55.0298205,32.206086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.77
551,Ryan Johnson,LAA,35325,696270.0,196.919,46.9,3.24,41.04,21.34,1.0,2.1,0.0,20.0,6.0,1.2,0.26,9.8,51.0,13.0,2.5,0.068,2.0,26.68,7.36,1.0,3.84,1.15,0.527,0.228,0.202,30.704289000000003,63.60174150000001,31.103046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
553,Jason Adam,SD,11861,592094.0,193.44,46.1,0.0,37.28,20.37,0.0,0.0,0.0,19.0,5.0,1.0,0.266,10.0,51.0,15.0,2.9,0.078,5.0,23.92,7.36,1.0,3.71,1.13,0.406,0.244,0.277,34.21764,53.269920000000006,30.84048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.08
554,Andrew Hoffmann,ARI,29633,694851.0,202.674,46.1,0.0,42.88,23.28,0.0,0.0,0.0,21.0,6.0,1.2,0.218,8.6,44.0,19.0,3.7,0.093,2.0,27.6,8.280000000000001,1.0,4.1,1.34,0.516,0.227,0.211,32.893227,66.065802,32.613879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.29
555,Sauryn Lao,WSH,21922,666659.0,196.246,45.8,0.0,40.120000000000005,21.34,0.0,0.0,0.0,20.0,6.0,1.2,0.247,9.4,48.0,16.0,3.1,0.081,2.0,25.76,7.36,1.0,3.93,1.23,0.467,0.24,0.236,32.797008000000005,59.31233100000001,31.739040000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.74
556,Danny Coulombe,FA,13293,543056.0,195.578,45.6,0.0,39.2,21.34,0.0,0.0,0.0,20.0,6.0,1.2,0.254,9.9,50.0,17.0,3.4,0.087,1.0,24.84,7.36,1.0,3.95,1.23,0.406,0.244,0.277,34.523193000000006,53.74560400000001,31.115876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.75
557,Hunter Harvey,FA,15507,640451.0,189.926,45.3,0.0,39.2,21.34,0.0,0.0,0.0,20.0,6.0,1.2,0.271,10.1,51.0,13.0,2.6,0.068,3.0,24.84,7.36,1.0,3.97,1.15,0.461,0.24,0.24,31.481499999999997,56.100032999999996,30.222239999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.83
558,Michael Kopech,FA,17282,656629.0,195.993,44.8,0.0,37.36,23.28,0.0,0.0,0.0,21.0,6.0,1.2,0.254,10.0,50.0,22.0,4.4,0.114,3.0,23.0,7.36,1.0,4.22,1.33,0.371,0.239,0.301,34.780036499999994,49.65919649999999,29.6963235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.35
560,Jose Suarez,ATL,19911,660761.0,197.313,44.4,0.0,42.96,24.25,0.0,0.0,0.0,22.0,7.0,1.4,0.207,8.3,41.0,19.0,3.9,0.096,2.0,26.68,8.280000000000001,1.0,4.46,1.4,0.383,0.242,0.293,37.96704449999999,55.81773449999999,33.09243299999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
561,Jonathan Loaisiga,FA,19753,642528.0,190.921,44.3,0.0,42.88,22.31,0.0,0.0,0.0,21.0,6.0,1.2,0.205,7.9,39.0,13.0,2.6,0.066,4.0,27.6,8.280000000000001,1.0,4.27,1.26,0.501,0.23,0.219,33.271579499999994,64.6677255,32.646435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.29
564,Tim Mayza,FA,15042,641835.0,189.655,43.9,0.0,42.88,21.34,0.0,0.0,0.0,20.0,6.0,1.2,0.199,7.8,38.0,13.0,2.7,0.071,1.0,27.6,8.280000000000001,1.0,4.1,1.27,0.534,0.228,0.195,31.5440125,66.83171,32.44527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.41
565,Carlos Rodriguez,MIL,30161,692230.0,191.294,43.6,3.24,40.120000000000005,21.34,1.0,1.2,0.0,20.0,6.0,1.2,0.207,8.3,40.0,17.0,3.5,0.091,0.0,25.76,7.36,1.0,4.13,1.31,0.454,0.241,0.245,33.909235,59.35794800000001,32.297707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.84
566,Nick Raquet,STL,20333,675919.0,190.229,43.3,0.0,41.040000000000006,22.31,0.0,0.0,0.0,21.0,6.0,1.2,0.204,8.1,39.0,17.0,3.5,0.089,2.0,25.76,8.280000000000001,1.0,4.36,1.34,0.445,0.24,0.255,34.563967500000004,58.725187500000004,32.214960000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.07
567,Andrew Chafin,FA,12988,605177.0,190.476,43.1,0.0,35.44,21.34,0.0,0.0,0.0,20.0,5.0,1.0,0.256,10.2,49.0,23.0,4.8,0.121,1.0,23.0,6.44,1.0,4.18,1.36,0.411,0.243,0.274,31.633092,49.819157999999995,28.611953999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.28
569,Jack Perkins,OAK,31468,678022.0,189.374,43.0,3.24,40.120000000000005,22.31,1.0,1.3,0.0,21.0,6.0,1.3,0.205,8.2,39.0,17.0,3.6,0.091,2.0,24.84,8.280000000000001,1.0,4.4,1.33,0.385,0.242,0.293,36.877911,54.34990499999999,32.143133999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.58
570,Luis Peralta,COL,24203,678821.0,191.083,42.9,0.0,40.120000000000005,23.28,0.0,0.0,0.0,21.0,6.0,1.3,0.229,9.2,44.0,20.0,4.2,0.105,5.0,24.84,8.280000000000001,1.0,4.41,1.4,0.394,0.244,0.286,34.693659000000004,52.35819600000001,30.754085999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.02
571,Lou Trivino,FA,15043,642152.0,186.147,42.9,0.0,37.36,22.31,0.0,0.0,0.0,21.0,6.0,1.3,0.223,8.8,42.0,17.0,3.6,0.089,5.0,23.0,7.36,1.0,4.41,1.27,0.338,0.232,0.325,37.19049749999999,48.824448,30.006691999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.27
572,J.P. France,HOU,21212,641585.0,189.573,42.8,0.0,42.96,23.28,0.0,0.0,0.0,21.0,7.0,1.5,0.177,7.1,34.0,16.0,3.4,0.083,1.0,26.68,8.280000000000001,1.0,4.42,1.38,0.405,0.244,0.278,37.545137000000004,58.2717275,33.776666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
573,David Robertson,FA,8241,502085.0,177.815,42.7,0.0,32.6,18.43,0.0,0.0,0.0,17.0,5.0,1.1,0.312,11.6,55.0,15.0,3.2,0.083,2.0,21.16,6.44,0.0,3.58,1.11,0.444,0.24,0.254,27.708455,47.115155,25.8756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.25
574,Rolddy Munoz,ATL,27407,691548.0,185.512,42.5,0.0,36.36,20.37,0.0,0.0,0.0,19.0,5.0,1.1,0.261,10.2,48.0,19.0,4.0,0.102,2.0,23.92,6.44,1.0,4.02,1.3,0.584,0.22,0.168,25.361568000000002,60.085584000000004,27.257759999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.43
575,Chris Martin,FA,11847,455119.0,172.555,42.5,0.0,37.28,17.46,0.0,0.0,0.0,16.0,5.0,1.1,0.254,9.3,44.0,5.0,1.1,0.029,1.0,23.92,7.36,1.0,3.39,0.99,0.49,0.235,0.224,29.90031,56.8353,29.3443125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.41
576,Michel Otanez,TEX,22533,671305.0,181.582,42.4,0.0,33.52,19.4,0.0,0.0,0.0,18.0,5.0,1.1,0.276,10.6,50.0,18.0,3.8,0.101,4.0,22.080000000000002,6.44,0.0,3.82,1.22,0.526,0.226,0.204,26.351023999999995,54.292196,26.464605999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.76
577,Justin Bruihl,TOR,23779,677865.0,181.818,42.2,0.0,41.96,21.34,0.0,0.0,0.0,20.0,6.0,1.3,0.193,7.5,35.0,11.0,2.3,0.063,4.0,26.68,8.280000000000001,1.0,4.27,1.25,0.49,0.234,0.224,32.867956,62.47628,32.188866000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.29
578,Josh Simpson,MIA,25957,681006.0,183.486,42.2,0.0,36.28,20.37,0.0,0.0,0.0,19.0,4.0,0.9,0.249,9.8,46.0,18.0,3.8,0.099,4.0,23.92,7.36,1.0,4.05,1.29,0.555,0.224,0.182,26.406405999999997,58.846855,27.720751999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.46
579,Luis Mey,CIN,25620,682825.0,189.019,42.2,0.0,38.2,21.34,0.0,0.0,0.0,20.0,5.0,1.1,0.216,8.7,41.0,21.0,4.5,0.113,2.0,24.84,7.36,1.0,4.27,1.4,0.536,0.229,0.193,28.769803500000002,61.350177,29.7859555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
583,Fraser Ellard,CWS,29530,686642.0,184.291,42.0,0.0,35.44,20.37,0.0,0.0,0.0,19.0,5.0,1.1,0.243,9.6,45.0,20.0,4.3,0.108,2.0,23.0,6.44,1.0,4.07,1.32,0.447,0.239,0.253,30.5981415,52.3091035,28.5701945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.39
585,Nolan Hoffman,PHI,23381,676510.0,183.326,41.8,0.0,38.28,21.34,0.0,0.0,0.0,20.0,6.0,1.3,0.232,9.3,43.0,18.0,3.9,0.097,2.0,23.92,7.36,1.0,4.31,1.35,0.462,0.24,0.24,30.5815,54.557396,29.35824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.2
586,Juan Burgos,ARI,27271,686228.0,184.697,41.7,0.0,38.2,21.34,0.0,0.0,0.0,20.0,5.0,1.1,0.214,8.6,40.0,19.0,4.1,0.101,2.0,24.84,7.36,1.0,4.32,1.37,0.554,0.222,0.184,27.904734,61.842924000000004,29.036006999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.13
587,Tristan Beck,SF,21584,663941.0,179.564,41.6,0.0,39.120000000000005,19.4,0.0,0.0,0.0,18.0,5.0,1.1,0.199,7.8,36.0,12.0,2.6,0.067,1.0,24.84,8.280000000000001,1.0,3.89,1.23,0.391,0.242,0.288,36.048536,54.00702199999999,31.706923999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
588,Scott Effross,NYY,18384,664123.0,173.536,41.5,0.0,36.36,18.43,0.0,0.0,0.0,17.0,5.0,1.1,0.248,9.3,43.0,10.0,2.2,0.055,2.0,23.92,6.44,1.0,3.69,1.12,0.564,0.222,0.18,26.51792,59.906392000000004,27.843815999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.07
589,Jackson Kowar,SEA,21549,663804.0,182.529,41.4,0.0,37.36,21.34,0.0,0.0,0.0,20.0,6.0,1.3,0.216,8.5,39.0,19.0,4.1,0.103,2.0,23.0,7.36,1.0,4.35,1.36,0.368,0.239,0.302,34.992649,49.687071,29.824695499999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.04
590,George Soriano,BAL,21863,666277.0,182.529,41.3,0.0,38.28,22.31,0.0,0.0,0.0,21.0,6.0,1.3,0.213,8.5,39.0,18.0,3.9,0.1,4.0,23.92,7.36,1.0,4.58,1.36,0.435,0.241,0.26,32.63754,54.2912925,30.189724499999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
591,Yerry De los Santos,NYY,21420,660787.0,181.976,41.2,0.0,39.120000000000005,20.37,0.0,0.0,0.0,19.0,5.0,1.1,0.201,8.1,37.0,17.0,3.7,0.095,1.0,25.76,7.36,1.0,4.15,1.36,0.569,0.221,0.177,27.962756,63.92401199999999,29.498468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.17
594,Bryan Hoeing,SD,26304,663773.0,180.369,41.0,1.62,41.04,21.34,0.0,0.7,0.0,20.0,6.0,1.3,0.185,7.2,33.0,14.0,3.1,0.075,1.0,26.68,7.36,1.0,4.39,1.34,0.492,0.234,0.222,32.141929,61.48310899999999,31.608452999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.05
595,Zach Brzykcy,MIA,27783,694350.0,177.384,41.0,0.0,36.44,21.34,0.0,0.0,0.0,20.0,6.0,1.3,0.233,9.0,41.0,16.0,3.5,0.09,3.0,22.080000000000002,7.36,1.0,4.39,1.28,0.314,0.235,0.342,36.235584,44.782847999999994,28.591199999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.25
596,Craig Yoho,MIL,33248,684974.0,172.265,40.9,0.0,31.68,17.46,0.0,0.0,0.0,16.0,4.0,0.9,0.299,11.4,52.0,16.0,3.5,0.095,2.0,21.16,5.5200000000000005,1.0,3.52,1.17,0.555,0.224,0.183,23.0946975,51.3505125,24.189479999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.11
597,Garrett Acton,COL,27583,670183.0,176.835,40.6,0.0,36.44,20.37,0.0,0.0,0.0,19.0,6.0,1.3,0.244,9.5,43.0,16.0,3.5,0.092,2.0,22.080000000000002,7.36,1.0,4.21,1.29,0.369,0.239,0.302,33.11163500000001,47.0750825,28.2214825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.4
598,Troy Taylor,SEA,31883,700187.0,173.611,40.4,0.0,35.36,18.43,0.0,0.0,0.0,17.0,5.0,1.1,0.227,8.7,39.0,14.0,3.1,0.082,1.0,23.92,6.44,0.0,3.79,1.22,0.517,0.228,0.21,28.343584999999997,57.1093085,28.222973999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.65
599,Brandon Waddell,NYM,18347,663399.0,179.411,40.4,0.0,39.2,21.34,0.0,0.0,0.0,20.0,6.0,1.3,0.183,7.4,33.0,16.0,3.6,0.09,1.0,24.84,7.36,1.0,4.46,1.37,0.406,0.244,0.278,35.080559,54.511798000000006,31.559462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
600,Philip Abner,ARI,33821,691769.0,173.085,40.4,0.0,34.519999999999996,19.4,0.0,0.0,0.0,18.0,5.0,1.1,0.26,10.0,45.0,15.0,3.3,0.085,2.0,21.16,7.36,1.0,4.01,1.23,0.445,0.24,0.255,29.119387500000002,49.4746875,27.1404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.57
601,Alan Rangel,PHI,19524,660604.0,173.241,40.3,3.24,34.6,19.4,1.0,1.1,0.0,18.0,6.0,1.3,0.252,9.8,44.0,15.0,3.3,0.088,2.0,21.16,6.44,1.0,4.02,1.23,0.392,0.242,0.288,31.302034000000006,46.95305100000001,27.532081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.02
602,Andre Granillo,STL,29542,701552.0,173.762,40.2,0.0,37.28,19.4,0.0,0.0,0.0,18.0,5.0,1.1,0.227,8.7,39.0,14.0,3.1,0.08,2.0,23.92,7.36,1.0,4.03,1.28,0.465,0.24,0.237,30.009357,54.040995,28.982879999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.43
604,Eric Orze,TB,27626,679358.0,172.861,40.0,0.0,35.52,20.37,0.0,0.0,0.0,19.0,6.0,1.4,0.234,9.0,40.0,15.0,3.4,0.089,4.0,22.080000000000002,6.44,1.0,4.28,1.26,0.365,0.24,0.303,33.177871499999995,46.84974749999999,28.286639999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.34
605,Chase Shugart,PIT,21544,663767.0,174.444,40.0,0.0,38.28,20.37,0.0,0.0,0.0,19.0,6.0,1.4,0.19,7.4,33.0,14.0,3.2,0.083,1.0,23.0,8.280000000000001,1.0,4.28,1.31,0.338,0.232,0.325,37.27737,48.938495999999994,30.076783999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.19
606,Cam Booser,CWS,16061,592155.0,172.563,39.9,0.0,34.6,20.37,0.0,0.0,0.0,19.0,6.0,1.4,0.238,9.2,41.0,17.0,3.8,0.098,1.0,21.16,6.44,1.0,4.29,1.29,0.339,0.232,0.325,33.509677499999995,44.0494735,27.036867999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.3
607,Colin Holderman,PIT,22361,670059.0,182.055,39.9,0.0,39.120000000000005,22.31,0.0,0.0,0.0,21.0,5.0,1.1,0.18,7.4,33.0,21.0,4.7,0.114,3.0,24.84,8.280000000000001,1.0,4.74,1.51,0.468,0.239,0.236,31.757640000000002,57.496695,30.669172500000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
608,Alek Jacob,SD,29628,689690.0,171.504,39.9,0.0,37.36,21.34,0.0,0.0,0.0,20.0,6.0,1.4,0.217,8.3,37.0,13.0,2.9,0.078,6.0,23.0,7.36,1.0,4.51,1.26,0.373,0.24,0.3,34.02112,48.78385599999999,29.160959999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.19
610,Michael Tonkin,MIN,10315,543859.0,172.488,39.6,0.0,37.36,20.37,0.0,0.0,0.0,19.0,6.0,1.4,0.205,8.0,35.0,14.0,3.2,0.08,3.0,23.0,7.36,1.0,4.32,1.3,0.387,0.242,0.291,34.02094399999999,50.44484799999999,29.760607999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.25
