,Hitter,Pos,Team,Sal,Opp,Park,OppSP,LU,DKPts,FDPts,Floor,Ceil,Value,PA,R,HR,RBI,SB,SO,BB,HBP,1B,2B,3B,Date,MainSlate,Ownership,LastUpdate,TopPlayScore
0,Kyle Schwarber,DH,PHI,5900.0,WSH,WSH,Mitchell Parker,1,7.940000000000001,10.823,0.71,17.62,1.45,4.43,0.64,0.2,0.51,0.03,1.23,0.64,0.04,0.46,0.15,0.01,2025-03-30,Main,,13:53,0.97
1,Alec Bohm,3B,PHI,5000.0,WSH,WSH,Mitchell Parker,2,7.4,9.671999999999999,0.74,16.39,1.66,4.4,0.56,0.12,0.46,0.04,0.57,0.26,0.04,0.72,0.24,0.01,2025-03-30,Main,,13:53,0.96
2,Bryce Harper,1B,PHI,5600.0,WSH,WSH,Mitchell Parker,3,7.75,10.335,1.13,19.99,1.49,4.28,0.55,0.14,0.53,0.06,0.93,0.46,0.03,0.58,0.23,0.01,2025-03-30,Main,,13:53,1.03
3,Nick Castellanos,OF,PHI,4600.0,WSH,WSH,Mitchell Parker,4,7.380000000000001,9.745000000000001,0.64,19.51,1.63,4.12,0.5,0.14,0.57,0.04,0.87,0.22,0.04,0.63,0.23,0.02,2025-03-30,Main,,13:53,1.03
4,Bryson Stott,2B,PHI,3900.0,WSH,WSH,Mitchell Parker,5,6.9,9.005,0.63,19.65,1.73,4.16,0.45,0.06,0.49,0.15,0.64,0.32,0.02,0.7,0.17,0.01,2025-03-30,Main,,13:53,1.04
5,Edmundo Sosa,SS,PHI,2900.0,WSH,WSH,Mitchell Parker,6,7.069999999999999,9.658,0.14,16.02,2.55,3.96,0.49,0.13,0.52,0.07,0.88,0.14,0.17,0.6,0.2,0.04,2025-03-30,Main,,13:53,1.13
6,Brandon Marsh,OF,PHI,3200.0,WSH,WSH,Mitchell Parker,7,6.1899999999999995,8.21,0.32,15.2,1.64,3.93,0.4,0.08,0.42,0.1,1.21,0.38,0.03,0.51,0.16,0.02,2025-03-30,Main,,13:53,0.9
7,Johan Rojas,OF,PHI,2400.0,WSH,WSH,Mitchell Parker,8,6.069999999999999,7.855,0.29,16.28,2.11,3.8,0.4,0.04,0.37,0.2,0.72,0.12,0.06,0.66,0.15,0.02,2025-03-30,Main,,13:53,1.02
8,Rafael Marchan,C,PHI,3000.0,WSH,WSH,Mitchell Parker,9,5.57,7.558,0.38,16.58,1.72,3.4,0.44,0.07,0.36,0.02,0.51,0.34,0.09,0.57,0.14,0.01,2025-03-30,Main,,13:53,0.93
9,C.J. Abrams,SS,WSH,5100.0,PHI,WSH,Aaron Nola,1,8.26,10.952000000000002,0.71,22.4,1.98,4.6,0.61,0.13,0.48,0.19,0.99,0.21,0.11,0.7,0.23,0.02,2025-03-30,Main,,13:53,1.2
10,James Wood,OF,WSH,4900.0,PHI,WSH,Aaron Nola,2,8.060000000000002,10.616,0.7,21.73,1.82,4.49,0.58,0.14,0.48,0.13,1.38,0.4,0.04,0.66,0.19,0.02,2025-03-30,Main,,13:53,1.15
11,Luis Garcia,2B,WSH,4200.0,PHI,WSH,Aaron Nola,3,7.07,9.019000000000002,,,1.69,4.06,0.47,0.1,0.45,0.12,0.65,0.16,0.0,0.71,0.22,0.01,2025-03-30,Main,,13:53,
12,Keibert Ruiz,C,WSH,3100.0,PHI,WSH,Aaron Nola,4,6.57,8.519,0.31,15.81,2.31,4.29,0.42,0.11,0.49,0.04,0.51,0.13,0.04,0.72,0.19,0.01,2025-03-30,Main,,13:53,1.06
13,Nathaniel Lowe,1B,WSH,3200.0,PHI,WSH,Aaron Nola,5,6.57,8.698,0.42,15.24,1.88,4.17,0.44,0.09,0.48,0.03,1.0,0.4,0.03,0.65,0.17,0.01,2025-03-30,Main,,13:53,0.96
14,Josh Bell,DH,WSH,3100.0,PHI,WSH,Aaron Nola,6,6.070000000000001,7.976999999999999,0.43,15.82,1.62,4.0,0.41,0.13,0.43,0.0,0.92,0.27,0.02,0.54,0.17,0.01,2025-03-30,Main,,13:53,0.9
15,Paul DeJong,3B,WSH,2500.0,PHI,WSH,Aaron Nola,7,5.42,7.185,0.0,14.05,1.79,3.89,0.35,0.14,0.37,0.03,1.32,0.14,0.06,0.44,0.15,0.01,2025-03-30,Main,,13:53,0.88
16,Dylan Crews,OF,WSH,3800.0,PHI,WSH,Aaron Nola,8,6.7700000000000005,9.099,0.26,18.25,1.66,3.82,0.47,0.11,0.43,0.16,0.87,0.31,0.09,0.54,0.15,0.01,2025-03-30,Main,,13:53,0.99
17,Jacob Young,OF,WSH,2600.0,PHI,WSH,Aaron Nola,9,5.7,7.473000000000001,0.4,13.73,1.72,3.61,0.39,0.04,0.33,0.18,0.76,0.16,0.08,0.62,0.14,0.01,2025-03-30,Main,,13:53,0.86
18,Brice Turang,2B,MIL,6800.0,NYY,NYY,Marcus Stroman,1,8.63,11.192,0.33,14.71,1.56,4.71,0.66,0.05,0.46,0.32,0.87,0.44,0.01,0.81,0.18,0.01,2025-03-30,Main,,13:53,0.94
19,Jackson Chourio,OF,MIL,5700.0,NYY,NYY,Marcus Stroman,2,8.969999999999999,11.818,0.8,21.1,1.94,4.59,0.69,0.14,0.62,0.18,1.02,0.31,0.03,0.74,0.21,0.02,2025-03-30,Main,,13:53,1.18
20,Christian Yelich,OF,MIL,5000.0,NYY,NYY,Marcus Stroman,3,9.34,12.51,0.7,19.12,2.4,4.42,0.65,0.11,0.7,0.19,0.94,0.61,0.03,0.73,0.22,0.01,2025-03-30,Main,,13:53,1.24
21,William Contreras,C,MIL,4800.0,NYY,NYY,Marcus Stroman,4,8.44,11.369,0.53,18.33,2.46,4.29,0.57,0.14,0.73,0.07,0.92,0.5,0.03,0.67,0.2,0.01,2025-03-30,Main,,13:53,1.21
22,Sal Frelick,OF,MIL,5800.0,NYY,NYY,Marcus Stroman,5,7.33,9.721,0.26,14.78,1.27,4.28,0.48,0.03,0.53,0.17,0.67,0.46,0.05,0.77,0.17,0.01,2025-03-30,Main,,13:53,0.84
23,Jake Bauers,1B/OF,MIL,3200.0,NYY,NYY,Marcus Stroman,6,6.99,9.502999999999998,0.07,17.11,2.12,4.08,0.49,0.12,0.51,0.13,1.43,0.51,0.04,0.43,0.15,0.01,2025-03-30,Main,,13:53,1.07
24,Garrett Mitchell,OF,MIL,6200.0,NYY,NYY,Marcus Stroman,7,7.550000000000001,10.131,0.12,15.08,1.26,4.04,0.53,0.11,0.49,0.19,1.35,0.52,0.04,0.53,0.15,0.01,2025-03-30,Main,,13:53,0.85
25,Joey Ortiz,3B/SS,MIL,6000.0,NYY,NYY,Marcus Stroman,8,6.8999999999999995,9.284,0.25,15.28,1.21,3.91,0.52,0.08,0.48,0.11,0.84,0.44,0.05,0.57,0.16,0.02,2025-03-30,Main,,13:53,0.83
26,Oliver Dunn,3B,MIL,4400.0,NYY,NYY,Marcus Stroman,9,6.54,8.902,0.0,12.09,1.48,3.7,0.51,0.08,0.44,0.19,1.45,0.51,0.04,0.44,0.11,0.0,2025-03-30,Main,,13:53,0.8
27,Paul Goldschmidt,1B,NYY,4700.0,MIL,NYY,Aaron Civale,1,8.32,11.042,0.2,17.09,2.05,4.57,0.71,0.17,0.5,0.07,1.29,0.39,0.03,0.63,0.22,0.01,2025-03-30,Main,,13:53,1.09
28,Cody Bellinger,1B/OF,NYY,5400.0,MIL,NYY,Aaron Civale,2,7.6,10.062000000000003,0.12,14.84,1.49,4.38,0.61,0.13,0.56,0.05,0.7,0.32,0.02,0.68,0.19,0.01,2025-03-30,Main,,13:53,0.9
29,Aaron Judge,OF,NYY,6300.0,MIL,NYY,Aaron Civale,3,11.760000000000002,16.066000000000003,0.94,21.72,3.02,4.32,0.88,0.37,0.94,0.06,1.17,0.72,0.03,0.5,0.22,0.01,2025-03-30,Main,,13:53,1.51
30,Jazz Chisholm,2B/3B,NYY,5600.0,MIL,NYY,Aaron Civale,4,9.03,12.043,0.08,19.89,2.07,4.22,0.59,0.17,0.75,0.22,1.11,0.34,0.03,0.62,0.17,0.02,2025-03-30,Main,,13:53,1.18
31,Anthony Volpe,SS,NYY,6600.0,MIL,NYY,Aaron Civale,5,7.170000000000002,9.578000000000001,0.19,16.2,1.15,4.19,0.49,0.08,0.54,0.17,1.04,0.28,0.07,0.63,0.17,0.02,2025-03-30,Main,,13:53,0.85
32,Austin Wells,C,NYY,7000.0,MIL,NYY,Aaron Civale,6,7.250000000000001,9.898,0.07,16.1,1.25,4.08,0.54,0.15,0.56,0.03,0.85,0.45,0.06,0.49,0.19,0.01,2025-03-30,Main,,13:53,0.87
33,Jasson Dominguez,OF,NYY,4400.0,MIL,NYY,Aaron Civale,7,7.590000000000002,10.076,0.03,14.8,1.8,3.96,0.53,0.14,0.5,0.18,1.08,0.38,0.03,0.53,0.16,0.01,2025-03-30,Main,,13:53,0.96
34,Ben Rice,1B,NYY,5400.0,MIL,NYY,Aaron Civale,8,7.31,10.107999999999999,0.0,14.32,1.38,3.83,0.59,0.18,0.54,0.06,1.05,0.44,0.09,0.44,0.15,0.0,2025-03-30,Main,,13:53,0.85
35,Oswaldo Cabrera,3B,NYY,5200.0,MIL,NYY,Aaron Civale,9,5.710000000000001,7.515,0.03,13.93,0.95,3.62,0.45,0.06,0.39,0.08,0.72,0.27,0.02,0.58,0.15,0.0,2025-03-30,Main,,13:53,0.71
36,Colton Cowser,OF,BAL,4800.0,TOR,TOR,Chris Bassitt,1,8.200000000000001,11.179000000000002,0.74,19.73,1.92,4.7,0.67,0.16,0.49,0.08,1.39,0.46,0.11,0.56,0.24,0.01,2025-03-30,Main,,13:53,1.12
37,Adley Rutschman,C,BAL,4900.0,TOR,TOR,Chris Bassitt,2,7.779999999999999,10.337999999999997,0.78,16.05,2.05,4.59,0.59,0.12,0.52,0.02,0.71,0.44,0.04,0.7,0.24,0.01,2025-03-30,Main,,13:53,1.05
38,Ryan O'Hearn,DH,BAL,3700.0,TOR,TOR,Chris Bassitt,3,7.46,9.870999999999999,0.45,19.0,2.05,4.29,0.53,0.12,0.57,0.03,0.68,0.32,0.03,0.68,0.23,0.01,2025-03-30,Main,,13:53,1.11
39,Tyler O'Neill,OF,BAL,5000.0,TOR,TOR,Chris Bassitt,4,7.630000000000001,10.422,0.18,16.18,1.6,4.27,0.56,0.22,0.58,0.04,1.32,0.39,0.07,0.44,0.17,0.0,2025-03-30,Main,,13:53,0.95
40,Cedric Mullins II,OF,BAL,4000.0,TOR,TOR,Chris Bassitt,5,7.660000000000001,10.222000000000001,0.17,20.76,2.02,4.23,0.51,0.1,0.56,0.19,0.84,0.36,0.05,0.59,0.2,0.01,2025-03-30,Main,,13:53,1.15
41,Ryan Mountcastle,1B,BAL,3900.0,TOR,TOR,Chris Bassitt,6,6.73,8.786999999999999,0.38,16.55,1.62,4.08,0.46,0.14,0.47,0.03,0.92,0.22,0.02,0.6,0.2,0.01,2025-03-30,Main,,13:53,0.94
42,Jackson Holliday,2B,BAL,4100.0,TOR,TOR,Chris Bassitt,7,6.51,8.689000000000002,0.21,15.33,1.47,4.04,0.42,0.11,0.47,0.1,1.31,0.42,0.02,0.47,0.16,0.01,2025-03-30,Main,,13:53,0.87
