,Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID,MLBID
26,Matt Chapman,SF,147.212,620.078,538.547,128.586,71.48,28.2632,1.68374,27.1591,83.7818,78.4724,69.5804,1.04796,154.213,6.71297,4.71046,0.527035,8.87344,8.57953,2.54961,0.238765,0.11221233457726286,0.24869935717764538,0.451195,0.33069,0.448789,0.337424,0.77948,0.210024,4.37784,0.280274,,-0.296836,85.5353,12.2683,119.125,-0.296836,0.0,13.758276730775831,2.271790027618408,3.7508,168.02999877929688,,,,,,,769.5,5.234693877,769.5,5.234693877,,,,,,,,,,,,,,,,,,,Matt Chapman,16505,656305,656305.0
27,Austin Riley,ATL,146.155,627.065,564.585,145.952,85.4228,28.3109,2.75703,29.4613,82.8322,90.9371,48.5654,0.874241,162.22,8.46306,4.94419,0.507797,9.88984,2.38793,0.825588,0.258512,0.07744874933220638,0.25869726423895445,0.29938,0.323962,0.47497,0.342512,0.798932,0.216458,3.57184,0.308301,,-0.795153,89.0896,14.997,119.746,-0.795153,0.0,13.880066871643066,1.8795652389526367,3.74691,77.87999725341797,,,,,,,795.5,5.448630136,795.5,5.448630136,,,,,,,,,,,,,,,,,,,Austin Riley,18360,663586,663586.0
28,Jackson Merrill,SD,144.261,611.214,558.579,151.502,93.1207,33.946,1.84311,22.5924,77.2134,79.6557,41.2513,1.93673,121.446,3.22078,5.18489,2.97807,9.66848,9.25597,2.40429,0.271228,0.06749076428223175,0.19869636493928475,0.339667,0.322201,0.459938,0.335032,0.782139,0.18871,4.45932,0.307129,,-0.0289621,83.1256,10.906,118.831,-0.0289621,0.0,13.612860696390271,2.0283610820770264,3.68084,77.52999877929688,,,,,,,761.9,5.290972222,761.9,5.290972222,,,,,,,,,,,,,,,,,,,Jackson Merrill,29490,701538,701538.0
29,Jeremy Pena,HOU,146.739,634.43,578.791,157.406,108.002,29.7244,2.11193,17.5669,81.8164,69.6608,36.7877,0.785475,114.517,10.7806,4.20792,2.35391,13.798,17.6833,4.24827,0.271956,0.05798543574547232,0.1805037592799836,0.321241,0.325063,0.421663,0.324451,0.746725,0.149707,5.34338,0.310122,,0.775074,80.8327,5.8699,108.621,0.775074,0.0,7.221549153327942,6.793472290039063,3.66801,92.6500015258789,,,,,,,734.8,4.998639455,734.8,4.998639455,,,,,,,,,,,,,,,,,,,Jeremy Pena,21636,665161,665161.0
30,Elly De La Cruz,CIN,148.234,638.698,572.436,146.243,90.999,30.102,3.69128,21.4504,91.1589,69.3422,57.4632,4.92359,176.119,3.29901,3.96751,1.53198,9.17427,40.1788,9.71504,0.255474,0.08996928125655632,0.27574691012027597,0.326276,0.324884,0.433373,0.326217,0.758257,0.177899,6.86757,0.329411,,3.08791,82.2925,6.82537,104.174,3.08791,0.0,6.24782919883728,6.624397277832031,3.49109,10.4399995803833,,,,,,,780.8,5.275675675,780.8,5.275675675,,,,,,,,,,,,,,,,,,,Elly De La Cruz,26668,682829,682829.0
31,Wyatt Langford,TEX,143.786,617.139,536.358,134.171,78.6204,27.461,3.06396,25.0252,86.8983,74.4444,70.1668,2.63136,145.044,6.34352,3.7294,0.541642,7.97232,19.7601,5.38806,0.250151,0.11369691430941813,0.23502646891543075,0.483762,0.341683,0.452749,0.343467,0.794432,0.202597,5.78114,0.294973,,0.738773,88.1579,15.2382,122.551,0.738773,0.0,17.14160454273224,-4.437839508056641,3.47297,52.52999877929688,,,,,,,796.8,5.533333333,796.8,5.533333333,,,,,,,,,,,,,,,,,,,Wyatt Langford,33333,694671,694671.0
32,Shea Langeliers,OAK,129.074,528.42,480.341,122.823,67.0163,25.5786,1.45856,28.77,71.5816,77.066,39.2037,1.10127,122.33,4.16899,3.97512,0.73113,7.33187,5.94934,1.76014,0.2557,0.07419041671397753,0.2315014571742175,0.320476,0.314951,0.494709,0.344564,0.80966,0.239009,4.19127,0.282259,,-0.252419,75.9552,13.5183,119.082,-0.252419,-3.75,11.631871312856674,3.55357027053833,3.41445,57.619998931884766,,,,,,,697.3,5.405426356,697.3,5.405426356,,,,,,,,,,,,,,,,,,,Shea Langeliers,25816,669127,669127.0
33,Alex Bregman,CHC,149.679,645.703,567.497,142.807,91.4415,27.9144,0.822231,22.6292,76.7425,80.8153,63.9042,1.39964,90.8859,7.92976,5.45122,0.920817,12.1818,2.20719,0.884729,0.251644,0.09896841117355813,0.14075496009775393,0.703126,0.33289,0.423357,0.329495,0.756246,0.171712,2.52407,0.261579,,-0.989527,84.9134,8.61862,113.092,-0.989527,0.0,9.02974146604538,2.309860944747925,3.35813,125.18000030517578,,,,,,,753.9,5.026,753.9,5.026,,,,,,,,,,,,,,,,,,,Alex Bregman,17678,608324,608324.0
34,Bryce Harper,PHI,141.658,612.561,527.256,143.862,87.0263,28.4895,2.24158,26.1046,85.6334,86.013,75.3274,7.60292,127.877,4.78052,4.21803,0.979095,11.5515,10.3165,3.83618,0.27285,0.12297126327010696,0.20875798491905295,0.589063,0.366214,0.483917,0.36339,0.850131,0.211067,4.49716,0.311946,,-0.560859,97.4124,25.0336,132.908,-0.560859,0.0,23.33105337619781,-11.022446632385254,3.34446,54.18000030517578,,,,,,,864.2,6.085915492,864.2,6.085915492,,,,,,,,,,,,,,,,,,,Bryce Harper,11579,547180,547180.0
35,Manny Machado,SD,146.491,627.922,567.846,147.798,92.7636,27.1463,0.00630404,27.8816,78.5378,86.0765,51.2255,3.62398,121.148,2.32494,5.69063,0.612541,11.1733,8.19353,3.50972,0.260278,0.08157939998917062,0.19293479126388308,0.422835,0.321085,0.455407,0.332419,0.776492,0.19513,3.22099,0.282483,,-0.740576,84.0658,9.87199,117.042,-0.740576,0.0,11.94203233718872,-0.4618560671806335,3.31199,44.380001068115234,,,,,,,765.3,5.241780821,765.3,5.241780821,,,,,,,,,,,,,,,,,,,Manny Machado,11493,592518,592518.0
