,PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,SLATE,TM,OPP_TM,HAND,OL,OD,PCC,ERROR,2H,BPC,PPC,MPC,OPENER,CATCHER,UMPIRE,PARK,ROOF,PLATOON,SPLIT,GVF,HFA,DH,FAMILIARITY,TILT_BIAS,SPIN_LS,SPIN_CS,SPIN_REC,SPIN_CHANGE,FPTS,IP,OUTS,ERA,CNERA,W,L,QS,CG,CGSH,TBF,AB,K,BB,IBB,HBP,H,HR,TB,SH,SF,GIDP,SB,CS,ER,FLOOR,CEILING,POWN,RGID,PARTNERID,OWNERSHIP
21,3456890,Bryce Elder,,,,,,--,ATL,DET,R,false,false,false,-,-,87,86,108,-,Drake Baldwin (N),-,DET,-,3,Average,0-1,false,true,false,58%,2008,2090,1,1,10.88,5.08,15.2,4.97,4.63,0.3,0.36,0.34,0.02,0.01,22.16,19.95,4.09,1.8,0.01,0.22,5.24,0.74,8.86,0.04,0.15,0.41,0.43,0.1,2.81,0.28,23.05,21.42,3456890,3456890.0,
22,37516,Tyler Mahle,,,,,,Main,TEX,MIA,R,false,false,false,-,-,91,67,67,-,Jonah Heim (N),-,TEX,Open,5,Reverse,---,true,true,false,43%,1,2334,1,1,10.7,4.21,12.6,3.78,4.36,0.29,0.3,0.16,0.0,0.0,17.42,16.0,3.32,1.13,0.01,0.13,3.84,0.44,6.08,0.05,0.11,0.3,0.23,0.11,1.77,0.85,21.9,2.88,37516,37516.0,
23,3066983,Janson Junk,,,,,,Main,MIA,TEX,R,false,false,false,-,-,82,82,100,-,Liam Hicks (-),-,TEX,Open,4,Small,---,false,true,false,53%,1,2287,1,1,10.34,5.12,15.4,4.62,4.61,0.25,0.41,0.34,0.02,0.01,21.54,20.07,3.45,1.15,0.01,0.15,5.23,0.81,8.88,0.03,0.13,0.34,0.36,0.13,2.63,0.46,22.22,1.61,3066983,3066983.0,
24,17488,Michael Lorenzen,,,,,,Main,KCR,TOR,R,false,false,false,-,-,75,74,107,-,Salvador Perez (N),-,KCR,-,5,Small,---,true,true,false,56%,2394,2339,1,1,8.5,4.43,13.3,5.08,4.76,0.24,0.38,0.23,0.0,0.0,19.37,17.4,3.22,1.61,0.01,0.18,4.62,0.67,7.83,0.04,0.14,0.35,0.15,0.09,2.5,-1.32,20.03,0.69,17488,17488.0,
25,37584,Walker Buehler,,,,,,Main,PHI,ARI,R,false,false,false,-,-,--,--,IP CAP,Taijuan Walker (4.0 IP),J.T. Realmuto (N),-,ARI,Closed,3,Average,---,false,true,false,65%,2281,2261,1,1,7.9,4.0,12.0,5.6,5.07,0.43,0.41,0.0,0.0,0.0,18.0,15.91,2.99,1.7,0.0,0.19,4.49,0.52,7.22,0.07,0.14,0.37,0.5,0.12,2.49,-2.24,19.52,1.19,37584,37584.0,
26,3516825,Davis Martin,,,,,,Main,CHW,SDP,R,false,false,false,-,-,86,86,100,-,Kyle Teel (N),-,CHW,-,4,Neutral,---,true,true,false,42%,2389,2406,1,1,7.89,4.93,14.8,5.48,5.1,0.2,0.46,0.32,0.0,0.0,21.82,19.77,3.23,1.62,0.01,0.23,5.58,0.87,9.39,0.04,0.16,0.42,0.31,0.13,3.0,-2.2,19.69,0.61,3516825,3516825.0,
27,9913138,Andrew Alvarez,,,,,,Main,WAS,NYM,L,false,false,false,-,-,79,77,99,-,Riley Adams (-),-,NYM,-,3,Small,1-0,false,true,false,33%,1,2332,2334,2,7.76,4.47,13.4,5.37,4.8,0.21,0.41,0.24,0.0,0.0,19.91,17.55,3.17,1.88,0.02,0.28,4.83,0.77,8.06,0.06,0.14,0.53,0.26,0.1,2.67,-2.22,19.41,1.04,9913138,9913138.0,
28,7435369,Mitch Farris,,,,,,Main,LAA,COL,L,false,false,false,-,-,84,79,105,-,Logan O'Hoppe (-),-,COL,-,0,Average,---,false,true,false,33%,1,2153,2153,0,6.28,4.3,12.9,7.57,5.1,0.22,0.37,0.27,0.01,0.0,20.48,18.32,3.82,1.79,0.02,0.14,5.9,0.99,10.66,0.06,0.17,0.3,0.37,0.09,3.62,-4.24,18.54,1.74,7435369,7435369.0,
29,15266,Taijuan Walker,,,,,,Main,PHI,ARI,R,false,false,false,-,-,--,--,IP CAP,Yes (4.0 IP),J.T. Realmuto (N),-,ARI,Closed,3,Neutral,---,false,true,false,50%,1942,1966,1,1,5.93,4.0,12.0,5.47,5.14,0.0,,0.0,0.0,0.0,17.77,15.85,2.73,1.54,0.01,0.17,4.43,0.56,7.3,0.07,0.14,0.35,0.34,0.12,2.43,-2.69,16.77,0.46,15266,15266.0,
30,5502110,Bradley Blalock,,,,,,Main,COL,LAA,R,false,false,false,-,-,81,77,111,-,Braxton Fulford (-),-,COL,-,7,Reverse,---,true,true,false,60%,2034,2103,1,1,5.02,4.18,12.5,7.7,5.78,0.23,0.34,0.25,0.0,0.0,19.86,17.83,3.22,1.68,0.01,0.15,5.84,1.04,10.47,0.03,0.17,0.34,0.36,0.12,3.58,-5.54,16.95,0.63,5502110,5502110.0,
31,0,1,2.0,3.0,4.0,5.0,6.0,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63,,65.0
