,Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID,MLBID
491,Jordan Romano,LAA,1.86466,1.76323,0.0,4.37028,55,0,0,9.9741,,38.5925,163.62,34.4378,20.03,18.74,5.95668,13.6867,1.18206,1.99062,39.8191,9.28606,3.19182,2.90933,1.38914,0.243363,0.0836491,0.1597134843468666,0.232778,1.24699,0.27877,0.706156,,,4.29678,0.161603,0.0386994,619.4400024414062,,,,,,,198.4,5.087179487179488,189,4.846153846153846,,,,,,,,,,,,,,,,,,,Jordan Romano,16122,605447,605447.0
492,Joel Peguero,SF,2.14201,1.86468,0.0,4.42041,64,0,0,12.4644,,42.5933,186.335,42.0333,22.52,20.92,4.37197,17.9738,1.3579,2.25562,36.6982,7.75436,3.79787,2.04177,0.9238,0.196948,0.0964595,0.1004884168505668,0.253052,1.40884,0.301206,0.695669,,,4.17115,0.160647,-0.054177,999.0,,,,,,,221.8,5.158139534883722,225,5.232558139534884,,,,,,,,,,,,,,,,,,,Joel Peguero,21951,666711,666711.0
493,Emilio Pagan,CIN,2.37595,2.00362,0.0,4.33047,66,0,0,4.0578,,44.4756,186.758,38.0847,22.87,21.4,8.05153,15.16,0.781463,1.73737,48.7865,9.87235,3.06775,3.21811,1.62929,0.261228,0.0811746,0.1800538748502731,0.224211,1.19717,0.265727,0.72368,,,4.43448,0.158244,-0.000865292,103.11000061035156,,,,,,,191.40000000000003,4.3500000000000005,179,4.068181818181818,,,,,,,,,,,,,,,,,,,Emilio Pagan,14771,641941,641941.0
494,Ron Marinaccio,SD,2.05799,1.63955,0.0,4.25091,54,0,0,9.7949,,38.8505,167.996,31.8807,19.6,18.35,4.51309,19.7273,0.720309,2.76353,41.3111,9.57001,4.56996,2.09411,1.04549,0.245906,0.117427,0.128478392958641,0.219104,1.32837,0.274552,0.706739,,,4.25534,0.157562,0.0386999,999.0,,,,,,,196.90000000000003,5.048717948717949,183,4.6923076923076925,,,,,,,,,,,,,,,,,,,Ron Marinaccio,23488,676760,676760.0
495,Seth Johnson,PHI,2.02596,1.94878,0.572317,4.68079,40,2,0,0.6501,,47.5881,206.931,45.0761,26.57,24.75,6.76403,20.2652,0.996857,2.15222,46.2026,8.73796,3.8326,2.2799,1.27923,0.223275,0.0979318,0.1253430917859077,0.244296,1.37306,0.291242,0.693935,,,4.45436,0.155322,-0.0947178,999.0,,,,,,,182.1,3.7937500000000006,179,3.7291666666666665,,,,,,,,,,,,,,,,,,,Seth Johnson,26020,686751,686751.0
496,Pedro Avila,,1.51129,1.90614,0.545305,4.75306,32,2,0,0.6864,,38.9876,172.635,38.9204,22.02,20.59,4.55943,17.599,0.67419,2.44673,35.3976,8.17128,4.06261,2.01134,1.05251,0.205043,0.101944,0.1030994728207588,0.255067,1.44968,0.305073,0.688114,,,4.38206,0.154995,-0.0670088,999.0,,,,,,,139.70000000000002,3.582051282051282,144,3.692307692307693,,,,,,,,,,,,,,,,,,,Pedro Avila,18864,658648,658648.0
497,Alexis Diaz,TEX,2.31557,1.79946,0.0,4.27052,60,0,0,11.846,,41.9598,180.312,33.0492,21.17,19.91,5.27826,20.8509,0.845346,3.4117,43.4245,9.31419,4.47233,2.08262,1.13214,0.24083,0.115638,0.1251921728253364,0.211787,1.28457,0.258703,0.703714,,,4.43534,0.154521,0.0967392,605.3900146484375,,,,,,,225.5,5.369047619047619,207,4.928571428571429,,,,,,,,,,,,,,,,,,,Alexis Diaz,21132,664747,664747.0
498,Jason Foley,SF,1.1513,0.956331,0.0,4.16105,34,0,0,0.6691,,22.7106,97.1488,23.5184,11.32,10.5,2.08849,6.52883,0.514734,1.07461,16.7874,6.65269,2.58731,2.57127,0.827648,0.172801,0.0672045,0.1055966839194297,0.262642,1.32305,0.303242,0.690447,,,3.85664,0.154076,0.104199,999.0,,,,,,,97.20000000000002,4.22608695652174,103,4.478260869565218,,,,,,,,,,,,,,,,,,,Jason Foley,19531,671345,671345.0
499,Emerson Hancock,SEA,2.45215,2.47268,0.808177,4.46266,45,3,0,0.6494,,54.1493,231.986,51.0111,28.77,26.85,7.70199,19.2275,1.27549,2.73905,41.124,6.8351,3.19575,2.13881,1.28012,0.17727,0.0828824,0.0943872556090354,0.242888,1.29713,0.268678,0.697469,,,4.68229,0.153755,0.062491,999.0,,,,,,,188.60000000000005,3.4925925925925934,186,3.4444444444444446,,,,,,,,,,,,,,,,,,,Emerson Hancock,27470,676106,676106.0
500,Wilber Dotel,PIT,1.44866,1.72881,0.835422,4.68616,19,3,0,0.0,,32.4765,141.621,31.1416,18.08,16.91,4.32189,13.9018,0.562839,1.74072,25.5283,7.0745,3.8525,1.83634,1.1977,0.180258,0.0981615,0.0820960476994514,0.247197,1.38695,0.278998,0.691498,,,4.738,0.152885,0.0254693,999.0,,,,,,,111.00000000000004,3.468750000000001,112,3.5,,,,,,,,,,,,,,,,,,,Wilber Dotel,sa3015163,696062,
