,Pitcher,Team,$,GS,IP,IP 180,K,ERA,WHIP,W,H,ER,FPts,Proj Rank,ADP,ADP Rank,Rank Diff
191,Grant Holmes,ATL,8.37,12.0,85.4,180,191,4.0,1.27,8,161,80,306.95,165.5,524.1,155.0,10.5
131,Chase Dollander,COL,8.34,24.0,128.4,180,159,4.6,1.45,8,179,92,293.5,167.5,605.5,167.0,0.5
200,Justin Steele,CHC,8.34,14.0,77.2,180,184,3.6,1.16,11,158,72,314.5,167.5,369.0,113.0,54.5
150,Martin Perez,FA,8.32,22.0,119.0,180,155,4.2,1.37,10,174,84,299.75,169.0,700.7,189.0,-20.0
151,Ryan Feltner,COL,8.21,19.0,118.8,180,154,4.3,1.34,9,176,86,291.1,170.0,734.5,201.0,-31.0
188,Kyle Wright,FA,7.8,15.0,88.1,180,179,4.05,1.27,10,165,81,293.82,171.0,500.0,147.5,23.5
98,Randy Vasquez,SD,7.7,27.0,139.9,180,120,4.4,1.36,9,181,88,262.38,172.0,639.3,175.0,-3.0
172,Luis Medina,OAK,7.69,16.0,107.5,180,165,4.35,1.38,8,163,87,277.47,173.0,481.0,141.0,32.0
165,Jonathan Cannon,CWS,7.51,17.0,111.8,180,148,4.25,1.3,8,172,85,266.15,174.0,680.3,184.0,-10.0
153,Logan Allen,CLE,7.08,21.0,118.0,180,152,4.65,1.42,9,183,93,263.5,175.0,650.9,178.0,-3.0
109,Andre Pallante,STL,7.07,25.0,135.5,180,128,4.55,1.47,9,194,91,254.08,176.0,701.0,190.0,-14.0
175,Chris Paddack,FA,7.06,19.0,103.6,180,144,4.15,1.23,10,176,83,261.3,177.0,731.9,200.0,-23.0
184,Janson Junk,MIA,7.04,12.0,93.7,180,145,3.8,1.17,5,171,76,240.42,178.0,579.1,165.0,13.0
178,Johan Oviedo,BOS,6.98,15.0,101.1,180,169,4.5,1.4,7,172,90,258.08,179.0,447.0,132.0,47.0
176,Richard Fitts,STL,6.66,16.0,103.2,180,146,4.15,1.32,6,173,83,237.0,180.0,556.0,160.0,20.0
193,Jordan Montgomery,FA,6.58,15.0,83.5,180,163,4.05,1.24,10,174,81,256.88,181.0,702.8,192.0,-11.0
187,Caden Dana,LAA,6.55,16.0,88.5,180,170,4.25,1.34,12,165,85,269.53,182.0,683.5,186.5,-4.5
183,Hunter Dobbins,STL,6.54,15.0,93.9,180,145,3.9,1.24,7,173,78,237.07,183.0,658.2,181.0,2.0
201,Patrick Sandoval,BOS,6.5,10.0,75.3,180,179,3.9,1.34,7,164,78,253.02,184.0,616.1,170.0,14.0
180,Luis Gil,NYY,6.48,12.0,97.8,180,165,4.4,1.43,7,158,88,245.45,185.0,354.1,107.0,78.0
196,Charlie Morton,FA,6.46,15.0,81.3,180,183,4.4,1.36,11,165,88,265.72,186.0,589.0,166.0,20.0
161,Walker Buehler,FA,6.35,22.0,115.2,180,145,4.65,1.43,9,179,93,240.2,187.0,625.8,172.0,15.0
159,Marcus Stroman,FA,6.25,22.0,116.0,180,133,4.3,1.42,10,184,86,239.0,188.0,500.0,147.5,40.5
197,Jon Gray,FA,6.17,15.0,80.8,180,160,4.0,1.24,11,164,80,249.6,189.0,500.0,147.5,41.5
190,Spencer Arrighetti,HOU,6.11,14.0,86.4,180,175,4.45,1.4,10,159,89,252.2,190.0,422.4,127.0,63.0
