,BatterName,batter,IsBIP,PA_flag,IsAirPull,Air Pull / PA,Air Pull / BIP,Sample,player_name,pitcher
118,Christian Koss,683766.0,103,154.0,14,0.091,0.136,Hitters,,
119,Christian Moore,695681.0,64,115.0,4,0.035,0.062,Hitters,,
120,Christian Vazquez,543877.0,147,199.0,24,0.121,0.163,Hitters,,
121,Christian Walker,572233.0,335,518.0,60,0.116,0.179,Hitters,,
122,Christian Yelich,592885.0,326,523.0,22,0.042,0.067,Hitters,,
123,Christopher Morel,666624.0,137,246.0,29,0.118,0.212,Hitters,,
124,Coby Mayo,691723.0,115,185.0,20,0.108,0.174,Hitters,,
125,Coco Montes,663796.0,7,10.0,0,0.0,0.0,Hitters,,
126,Cody Bellinger,641355.0,403,507.0,88,0.174,0.218,Hitters,,
127,Cody Freeman,683227.0,26,29.0,3,0.103,0.115,Hitters,,
128,Colby Thomas,687515.0,30,62.0,8,0.129,0.267,Hitters,,
129,Cole Young,702284.0,154,218.0,30,0.138,0.195,Hitters,,
130,Colin Rea,607067.0,0,1.0,0,0.0,,Hitters,,
131,Colson Montgomery,695657.0,100,156.0,23,0.147,0.23,Hitters,,
132,Colt Keith,690993.0,268,397.0,39,0.098,0.146,Hitters,,
133,Colton Cowser,681297.0,146,244.0,21,0.086,0.144,Hitters,,
134,Connor Joe,656582.0,52,80.0,7,0.088,0.135,Hitters,,
135,Connor Kaiser,663731.0,12,15.0,0,0.0,0.0,Hitters,,
136,Connor Norby,681393.0,182,273.0,37,0.136,0.203,Hitters,,
137,Connor Wong,657136.0,103,147.0,8,0.054,0.078,Hitters,,
138,Cooper Hummel,669450.0,58,105.0,7,0.067,0.121,Hitters,,
139,Corbin Carroll,682998.0,333,509.0,61,0.12,0.183,Hitters,,
140,Corey Julks,667452.0,6,8.0,1,0.125,0.167,Hitters,,
141,Corey Seager,608369.0,286,419.0,26,0.062,0.091,Hitters,,
142,Curtis Mead,678554.0,111,176.0,11,0.062,0.099,Hitters,,
143,D.J. LeMahieu,518934.0,93,142.0,2,0.014,0.022,Hitters,,
144,DaShawn Keirsey Jr.,680577.0,50,85.0,3,0.035,0.06,Hitters,,
145,Dairon Blanco,680118.0,6,8.0,0,0.0,0.0,Hitters,,
146,Dalton Rushing,687221.0,61,114.0,15,0.132,0.246,Hitters,,
147,Dane Myers,667472.0,212,307.0,20,0.065,0.094,Hitters,,
148,Daniel Johnson,669288.0,32,46.0,4,0.087,0.125,Hitters,,
149,Daniel Schneemann,682177.0,219,341.0,30,0.088,0.137,Hitters,,
150,Danny Jansen,643376.0,174,289.0,44,0.152,0.253,Hitters,,
151,Dansby Swanson,621020.0,346,521.0,57,0.109,0.165,Hitters,,
152,Darell Hernaiz,687231.0,73,91.0,6,0.066,0.082,Hitters,,
153,Daulton Varsho,662139.0,105,165.0,22,0.133,0.21,Hitters,,
154,David Banuelos,675915.0,0,2.0,0,0.0,,Hitters,,
155,David Fry,681807.0,69,123.0,14,0.114,0.203,Hitters,,
156,David Hamilton,666152.0,107,153.0,17,0.111,0.159,Hitters,,
157,David Villar,681584.0,15,25.0,1,0.04,0.067,Hitters,,
158,Davis Schneider,676914.0,91,160.0,27,0.169,0.297,Hitters,,
159,Daylen Lile,695734.0,182,239.0,31,0.13,0.17,Hitters,,
160,Daz Cameron,663662.0,28,42.0,4,0.095,0.143,Hitters,,
161,Denzel Clarke,672016.0,89,159.0,6,0.038,0.067,Hitters,,
162,Derek Hill,656537.0,72,126.0,11,0.087,0.153,Hitters,,
163,Dillon Dingler,693307.0,259,367.0,50,0.136,0.193,Hitters,,
164,Dom Nunez,624513.0,3,7.0,0,0.0,0.0,Hitters,,
165,Dominic Canzone,686527.0,141,198.0,22,0.111,0.156,Hitters,,
166,Dominic Smith,642086.0,127,175.0,18,0.103,0.142,Hitters,,
167,Donovan Solano,456781.0,126,175.0,18,0.103,0.143,Hitters,,
168,Drake Baldwin,686948.0,242,325.0,31,0.095,0.128,Hitters,,
169,Drew Avans,682183.0,12,18.0,1,0.056,0.083,Hitters,,
170,Drew Gilbert,687551.0,20,28.0,4,0.143,0.2,Hitters,,
171,Drew Millas,686452.0,42,54.0,5,0.093,0.119,Hitters,,
172,Drew Waters,671221.0,146,219.0,20,0.091,0.137,Hitters,,
173,Dustin Harris,687957.0,24,38.0,5,0.132,0.208,Hitters,,
174,Dylan Beavers,687637.0,16,31.0,4,0.129,0.25,Hitters,,
175,Dylan Carlson,666185.0,136,195.0,22,0.113,0.162,Hitters,,
176,Dylan Crews,686611.0,135,208.0,13,0.062,0.096,Hitters,,
177,Dylan Moore,664238.0,118,213.0,23,0.108,0.195,Hitters,,
178,Eddie Rosario,592696.0,6,8.0,0,0.0,0.0,Hitters,,
179,Edgar Quero,700337.0,215,293.0,14,0.048,0.065,Hitters,,
180,Edmundo Sosa,624641.0,154,214.0,19,0.089,0.123,Hitters,,
181,Edouard Julien,666397.0,86,141.0,8,0.057,0.093,Hitters,,
182,Eli White,642201.0,171,245.0,18,0.073,0.105,Hitters,,
183,Elias Diaz,553869.0,163,250.0,24,0.096,0.147,Hitters,,
184,Elly De La Cruz,682829.0,363,552.0,31,0.056,0.085,Hitters,,
185,Emmanuel Rivera,656896.0,58,77.0,3,0.039,0.052,Hitters,,
186,Endy Rodriguez,682848.0,38,57.0,8,0.14,0.211,Hitters,,
187,Enmanuel Valdez,665839.0,75,102.0,13,0.127,0.173,Hitters,,
188,Enrique Hernandez,571771.0,123,186.0,26,0.14,0.211,Hitters,,
189,Eric Haase,606992.0,40,77.0,5,0.065,0.125,Hitters,,
190,Eric Wagaman,676572.0,311,427.0,45,0.105,0.145,Hitters,,
191,Ernie Clement,676391.0,406,484.0,76,0.157,0.187,Hitters,,
192,Esteury Ruiz,665923.0,13,23.0,0,0.0,0.0,Hitters,,
193,Eugenio Suarez,553993.0,326,520.0,82,0.158,0.252,Hitters,,
194,Evan Carter,694497.0,153,219.0,26,0.119,0.17,Hitters,,
195,Everson Pereira,677592.0,12,26.0,2,0.077,0.167,Hitters,,
196,Ezequiel Duran,677649.0,95,141.0,10,0.071,0.105,Hitters,,
197,Ezequiel Tovar,678662.0,189,265.0,35,0.132,0.185,Hitters,,
198,Fernando Tatis Jr.,665487.0,381,560.0,40,0.071,0.105,Hitters,,
199,Francisco Alvarez,682626.0,131,209.0,10,0.048,0.076,Hitters,,
200,Francisco Lindor,596019.0,413,577.0,77,0.133,0.186,Hitters,,
201,Freddie Freeman,518692.0,336,492.0,62,0.126,0.185,Hitters,,
202,Freddy Fermin,666023.0,209,269.0,19,0.071,0.091,Hitters,,
203,Gabriel Arias,672356.0,223,372.0,23,0.062,0.103,Hitters,,
204,Gabriel Moreno,672515.0,147,196.0,13,0.066,0.088,Hitters,,
205,Gage Workman,669398.0,9,17.0,1,0.059,0.111,Hitters,,
206,Garrett Hampson,641658.0,50,89.0,7,0.079,0.14,Hitters,,
207,Garrett Mitchell,669003.0,45,78.0,4,0.051,0.089,Hitters,,
208,Gary Sanchez,596142.0,65,101.0,14,0.139,0.215,Hitters,,
209,Gavin Lux,666158.0,266,403.0,45,0.112,0.169,Hitters,,
210,Gavin Sheets,657757.0,303,421.0,64,0.152,0.211,Hitters,,
211,George Springer,543807.0,297,439.0,47,0.107,0.158,Hitters,,
212,Geraldo Perdomo,672695.0,427,573.0,64,0.112,0.15,Hitters,,
213,Giancarlo Stanton,519317.0,102,175.0,18,0.103,0.176,Hitters,,
214,Gio Urshela,570482.0,144,197.0,17,0.086,0.118,Hitters,,
215,Gleyber Torres,650402.0,356,499.0,46,0.092,0.129,Hitters,,
216,Graham Pauley,688363.0,110,159.0,18,0.113,0.164,Hitters,,
217,Grant McCray,687529.0,11,21.0,3,0.143,0.273,Hitters,,
218,Greg Allen,656185.0,9,14.0,0,0.0,0.0,Hitters,,
219,Greg Jones,675659.0,0,2.0,0,0.0,,Hitters,,
220,Griffin Conine,665052.0,45,71.0,4,0.056,0.089,Hitters,,
221,Gunnar Henderson,683002.0,349,510.0,40,0.078,0.115,Hitters,,
222,Gustavo Campero,672569.0,44,66.0,6,0.091,0.136,Hitters,,
223,Ha-Seong Kim,673490.0,61,93.0,15,0.161,0.246,Hitters,,
224,Harrison Bader,664056.0,231,365.0,46,0.126,0.199,Hitters,,
225,Hayden Senger,663584.0,43,63.0,4,0.063,0.093,Hitters,,
226,Heliot Ramos,671218.0,371,556.0,42,0.076,0.113,Hitters,,
227,Henry Davis,680779.0,142,218.0,31,0.142,0.218,Hitters,,
228,Heriberto Hernandez,681715.0,115,180.0,24,0.133,0.209,Hitters,,
229,Heston Kjerstad,677008.0,112,167.0,10,0.06,0.089,Hitters,,
230,Hunter Feduccia,676439.0,24,41.0,2,0.049,0.083,Hitters,,
231,Hunter Goodman,696100.0,307,460.0,57,0.124,0.186,Hitters,,
232,Hunter Renfroe,592669.0,79,108.0,12,0.111,0.152,Hitters,,
233,Hyeseong Kim,808975.0,97,146.0,9,0.062,0.093,Hitters,,
234,Ian Happ,664023.0,341,526.0,61,0.116,0.179,Hitters,,
235,Ildemaro Vargas,545121.0,30,39.0,2,0.051,0.067,Hitters,,
236,Isaac Collins,686555.0,229,357.0,41,0.115,0.179,Hitters,,
237,Isaac Paredes,670623.0,286,409.0,92,0.225,0.322,Hitters,,
238,Isiah Kiner-Falefa,643396.0,320,404.0,30,0.074,0.094,Hitters,,
239,Ivan Herrera,671056.0,215,318.0,20,0.063,0.093,Hitters,,
240,J.C. Escarra,641555.0,72,98.0,12,0.122,0.167,Hitters,,
241,J.D. Davis,605204.0,6,9.0,0,0.0,0.0,Hitters,,
242,J.P. Crawford,641487.0,372,539.0,51,0.095,0.137,Hitters,,
243,J.T. Realmuto,592663.0,307,439.0,35,0.08,0.114,Hitters,,
244,JJ Bleday,668709.0,178,282.0,37,0.131,0.208,Hitters,,
245,Jac Caglianone,695506.0,116,161.0,9,0.056,0.078,Hitters,,
246,Jace Jung,690291.0,30,53.0,4,0.075,0.133,Hitters,,
247,Jack Leiter,683004.0,0,1.0,0,0.0,,Hitters,,
248,Jack Suwinski,669261.0,66,131.0,14,0.107,0.212,Hitters,,
249,Jack Winkler,676466.0,8,12.0,1,0.083,0.125,Hitters,,
250,Jackson Chourio,694192.0,353,471.0,43,0.091,0.122,Hitters,,
251,Jackson Holliday,702616.0,364,524.0,29,0.055,0.08,Hitters,,
252,Jackson Merrill,701538.0,273,385.0,28,0.073,0.103,Hitters,,
253,Jacob Amaya,676070.0,54,73.0,3,0.041,0.056,Hitters,,
254,Jacob Hurtubise,674441.0,6,15.0,1,0.067,0.167,Hitters,,
