,Team,Player,SAVID,Hand,player_name,pitcher,PitchesThrown,PA_flag,IsStrikeout,IsWalk,IsSwStr,InZone,K%,BB%,SwStr%,Zone%,launch_speed,launch_angle,estimated_woba_using_speedangle
17,NYM,A.J. Minter,621345,L,A.J. Minter,621345,707,176.0,49,14,103,355,0.2784090909090909,0.07954545454545454,0.1456859971711457,0.5021216407355021,26.011701526286036,7.381006218202375,0.28313790046296294
18,NYM,Danny Young,664849,L,Danny Young,664849,855,201.0,61,20,99,369,0.3034825870646766,0.09950248756218906,0.11578947368421053,0.43157894736842106,19.805050505050506,1.0,0.3123365782608696
19,NYM,Edwin Diaz,621242,R,Edwin Diaz,621242,1135,267.0,104,27,209,544,0.3895131086142322,0.10112359550561797,0.1841409691629956,0.479295154185022,21.743612334801764,4.983259911894273,0.25921074531835203
20,NYM,Huascar Brazoban,623211,R,Huascar Brazoban,623211,1179,292.0,70,31,169,551,0.23972602739726026,0.10616438356164383,0.1433418150975403,0.4673452078032231,24.712368781378366,3.0502053856686446,0.29125823247232474
21,NYM,Jose Butto,676130,R,Jose Butto,676130,1521,374.0,98,47,215,581,0.2620320855614973,0.12566844919786097,0.14135437212360288,0.3819855358316897,23.964463176574977,4.851818988464951,0.30262951905626134
22,NYM,Reed Garrett,657585,R,Reed Garrett,657585,1187,298.0,98,33,194,508,0.3288590604026846,0.11073825503355705,0.16343723673125526,0.42796967144060655,23.33670143415906,4.378096479791395,0.2849194412532637
23,NYM,Ryne Stanek,592773,R,Ryne Stanek,592773,1194,292.0,78,29,198,587,0.2671232876712329,0.09931506849315068,0.1658291457286432,0.4916247906197655,27.405004859086493,8.864917395529641,0.3029237430278885
24,MIA,Anthony Bender,669622,R,Anthony Bender,669622,1147,279.0,66,24,104,596,0.23655913978494625,0.08602150537634409,0.09067131647776809,0.5196163905841326,25.15117698343505,4.215344376634699,0.3069922374100719
25,MIA,Anthony Veneziano,685107,L,Anthony Veneziano,685107,483,119.0,22,10,58,247,0.18487394957983194,0.08403361344537816,0.12008281573498965,0.5113871635610766,30.152334630350193,6.86964980544747,0.341916648
26,MIA,Calvin Faucher,676534,R,Calvin Faucher,676534,1191,276.0,73,29,142,557,0.2644927536231884,0.10507246376811594,0.11922753988245172,0.46767422334172964,24.862580645161287,4.8527859237536655,0.3281661374045801
27,MIA,Connor Gillispie,687362,R,Connor Gillispie,687362,609,155.0,31,16,63,302,0.2,0.1032258064516129,0.10344827586206896,0.49589490968801314,27.62922824302135,7.448275862068965,0.350605
28,MIA,George Soriano,666277,R,George Soriano,666277,843,208.0,45,23,93,420,0.21634615384615385,0.11057692307692307,0.1103202846975089,0.498220640569395,25.87433371958285,5.001738122827346,0.3601838391608392
29,MIA,Jesus Tinoco,622786,R,Jesus Tinoco,622786,785,198.0,47,15,94,390,0.23737373737373738,0.07575757575757576,0.1197452229299363,0.4968152866242038,26.388407643312103,5.068789808917198,0.29214504545454545
30,MIA,Lake Bachar,669199,R,Lake Bachar,669199,404,98.0,27,10,45,180,0.2755102040816326,0.10204081632653061,0.11138613861386139,0.44554455445544555,21.808663366336635,5.193069306930693,0.315222193877551
31,STL,JoJo Romero,668941,L,JoJo Romero,668941,1078,285.0,58,20,116,529,0.20350877192982456,0.07017543859649122,0.10760667903525047,0.4907235621521336,25.099938499384994,2.9440344403444034,0.3128851985981308
32,STL,Kyle Leahy,681517,R,Kyle Leahy,681517,950,255.0,49,15,112,497,0.19215686274509805,0.058823529411764705,0.11789473684210526,0.5231578947368422,30.66299603174603,7.596230158730159,0.328759657992565
