,Player,Team,FGID,SAVID,Age,PA,AB,BIP,K,K%,BB,BB%,SF,HBP,BABIP,Brl%,Solid%,Flare%,Topped%,Under%,Weak%,H,1B,2B,3B,HR,TB,AVG,OBP,SLG,OPS,R,RBI,SB Att,SB,CS,Pos,$,Deep $,G
0,Yoan Moncada,,17232,660162.0,29,313.0,282.0,200.0,84.0,0.2672,25.0,0.08085714285714286,1.0,4.0,0.336,0.096,0.066,0.251,0.313,0.244,0.031,67.0,42.0,16.0,1.0,9.0,112.0,0.238,0.309,0.392,0.701,35.0,37.0,2.6,2.1,1.0,3B,1.0,2.03,70.0
0,Darell Hernaiz,OAK,26224,687231.0,23,256.0,232.0,191.0,41.0,0.162272,22.0,0.08702857142857144,0.0,1.0,0.304,0.037,0.046,0.266,0.363,0.214,0.074,58.0,42.0,11.0,1.0,5.0,88.0,0.25,0.317,0.363,0.68,27.0,27.0,7.0,5.4,2.0,"3B, SS",1.0,1.09,57.0
0,Kyle Karros,COL,33252,691720.0,22,336.0,301.0,217.0,85.0,0.2535042735042735,29.0,0.08637362637362637,1.0,5.0,0.376,0.09,0.055,0.303,0.315,0.176,0.061,81.0,53.0,16.0,1.0,12.0,139.0,0.271,0.344,0.447,0.791,40.0,39.0,7.0,5.6,1.0,3B,1.0,3.54,75.0
0,Maxwell Muncy,OAK,29779,691777.0,22,352.0,313.0,215.0,99.0,0.28112,31.0,0.08774857142857144,1.0,7.0,0.322,0.108,0.048,0.2,0.346,0.238,0.06,69.0,41.0,14.0,1.0,14.0,129.0,0.221,0.305,0.402,0.707,38.0,40.0,6.2,4.6,2.0,,1.0,1.0,78.0
0,Christian Moore,LAA,34979,695681.0,22,367.0,331.0,224.0,108.0,0.29304347826086957,33.0,0.09043478260869567,1.0,2.0,0.333,0.078,0.06,0.262,0.267,0.27,0.063,75.0,49.0,14.0,1.0,11.0,127.0,0.225,0.3,0.374,0.674,41.0,40.0,8.6,6.1,2.0,2B,1.0,3.0,82.0
0,Mike Yastrzemski,,14854,573262.0,34,416.0,366.0,272.0,95.0,0.228516,45.0,0.10914285714285715,1.0,4.0,0.302,0.089,0.078,0.23,0.237,0.324,0.04,82.0,49.0,17.0,2.0,14.0,145.0,0.224,0.316,0.393,0.709,49.0,43.0,6.4,4.2,2.0,OF,1.0,3.67,92.0
0,Victor Caratini,,14968,605170.0,31,265.0,239.0,190.0,49.0,0.18669999999999998,19.0,0.07228571428571429,1.0,6.0,0.313,0.073,0.075,0.251,0.31,0.239,0.051,59.0,40.0,10.0,1.0,8.0,96.0,0.249,0.32,0.402,0.723,29.0,30.0,1.7,1.0,1.0,C,1.0,0.88,59.0
0,Joc Pederson,TEX,11899,592626.0,32,350.0,302.0,223.0,80.0,0.227708,40.0,0.11428571428571428,1.0,7.0,0.316,0.104,0.062,0.228,0.275,0.291,0.04,70.0,43.0,13.0,1.0,13.0,129.0,0.234,0.336,0.418,0.754,41.0,46.0,5.8,4.2,2.0,UT,1.0,3.15,78.0
0,Josh Smith,TEX,,669701.0,27,347.0,306.0,238.0,69.0,0.19776878612716764,31.0,0.08912881915772089,1.0,9.0,0.305,0.05279831045406547,0.05279831045406547,0.25976768743400214,0.2967265047518479,0.28511087645195354,0.05279831045406547,73.0,49.0,15.0,1.0,8.0,115.0,0.237,0.324,0.366,0.69,40.0,33.0,6.5,4.8,2.0,"1B, 3B, SS",1.0,2.27,77.0
0,Henry Davis,PIT,29617,680779.0,25,222.0,199.0,136.0,64.0,0.2881,19.0,0.08382285714285714,1.0,4.0,0.304,0.086,0.053,0.237,0.262,0.295,0.067,41.0,26.0,9.0,0.0,6.0,71.0,0.207,0.286,0.348,0.634,23.0,22.0,3.6,2.6,1.0,,1.0,1.0,49.0
0,Brady House,WSH,29993,691781.0,21,426.0,410.0,299.0,112.0,0.26287999999999995,15.0,0.03628571428571429,1.0,0.0,0.348,0.054,0.088,0.288,0.349,0.186,0.035,104.0,72.0,21.0,1.0,10.0,161.0,0.254,0.28,0.384,0.664,45.0,47.0,6.5,5.0,2.0,3B,1.0,3.71,95.0
0,Willi Castro,,17338,650489.0,27,503.0,445.0,326.0,120.0,0.2384,43.0,0.08574285714285715,1.0,14.0,0.318,0.069,0.071,0.253,0.282,0.264,0.06,104.0,69.0,21.0,2.0,12.0,173.0,0.233,0.319,0.37,0.69,54.0,54.0,14.3,11.3,3.0,"2B, 3B, OF",1.0,5.18,112.0
0,Josh Bell,,13145,605137.0,32,473.0,422.0,335.0,89.0,0.18784800000000001,46.0,0.098,1.0,3.0,0.298,0.101,0.069,0.219,0.332,0.231,0.048,100.0,64.0,18.0,1.0,17.0,168.0,0.236,0.315,0.402,0.717,53.0,60.0,3.2,0.6,3.0,1B,1.0,4.89,105.0
0,Will Wagner,SD,29634,695238.0,26,285.0,255.0,204.0,51.0,0.18,26.0,0.09186285714285715,1.0,3.0,0.334,0.053,0.051,0.309,0.327,0.194,0.065,68.0,48.0,13.0,1.0,6.0,104.0,0.267,0.343,0.398,0.74,31.0,31.0,3.9,3.0,1.0,3B,1.0,1.5,63.0
