Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Keegan Collett",,0.0412,0.0569,0,5.69853,1,0,0,0,,1,4.697,1.0501,0.6738,0.63317,0.151556,0.708,0.0285,0.0479,0.7475,6.7275,6.372,1.05579,1.364,0.159144,0.150735,0.008409619331359863,0.266448,1.7581,0.295375,0.701394,0.398001,,5.87806,-0.0165669,-0.0470228,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Keegan Collett","sa3011192",676997
"Kaleb Corbett","TBR",0.04,0.0581,0,5.82102,1,0,0,0,,1,4.717,1.1215,0.6919,0.64678,0.149111,0.6858,0.0286,0.0446,0.6404,5.7636,6.1722,0.9338,1.342,0.135764,0.145389,-0.009624764323234558,0.281317,1.8073,0.304148,0.69776,0.466875,,5.98398,-0.0165761,-0.047529,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Kaleb Corbett","sa3029367",804254
"Adolfo Oviedo","PIT",0.0398,0.0582,0,5.787,1,0,0,0,,1,4.679,1.1504,0.6863,0.643,0.144222,0.6013,0.0284,0.0498,0.5567,5.0103,5.4117,0.925827,1.298,0.118978,0.12851,-0.009531952440738678,0.285608,1.7517,0.30243,0.687449,0.435648,,5.84993,-0.0165818,-0.0442872,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Adolfo Oviedo","sa3018882",801743
"Cody Tucker",,0.041,0.0596,0.0048,5.72382,0.9109,0.0189,0,0,,1,4.647,1.0887,0.6762,0.63598,0.161778,0.6137,0.0256,0.0482,0.6718,6.0462,5.5233,1.09467,1.456,0.144566,0.132064,0.012502700090408325,0.273193,1.7024,0.294119,0.695299,0.394002,,5.88035,-0.0165822,-0.0470134,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Cody Tucker","sa3022524",688398
"Jake Eddington","PHI",0.0415,0.0566,0,5.74713,1,0,0,0,,1,4.715,1.0822,0.6831,0.63857,0.145,0.7226,0.0286,0.0486,0.6547,5.8923,6.5034,0.906034,1.305,0.138855,0.153256,-0.014400839805603027,0.274405,1.8048,0.298082,0.700275,0.455958,,6.02434,-0.0166017,-0.0441988,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Jake Eddington","sa3023409",690974
"Elvis Novas",,0.0411,0.0569,0,5.70726,1,0,0,0,,1,4.655,1.1144,0.6764,0.63414,0.154,0.6045,0.0282,0.0505,0.6098,5.4882,5.4405,1.00877,1.386,0.130999,0.12986,0.0011385530233383179,0.2786,1.7189,0.296768,0.693474,0.423996,,5.88254,-0.0166064,-0.0470134,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Elvis Novas","sa3016816",702860
"Aneudy Cortorreal",,0.0401,0.058,0,5.82021,1,0,0,0,,1,4.719,1.068,0.6888,0.64669,0.157556,0.7202,0.0286,0.0496,0.7529,6.7761,6.4818,1.0454,1.418,0.159547,0.152617,0.006929442286491394,0.270435,1.7882,0.299612,0.701317,0.422728,,5.98696,-0.0166084,-0.047529,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Aneudy Cortorreal","sa3009242",683676
"Billy Seidl",,0.0411,0.0569,0,5.6898,1,0,0,0,,1,4.688,1.0978,0.6752,0.6322,0.146,0.6365,0.0284,0.0732,0.6387,5.7483,5.7285,1.00346,1.314,0.136241,0.135772,0.00046928226947784424,0.275947,1.7343,0.298034,0.692267,0.437004,,5.88484,-0.0166318,-0.0470134,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Billy Seidl","sa3020257",687225
"Hunter Omlid","COL",0.038,0.0601,0,6.46092,1,0,0,0,,1,4.713,1.1713,0.7573,0.71788,0.188889,0.5956,0.0286,0.0578,0.666,5.994,5.3604,1.1182,1.7,0.141311,0.126374,0.014937400817871094,0.288526,1.7669,0.306552,0.671967,0.381012,,6.21889,-0.0166341,-0.0344206,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Hunter Omlid","sa3025589",804528
"Marino Santy","CHC",0.0431,0.0549,0,5.2686,1,0,0,0,,1,4.721,1.0401,0.6314,0.5854,0.117889,0.7529,0.0286,0.0762,0.6823,6.1407,6.7761,0.906229,1.061,0.144524,0.159479,-0.01495446264743805,0.267247,1.793,0.298285,0.713533,0.484577,,5.79039,-0.0166463,-0.0476476,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Marino Santy","sa3017422",696091
