Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Zak Kent","TEX",2.1376,2.1769,0,4.12344,44,0,0,0.6576,,44,190.807,41.6388,21.8085,20.159,5.31911,19.0927,1.1282,1.8722,41.6708,8.52357,3.90532,2.18255,1.088,0.218392,0.100063,0.11832951754331589,0.245162,1.38026,0.295637,0.730472,0.437121,,4.24199,0.183997,0.0452015,999,,,,,,,179.90000000000003,4.088636363636365,180,4.090909090909091,6.83,5.75,5.07,4.56,4.13,3.74,3.36,2.97,2.49,5.28,4.97,4.75,4.58,4.42,4.27,4.11,3.93,3.7,"Zak Kent","25703",687849
"Jake Bird","NYY",2.5559,2.3466,0,3.82763,50,0,0,4.6067,,50,215.61,45.6045,23.1444,21.2646,5.66111,20.9263,1.4062,3.0472,50.7855,9.14139,3.76673,2.42687,1.019,0.235543,0.0970563,0.1384870782494545,0.237974,1.33062,0.295461,0.740316,0.460031,,4.01402,0.18254,0.219027,999,,,,,,,226.6,4.532,222,4.44,6.32,5.34,4.73,4.27,3.87,3.51,3.17,2.81,2.37,4.86,4.6,4.42,4.27,4.13,4,3.87,3.71,3.51,"Jake Bird","21267",656234
"PJ Poulin","WSN",2.915,3.0666,0,3.88967,61,0,2.302,14.787,,61,262.478,56.9081,28.6539,26.3633,6.954,25.6533,1.5344,2.7731,56.4665,8.33112,3.78491,2.20114,1.026,0.215129,0.097735,0.11739346385002136,0.243143,1.35347,0.292761,0.740225,0.4444,,4.1638,0.181313,0.366672,999,,,,,,,312.1000000000001,5.116393442622952,309,5.065573770491803,6.24,5.34,4.78,4.34,3.97,3.63,3.3,2.95,2.53,4.98,4.69,4.5,4.34,4.19,4.05,3.9,3.74,3.52,"PJ Poulin","23394",676571
"Félix Bautista","BAL",0.5715,0.4085,0,3.02865,10,0,0,0.6642,,10,41.237,7.21,3.6639,3.36517,0.966667,4.3409,0.2171,0.3397,14.0893,12.6804,3.90681,3.24571,0.87,0.341666,0.105267,0.236399345099926,0.197229,1.15509,0.290382,0.77342,0.402928,,2.97812,0.178588,0.112872,747.9600219726562,,,,,,,63.5,6.35,57,5.7,6.71,4.7,3.63,2.91,2.37,1.93,1.55,1.2,0.84,3.99,3.72,3.54,3.39,3.26,3.13,3,2.85,2.66,"Felix Bautista","20666",642585
"Justin Sterner","ATH",3.1625,3.2113,0,4.35776,65,0,8.478,10.2941,,65,278.97,61.2392,33.523,31.4727,9.93056,23.8542,1.8189,3.2606,63.2933,8.76369,3.30289,2.65334,1.375,0.226882,0.0855081,0.14137397706508636,0.243152,1.30913,0.287232,0.724399,0.346073,,4.42521,0.177639,0.0724717,471.0400085449219,,,,,,,324.4,4.990769230769231,320,4.923076923076923,6.68,5.79,5.22,4.78,4.4,4.05,3.71,3.35,2.9,5.43,5.13,4.93,4.76,4.6,4.46,4.3,4.13,3.9,"Justin Sterner","27694",686993
"Gabriel Hughes","COL",1.7821,2.7642,1.6208,5.20055,16.86,4.86,0,0.6111,,39.702,176.062,45.8184,24.5861,22.9414,6.02588,14.2266,0.4315,1.6122,28.383,6.43411,3.22501,1.99507,1.366,0.16121,0.0808045,0.08040576428174973,0.285966,1.51239,0.31628,0.687071,0.466887,,4.87527,0.176401,0.193166,999,,,,,,,114.6,2.8649999999999998,134,3.35,9.08183,7.37514,6.35633,5.59984,4.97752,4.43032,3.91219,3.38614,2.77219,6.45238,6.11842,5.89145,5.70447,5.53051,5.37051,5.19656,5.0026,4.74563,"Gabriel Hughes","sa3020661",687312
"Hoby Milner","CHC",3.0407,2.8424,0,3.80136,60,0,0,13.5633,,60,256.301,59.957,27.7157,25.3424,6.71333,19.2167,1.4425,2.4966,50.5225,7.57837,2.8825,2.62909,1.007,0.197122,0.0749771,0.1221446618437767,0.255585,1.31956,0.300215,0.737484,0.478574,,3.99127,0.175102,0.33883,999,,,,,,,296.9,4.948333333333333,304,5.066666666666666,6.15,5.26,4.7,4.27,3.9,3.57,3.24,2.89,2.48,4.86,4.59,4.41,4.26,4.12,3.99,3.86,3.7,3.5,"Hoby Milner","13346",571948
"Brock Burke","CIN",2.9878,3.0918,0,4.11892,62,0,1.046,12.7602,,62,264.505,59.9354,30.5647,28.3748,8.79022,21.8558,2.0034,2.4297,58.808,8.53664,3.17262,2.69073,1.276,0.222332,0.0826291,0.139703206717968,0.249503,1.31921,0.296285,0.737232,0.424067,,4.25632,0.174931,0.320321,999,,,,,,,295.09999999999997,4.759677419354838,296,4.774193548387097,6.47,5.57,5,4.56,4.19,3.85,3.51,3.15,2.72,5.17,4.89,4.7,4.54,4.4,4.26,4.12,3.96,3.75,"Brock Burke","17968",656271
"Daniel Lynch IV","KCR",2.873,2.9124,0,4.15504,59,0,0,10.8436,,59,252.352,60.6485,29.4308,27.2386,7.24389,18.1651,1.8076,2.5293,46.3705,7.07347,2.77095,2.55272,1.105,0.183753,0.0719832,0.11177005618810654,0.261802,1.33582,0.299953,0.71911,0.43205,,4.21162,0.173021,0.254165,999,,,,,,,264.9,4.489830508474576,277,4.694915254237288,6.55,5.64,5.06,4.62,4.24,3.89,3.55,3.18,2.74,5.16,4.91,4.73,4.59,4.46,4.33,4.2,4.06,3.86,"Daniel Lynch IV","21537",663738
"Andrew Morris","MIN",1.3877,1.3578,0,3.92779,28,0,0,0.6537,,28,118.044,28.0879,13.2395,12.2198,3.37556,7.2904,0.7163,1.0675,24.0948,7.74476,2.34334,3.305,1.085,0.204117,0.06176,0.14235709607601166,0.256075,1.26351,0.300579,0.722251,0.444892,,3.87679,0.171871,0.158988,999,,,,,,,125.50000000000001,4.482142857142858,129,4.607142857142857,7.03,5.69,4.88,4.28,3.79,3.35,2.94,2.52,2.04,4.96,4.69,4.51,4.36,4.22,4.09,3.95,3.8,3.59,"Andrew Morris","sa3020569",702193
"Keaton Winn","SFG",1.4037,1.3418,0,3.62481,28,0,0,0.6686,,28,117.746,26.8637,12.3409,11.2772,2.89333,7.8964,0.6182,1.3043,26.1569,8.40758,2.53813,3.31251,0.93,0.222147,0.067063,0.15508382767438889,0.247488,1.24143,0.301533,0.730043,0.485847,,3.59591,0.169773,0.220376,744.3200073242188,,,,,,,129.10000000000002,4.610714285714287,130,4.642857142857143,6.65,5.34,4.55,3.97,3.5,3.08,2.69,2.29,1.84,4.69,4.42,4.23,4.07,3.93,3.79,3.65,3.5,3.29,"Keaton Winn","23499",676775
"Duncan Davitt","CHW",2.0923,2.8414,1.8987,4.61638,20.86,4.86,0,0.6066,,43.702,189.155,45.5606,24.0467,22.4161,6.89035,14.0986,0.5238,2.1094,32.9114,6.77778,2.90347,2.33437,1.419,0.173992,0.0745346,0.09945705533027649,0.263437,1.36514,0.290437,0.712069,0.414313,,4.79126,0.169218,0.155558,999,,,,,,,141.9,3.225,151,3.4318181818181817,8.17945,6.60569,5.65978,4.96951,4.39755,3.89656,3.4229,2.93656,2.38487,5.67443,5.40809,5.21541,5.05907,4.92274,4.7864,4.64006,4.48372,4.2647,"Duncan Davitt","sa3020394",701474
"George Klassen","LAA",1.249,1.4403,0.6811,4.15644,17.62,1.62,0,0.6554,,25.234,108.548,23.8429,12.5864,11.6537,3.25519,10.4064,0.4507,1.0896,24.2831,8.66085,3.71156,2.33348,1.161,0.223708,0.0958691,0.12783931195735931,0.245671,1.35727,0.296168,0.729586,0.436555,,4.25423,0.169003,0.110368,999,,,,,,,104.69999999999999,4.188,105,4.2,8.33698,6.27351,5.10543,4.2876,3.63906,3.09148,2.59489,2.11196,1.59268,5.25275,4.96177,4.76811,4.60079,4.45079,4.30713,4.15981,3.9925,3.77518,"George Klassen","sa3023440",691946
"Ryne Stanek","STL",2.8765,2.9089,0,4.0077,59,0,2.263,12.347,,59,253.545,52.2029,28.1368,26.2727,7.59789,26.3322,1.4779,2.0233,61.0114,9.30682,4.01678,2.31699,1.159,0.240633,0.103856,0.13677729666233063,0.231818,1.3311,0.28487,0.742264,0.341761,,4.18287,0.167573,0.247074,699.8400268554688,,,,,,,299.00000000000006,5.067796610169492,287,4.864406779661017,6.34,5.43,4.85,4.41,4.03,3.69,3.35,3,2.57,5.02,4.74,4.55,4.4,4.26,4.12,3.98,3.82,3.61,"Ryne Stanek","15947",592773
"Hunter Gaddis","CLE",3.1503,3.3216,0,4.06825,66,0,3.282,13.5895,,66,280.493,62.2334,31.937,29.8338,9.34267,21.1077,1.6204,3.0512,63.5073,8.66009,2.87832,3.00873,1.274,0.226413,0.0752521,0.15116098523139954,0.242782,1.26274,0.288258,0.731613,0.359843,,4.14903,0.167127,0.14734,564.9600219726562,,,,,,,343.5000000000001,5.204545454545456,340,5.151515151515151,6.31,5.45,4.91,4.48,4.12,3.79,3.46,3.11,2.69,5.07,4.8,4.61,4.46,4.32,4.19,4.05,3.89,3.69,"Hunter Gaddis","25636",683769
"Greg Weissert","BOS",3.1094,3.2645,0,4.30434,65,0,1.084,16.5111,,65,280.172,65.15,33.4318,31.0869,8.44278,23.242,1.769,2.4882,58.0428,8.0367,3.21812,2.49732,1.169,0.207168,0.0829562,0.12421227246522903,0.256051,1.35988,0.301704,0.717757,0.419693,,4.22531,0.163565,0.19409,999,,,,,,,327.6,5.04,335,5.153846153846154,6.66,5.77,5.21,4.77,4.39,4.04,3.7,3.34,2.9,5.39,5.1,4.9,4.74,4.59,4.45,4.3,4.13,3.91,"Greg Weissert","20375",669711
"Yariel Rodríguez","TOR",1.8189,1.711,0,3.97418,36,0,0,0.6499,,36,154.839,32.5861,17.1612,15.8967,4.436,15.2696,0.901,1.691,37.2974,9.32435,3.8174,2.44259,1.109,0.240879,0.098616,0.14226261526346207,0.236339,1.32933,0.292788,0.737046,0.413165,,4.07833,0.163431,0.119904,745.9600219726562,,,,,,,158.40000000000003,4.400000000000001,155,4.305555555555555,6.8,5.62,4.9,4.36,3.91,3.5,3.11,2.72,2.25,5.01,4.73,4.55,4.39,4.26,4.12,3.98,3.83,3.62,"Yariel Rodriguez","33838",684320
"Kyle Nicolas","PIT",2.6863,2.805,0,4.07267,56,0,0,10.1452,,56,243.056,51.63,27.3372,25.3411,6.32178,26.0218,1.355,2.6289,56.1638,9.02633,4.18208,2.15834,1.016,0.231073,0.107061,0.12401257455348969,0.240806,1.38664,0.298238,0.731303,0.411564,,4.1317,0.161867,0.318742,750.760009765625,,,,,,,270.4000000000001,4.82857142857143,267,4.767857142857143,6.5,5.56,4.97,4.51,4.13,3.77,3.43,3.06,2.62,5.12,4.84,4.66,4.5,4.36,4.22,4.08,3.92,3.71,"Kyle Nicolas","27775",693312
"Huascar Brazobán","NYM",2.8432,2.6477,0,3.91672,56,0,0,10.8486,,56,240.343,50.9516,26.4568,24.3707,6.25333,24.4235,1.4007,2.7055,53.306,8.56704,3.92521,2.18257,1.005,0.221791,0.101619,0.12017200887203217,0.238969,1.34598,0.290901,0.734284,0.445154,,4.13636,0.161741,0.259288,999,,,,,,,277.0000000000001,4.946428571428574,271,4.839285714285714,6.33,5.4,4.81,4.37,3.98,3.63,3.3,2.94,2.51,4.97,4.7,4.51,4.36,4.22,4.08,3.94,3.79,3.58,"Huascar Brazoban","6107",623211
"Zack Kelly","BOS",2.7011,2.7902,0,4.22452,56,0,0,10.3166,,56,243.161,53.0993,28.3331,26.2859,6.80711,24.747,1.7097,2.6125,55.1363,8.86119,3.9772,2.228,1.094,0.226748,0.101772,0.12497604638338089,0.246056,1.39011,0.300876,0.724764,0.429782,,4.21189,0.161233,0.209828,999,,,,,,,256.50000000000006,4.580357142857144,255,4.553571428571429,6.71,5.75,5.15,4.68,4.28,3.92,3.57,3.19,2.74,5.33,5.04,4.83,4.67,4.52,4.37,4.22,4.05,3.82,"Zack Kelly","20349",677161
"Carson Whisenhunt","SFG",1.5817,1.8113,1.3743,4.14328,15.24,3.24,0,0.6686,,30.0961,129.797,30.309,15.0227,13.8552,3.7687,10.3246,0.3682,1.1779,24.7402,7.39836,3.08749,2.39624,1.127,0.190607,0.0795442,0.1110626608133316,0.256216,1.35013,0.295596,0.724343,0.442567,,4.26552,0.159035,0.17493,705.4400024414062,,,,,,,115.80000000000001,3.8600000000000003,119,3.966666666666667,8.07855,6.19893,5.12507,4.35912,3.75514,3.22912,2.75109,2.27703,1.75292,5.18893,4.92691,4.74488,4.59887,4.46286,4.32684,4.19083,4.0388,3.83279,"Carson Whisenhunt","31676",687931
"Noah Schultz","CHW",0.9754,1.2639,1.4224,4.43473,3.24,3.24,0,0,,18.468,81.178,18.6196,9.8545,9.10007,2.40289,8.1237,0.0744,1.012,14.8845,7.25365,3.95892,1.83223,1.171,0.183356,0.100073,0.08328363299369812,0.258454,1.44809,0.296169,0.722384,0.461279,,4.69869,0.158818,0.117461,999,,,,,,,62.200000000000024,3.455555555555557,67,3.7222222222222223,8.29,6.54,5.51,4.76,4.15,3.62,3.13,2.64,2.08,5.62,5.31,5.09,4.92,4.76,4.61,4.45,4.27,4.04,"Noah Schultz","sa3020949",702273
"Ronel Blanco","HOU",0.954,0.9427,0.6906,4.11001,9.62,1.62,0,0.6626,,17.1487,72.806,15.6401,8.3915,7.83125,2.44845,6.5272,0.1712,0.5192,17.9411,9.41587,3.42561,2.74867,1.285,0.246423,0.089652,0.15677140653133392,0.237838,1.29265,0.290757,0.735122,0.377434,,4.13153,0.15819,0.172097,999,,,,,,,75.60000000000002,4.447058823529413,75,4.411764705882353,8.71352,6.24684,4.91416,4.00148,3.3088,2.72612,2.22344,1.7501,1.25608,5.08414,4.83347,4.6528,4.50746,4.37213,4.24679,4.11146,3.96079,3.76012,"Ronel Blanco","19407",669854
"Ryan Fernandez","STL",2.8012,2.7881,0,3.90262,57,0,0,12.0632,,57,244.321,51.6692,26.7486,24.7166,6.46,24.938,1.8075,2.0379,56.9277,8.98858,3.93758,2.28277,1.02,0.233004,0.102071,0.13093308359384537,0.237729,1.34399,0.293647,0.737955,0.420705,,4.03079,0.157752,0.243657,750.4000244140625,,,,,,,293.79999999999995,5.15438596491228,288,5.052631578947368,6.29,5.36,4.78,4.34,3.96,3.61,3.27,2.92,2.49,4.96,4.68,4.49,4.33,4.19,4.05,3.9,3.74,3.53,"Ryan Fernandez","24862",681676
"Javier Assad","CHC",3.093,3.102,0.6125,4.05615,53.62,1.62,0,7.5567,,60.8488,260.302,59.7184,29.6889,27.4235,7.63314,20.8151,1.1625,2.484,53.6016,7.92808,3.07871,2.57513,1.129,0.205921,0.0799652,0.12595562636852264,0.251973,1.3235,0.296329,0.727941,0.437964,,4.15282,0.156993,0.282422,698.3200073242188,,,,,,,268.0000000000001,4.393442622950822,272,4.459016393442623,6.89535,5.69122,4.97343,4.43636,3.99255,3.59183,3.20984,2.82366,2.36476,5.07052,4.81761,4.63616,4.4947,4.36325,4.2318,4.10034,3.94889,3.75452,"Javier Assad","21741",665871
"Kendry Rojas","MIN",2.0683,2.0501,0,3.98808,42,0,0,0.6537,,42,180.258,40.4832,20.1218,18.611,5.03533,15.6071,1.0938,1.7793,38.7375,8.30089,3.34438,2.48204,1.079,0.2149,0.086582,0.12831830233335495,0.248559,1.33548,0.297634,0.73344,0.422748,,4.09093,0.155502,0.18703,999,,,,,,,173.3,4.126190476190477,173,4.119047619047619,6.69,5.59,4.91,4.4,3.97,3.58,3.21,2.82,2.36,5.09,4.79,4.59,4.42,4.27,4.13,3.98,3.81,3.59,"Kendry Rojas","sa3016746",696070
"Luinder Avila","KCR",2.0796,2.0387,0,3.9893,42,0,0,0.6683,,42,180.956,40.5943,20.2518,18.6167,4.326,16.7973,1.0772,2.0037,38.0168,8.14646,3.59942,2.26327,0.927,0.210089,0.0928253,0.1172633096575737,0.250343,1.36647,0.30271,0.723476,0.470495,,4.00674,0.155001,0.245702,999,,,,,,,178.00000000000003,4.238095238095239,181,4.309523809523809,6.71,5.62,4.94,4.43,4,3.61,3.24,2.85,2.39,5.07,4.8,4.6,4.45,4.3,4.17,4.02,3.86,3.65,"Luinder Avila","24452",679883
"Brandon Young","BAL",1.9428,2.019,1.2263,4.32052,21.24,3.24,0,0.6642,,35.7996,153.236,36.613,18.4711,17.1859,5.44949,10.2917,0.4888,1.1511,31.6353,7.9531,2.58733,3.07387,1.37,0.206448,0.0671624,0.13928580284118652,0.258214,1.3102,0.297622,0.723954,0.411947,,4.30557,0.154398,0.190403,999,,,,,,,143.70000000000005,3.991666666666668,150,4.166666666666667,8.10212,6.34737,5.32759,4.58279,3.98296,3.4581,2.97826,2.49843,1.95866,5.38776,5.10782,4.91284,4.7529,4.60793,4.47296,4.32798,4.16301,3.94307,"Brandon Young","27819",687064
"Taylor Clarke","ARI",2.927,2.8583,0,4.13982,59,0,1.131,12.4466,,59,251.814,60.6972,29.2215,27.1388,7.847,16.0287,1.3953,2.2157,50.3031,7.67335,2.44506,3.13831,1.197,0.199763,0.0636529,0.13610999286174774,0.259868,1.30044,0.301279,0.722609,0.406953,,4.08663,0.153261,0.244198,999,,,,,,,278.6,4.722033898305085,290,4.915254237288136,6.54,5.62,5.03,4.58,4.2,3.85,3.5,3.14,2.7,5.2,4.92,4.72,4.57,4.42,4.28,4.14,3.98,3.76,"Taylor Clarke","17611",664199
"Michel Otañez","TEX",1.621,1.5167,0,3.77699,32,0,0,0.6576,,32,138.408,26.5632,14.5562,13.4293,3.42756,16.8525,0.791,1.8451,37.4062,10.5205,4.73977,2.21962,0.964,0.27026,0.12176,0.14850080758333206,0.221896,1.35674,0.293314,0.747324,0.422759,,3.94259,0.151974,0.137618,750.0800170898438,,,,,,,150.7,4.709375,142,4.4375,6.69,5.44,4.69,4.13,3.67,3.26,2.87,2.47,2.01,4.87,4.57,4.37,4.2,4.05,3.91,3.76,3.59,3.38,"Michel Otanez","22533",671305
"Matt Waldron","SDP",1.9602,2.487,2.5578,4.7192,6.48,6.48,0,0,,36.4184,157.247,37.957,20.4152,19.0962,5.91597,11.3235,0.1121,1.7752,27.8503,6.88258,2.79835,2.45951,1.462,0.177112,0.0720109,0.10510089248418808,0.263319,1.35318,0.290274,0.704064,0.394074,,4.79647,0.150678,0.194034,999,,,,,,,110.80000000000003,3.0777777777777784,119,3.3055555555555554,7.71,6.49,5.74,5.16,4.68,4.24,3.81,3.37,2.84,5.75,5.48,5.3,5.15,5.02,4.88,4.75,4.59,4.38,"Matt Waldron","25550",663362
"Chase Petty","CIN",2.2545,2.904,1.0801,4.73027,33.24,3.24,0,0.6483,,48.0001,210.494,50.0164,27.1322,25.2282,7.23202,19.4918,0.8518,1.8725,38.2491,7.17169,3.65471,1.96232,1.356,0.181711,0.0926003,0.0891108438372612,0.264456,1.44808,0.297841,0.7136,0.449461,,4.83536,0.150317,0.117154,738.3200073242188,,,,,,,156.10000000000002,3.2520833333333337,166,3.4583333333333335,8.26875,6.745,5.82,5.13875,4.56875,4.06375,3.5825,3.095,2.53375,5.82,5.54625,5.35875,5.195,5.0575,4.9175,4.77375,4.61,4.3925,"Chase Petty","30170",695534
"Sean Guenther","DET",1.0875,1.0697,0,3.79803,22,0,0,0.61,,22,94.017,22.0097,10.1627,9.28407,2.266,7.1733,0.5586,0.898,17.6578,7.22365,2.93453,2.4616,0.927,0.187815,0.0762979,0.11151707917451859,0.256088,1.3265,0.299048,0.731252,0.479384,,3.96951,0.149867,0.129601,999,,,,,,,97.00000000000001,4.40909090909091,100,4.545454545454546,7.19,5.67,4.77,4.12,3.59,3.13,2.7,2.27,1.79,4.94,4.64,4.44,4.27,4.12,3.97,3.82,3.65,3.43,"Sean Guenther","20045",674944
"Erik Sabrowski","CLE",2.9635,3.0181,0,3.9066,61,0,0,13.6563,,61,264.527,50.6782,28.4989,26.4781,7.40811,33.4733,1.502,2.5567,70.1069,10.3436,4.93868,2.09441,1.093,0.265027,0.12654,0.13848720490932465,0.221789,1.37953,0.286591,0.754303,0.369922,,4.18729,0.149565,0.299866,999,,,,,,,320.70000000000005,5.257377049180328,302,4.950819672131147,6.23,5.32,4.76,4.32,3.95,3.61,3.28,2.93,2.5,4.99,4.69,4.48,4.31,4.16,4.02,3.87,3.7,3.47,"Erik Sabrowski","24978",681870
"Austin Warren","NYM",2.2067,2.1077,0,4.04174,44,0,0,0.7045,,44,188.356,41.8473,21.3283,19.7596,5.73956,15.7615,1.177,1.9118,39.5371,8.08713,3.22394,2.50846,1.174,0.209906,0.0836793,0.12622693926095963,0.245176,1.30929,0.287927,0.731854,0.410809,,4.23877,0.148775,0.143179,999,,,,,,,172.60000000000002,3.9227272727272733,172,3.909090909090909,6.71,5.63,4.97,4.46,4.03,3.64,3.27,2.88,2.42,5.17,4.86,4.65,4.48,4.32,4.17,4.02,3.84,3.61,"Austin Warren","24937",681810
"Matt Gage","SFG",2.7414,2.7498,0,3.81178,56,0,0,10.2965,,56,240.653,54.8102,25.9175,23.7177,5.90489,20.1492,1.557,2.0554,49.2528,7.91563,3.23826,2.4444,0.949,0.204663,0.0837272,0.12093594670295715,0.250907,1.33856,0.299498,0.735343,0.469253,,3.93642,0.145325,0.224517,999,,,,,,,269.6000000000001,4.814285714285716,274,4.892857142857143,6.24,5.31,4.72,4.27,3.89,3.55,3.21,2.86,2.43,4.92,4.63,4.43,4.27,4.13,3.98,3.84,3.68,3.46,"Matt Gage","17381",657424
"John King",,2.1249,2.0915,0,3.90229,43,0,0,0,,43,184.629,46.2882,20.5651,18.6443,4.01333,13.3797,1.0583,1.2996,29.3369,6.14028,2.8004,2.19264,0.84,0.158896,0.072468,0.08642846345901489,0.272364,1.38763,0.30948,0.723466,0.555,,4.0081,0.140947,0.148638,999,,,,,,,165.4,3.846511627906977,179,4.162790697674419,6.64,5.57,4.9,4.4,3.97,3.59,3.22,2.83,2.37,5.04,4.76,4.57,4.41,4.27,4.13,3.99,3.83,3.62,"John King","22051",667463
"Nate Pearson","HOU",2.6318,2.6633,0,4.32274,54,0,0,9.8393,,54,232.658,50.0175,27.7504,25.9364,7.632,23.0681,1.4885,2.3873,54.0905,9.01508,3.84468,2.34482,1.272,0.232489,0.0991503,0.133339062333107,0.241394,1.35344,0.291349,0.726516,0.382453,,4.38331,0.140669,-0.0218476,999,,,,,,,244.20000000000005,4.522222222222223,239,4.425925925925926,6.82,5.84,5.23,4.75,4.35,3.98,3.62,3.24,2.77,5.4,5.1,4.9,4.74,4.59,4.44,4.29,4.12,3.9,"Nate Pearson","20160",663878
"Mason Black","KCR",2.2403,2.7215,1.1113,4.68366,31.24,3.24,0,0.6683,,46.0285,201.622,47.3109,25.6462,23.9535,6.47468,17.9365,0.7605,2.3181,37.0975,7.25371,3.50714,2.06827,1.266,0.183995,0.088961,0.09503427147865295,0.260857,1.41754,0.296354,0.704863,0.399122,,4.672,0.139921,0.0201022,999,,,,,,,162.40000000000003,3.5304347826086966,170,3.6956521739130435,8.22927,6.67693,5.74901,5.05243,4.47759,3.97451,3.49534,3.00617,2.44092,5.72159,5.45768,5.27376,5.12593,4.98201,4.84809,4.71418,4.55026,4.34243,"Mason Black","30171",696131
"DL Hall","MIL",2.586,2.5129,0,3.88148,52,0,0,6.5677,,52,222.698,47.1967,24.2416,22.4263,6.30933,21.8718,1.1496,2.3196,51.8878,8.98058,3.7855,2.37236,1.092,0.232996,0.0982128,0.13478343188762665,0.237759,1.32824,0.291408,0.744195,0.411776,,4.11244,0.139469,0.332852,737.4400024414062,,,,,,,248.8,4.7846153846153845,242,4.653846153846154,6.33,5.37,4.76,4.3,3.91,3.55,3.21,2.85,2.41,4.93,4.65,4.46,4.3,4.16,4.02,3.88,3.72,3.51,"DL Hall","22207",669084
"Anthony Banda","LAD",2.8506,2.542,0,4.12079,55,0,0,13.364,,55,236.254,50.7942,27.0906,25.1826,7.45556,23.7405,2.2491,2.3807,53.9902,8.83476,3.88481,2.27418,1.22,0.228526,0.100487,0.1280388981103897,0.241724,1.35518,0.291476,0.740193,0.408082,,4.35887,0.137472,0.221039,999,,,,,,,270.29999999999995,4.914545454545454,266,4.836363636363636,6.56,5.61,5.01,4.55,4.16,3.8,3.45,3.09,2.64,5.16,4.88,4.69,4.54,4.4,4.26,4.12,3.96,3.75,"Anthony Banda","14706",607455
"Liam Hendriks",,1.1781,1.1753,0,4.07598,24,0,0,0,,24,102.433,21.9565,11.6361,10.8693,3.31467,8.9365,0.5745,0.9459,24.8727,9.32726,3.35119,2.78327,1.243,0.242819,0.0872424,0.15557681769132614,0.237238,1.28721,0.289635,0.733527,0.364,,4.09316,0.137409,0.0543382,999,,,,,,,103.50000000000001,4.312500000000001,101,4.208333333333333,7.38,5.89,5.01,4.36,3.83,3.36,2.93,2.49,1.99,5.2,4.88,4.66,4.48,4.32,4.16,4,3.82,3.59,"Liam Hendriks","3548",521230
"Kai-Wei Teng","SFG",1.7557,1.9903,1.2439,4.13157,19.24,3.24,0,0.6686,,33.418,144.997,31.5387,16.5933,15.341,3.89877,13.4599,0.455,2.4097,32.0768,8.63879,3.62497,2.38314,1.05,0.221224,0.0928288,0.12839508801698685,0.244245,1.34654,0.296719,0.718388,0.437978,,4.15672,0.135458,0.113698,665.5999755859375,,,,,,,134.80000000000007,4.084848484848487,136,4.121212121212121,7.93867,6.15346,5.11261,4.37176,3.7757,3.25964,2.78879,2.31752,1.79582,5.17612,4.9057,4.72049,4.57528,4.44006,4.30485,4.16443,4.00921,3.804,"Kai-Wei Teng","24282",678906
"Henry Baez","ATH",1.0114,1.2261,1.3194,4.7236,3.24,3.24,0,0,,18.468,81.214,19.9607,10.4904,9.69283,2.42341,7.1082,0.0744,0.9626,12.6993,6.18874,3.46404,1.78657,1.181,0.156368,0.0875243,0.0688440352678299,0.272899,1.46572,0.30226,0.70022,0.489517,,4.7768,0.133752,0.143234,999,,,,,,,58.60000000000002,3.255555555555557,66,3.6666666666666665,8.69,6.92,5.87,5.1,4.47,3.92,3.4,2.89,2.3,5.89,5.6,5.4,5.23,5.08,4.93,4.78,4.61,4.38,"Henry Baez","sa3016584",692013
"Luis Perales","WSN",1.5972,1.877,0.6749,4.19383,25.62,1.62,0,0.6597,,33.234,143.487,30.703,16.6622,15.4864,4.32411,14.7468,0.6626,1.3576,31.8336,8.62076,3.99354,2.15868,1.171,0.221857,0.102774,0.11908255517482758,0.24103,1.36757,0.289163,0.730723,0.401361,,4.36458,0.132723,0.161402,999,,,,,,,134.40000000000006,4.072727272727275,133,4.03030303030303,7.95404,6.17508,5.1506,4.41891,3.82501,3.31055,2.84443,2.37665,1.86442,5.36449,5.03894,4.81338,4.6306,4.46782,4.30504,4.14227,3.95671,3.71115,"Luis Perales","sa3014677",691384
"Dylan Ross","NYM",2.1567,1.9614,0,3.81928,42,0,0,0.7045,,42,181.034,36.7242,19.3717,17.8233,4.62467,20.4404,1.0985,1.617,43.7506,9.37513,4.38009,2.1404,0.991,0.241671,0.112909,0.12876144796609879,0.231004,1.36106,0.290227,0.745568,0.437731,,4.05875,0.132601,0.247193,999,,,,,,,179.10000000000002,4.264285714285715,171,4.071428571428571,6.51,5.41,4.74,4.23,3.8,3.42,3.05,2.67,2.22,5,4.67,4.45,4.27,4.1,3.95,3.78,3.6,3.37,"Dylan Ross","sa3025659",697811
