,Unnamed: 0,DATE,TIME,GAME,TEAM,OPP,Pitcher,Proj
244,22,7-28,9:38pm ET,TEX@LAA,TEX,LAA,Jack Leiter,10.4
245,23,7-28,9:38pm ET,TEX@LAA,LAA,TEX,Carson Fulmer,
246,0,7-28,6:35pm ET,TOR@BAL,TOR,BAL,Chris Bassitt,16.7
247,1,7-28,6:35pm ET,TOR@BAL,BAL,TOR,Charlie Morton,13.9
248,21,7-28,8:10pm ET,WSH@HOU,HOU,WSH,Brandon Walter,13.4
249,20,7-28,8:10pm ET,WSH@HOU,WSH,HOU,Brad Lord,10.4
250,6,7-29,6:40pm ET,ARI@DET,ARI,DET,Brandon Pfaadt,12.4
251,7,7-29,6:40pm ET,ARI@DET,DET,ARI,Keider Montero,9.6
252,15,7-29,7:40pm ET,ATL@KC,KC,ATL,Seth Lugo,15.8
253,14,7-29,7:40pm ET,ATL@KC,ATL,KC,Spencer Strider,25.3
254,19,7-29,7:40pm ET,BOS@MIN,MIN,BOS,Bailey Ober,13.7
255,18,7-29,7:40pm ET,BOS@MIN,BOS,MIN,Lucas Giolito,17.4
256,17,7-29,7:40pm ET,CHC@MIL,MIL,CHC,Jacob Misiorowski,15.3
257,16,7-29,7:40pm ET,CHC@MIL,CHC,MIL,Colin Rea,11.7
258,4,7-29,6:40pm ET,COL@CLE,COL,CLE,Kyle Freeland,9.8
259,5,7-29,6:40pm ET,COL@CLE,CLE,COL,Logan Taylor Allen,
260,11,7-29,7:10pm ET,LAD@CIN,CIN,LAD,Nick Lodolo,15.4
261,10,7-29,7:10pm ET,LAD@CIN,LAD,CIN,Yoshinobu Yamamoto,19.0
262,20,7-29,7:45pm ET,MIA@STL,MIA,STL,Sandy Alcantara,13.3
263,21,7-29,7:45pm ET,MIA@STL,STL,MIA,Sonny Gray,15.5
264,26,7-29,9:40pm ET,NYM@SD,NYM,SD,Sean Manaea,15.5
265,27,7-29,9:40pm ET,NYM@SD,SD,NYM,Yu Darvish,12.1
266,12,7-29,7:40pm ET,PHI@CWS,PHI,CWS,Jesus Luzardo,17.4
267,13,7-29,7:40pm ET,PHI@CWS,CWS,PHI,Jonathan Cannon,11.9
268,28,7-29,9:45pm ET,PIT@SF,PIT,SF,Bailey Falter,9.0
269,29,7-29,9:45pm ET,PIT@SF,SF,PIT,Justin Verlander,12.6
270,30,7-29,10:05pm ET,SEA@OAK,SEA,OAK,Logan Evans,12.4
271,31,7-29,10:05pm ET,SEA@OAK,OAK,SEA,Luis Severino,11.4
272,8,7-29,7:05pm ET,TB@NYY,TB,NYY,Taj Bradley,14.6
273,9,7-29,7:05pm ET,TB@NYY,NYY,TB,Max Fried,15.2
274,24,7-29,9:38pm ET,TEX@LAA,TEX,LAA,Patrick Corbin,11.5
275,25,7-29,9:38pm ET,TEX@LAA,LAA,TEX,Yusei Kikuchi,17.0
276,3,7-29,6:35pm ET,TOR@BAL,BAL,TOR,Cade Povich,16.6
277,1,7-29,12:35pm ET,TOR@BAL,BAL,TOR,Dean Kremer,13.1
278,2,7-29,6:35pm ET,TOR@BAL,TOR,BAL,Robinson Pina,
279,0,7-29,12:35pm ET,TOR@BAL,TOR,BAL,Eric Lauer,14.0
280,23,7-29,8:10pm ET,WSH@HOU,HOU,WSH,Lance McCullers Jr.,13.9
281,22,7-29,8:10pm ET,WSH@HOU,WSH,HOU,Michael Soroka,14.7
282,2,7-30,1:10pm ET,ARI@DET,ARI,DET,Ryne Nelson,12.7
283,3,7-30,1:10pm ET,ARI@DET,DET,ARI,Tarik Skubal,24.0
284,10,7-30,2:10pm ET,ATL@KC,ATL,KC,Joey Wentz,10.5
285,11,7-30,2:10pm ET,ATL@KC,KC,ATL,Michael Wacha,11.6
286,4,7-30,1:10pm ET,BOS@MIN,BOS,MIN,Brayan Bello,12.3
287,5,7-30,1:10pm ET,BOS@MIN,MIN,BOS,Chris Paddack,11.4
288,13,7-30,2:10pm ET,CHC@MIL,MIL,CHC,Quinn Priester,12.3
289,12,7-30,2:10pm ET,CHC@MIL,CHC,MIL,Shota Imanaga,13.4
290,18,7-30,6:40pm ET,COL@CLE,COL,CLE,Antonio Senzatela,9.7
291,19,7-30,6:40pm ET,COL@CLE,CLE,COL,Gavin Williams,15.9
292,22,7-30,7:10pm ET,LAD@CIN,LAD,CIN,Blake Snell,18.3
293,23,7-30,7:10pm ET,LAD@CIN,CIN,LAD,Nick Martinez,12.2
294,25,7-30,7:45pm ET,MIA@STL,STL,MIA,Miles Mikolas,9.9
295,24,7-30,7:45pm ET,MIA@STL,MIA,STL,Cal Quantrill,11.5
296,16,7-30,4:10pm ET,NYM@SD,NYM,SD,Clay Holmes,11.7
297,17,7-30,4:10pm ET,NYM@SD,SD,NYM,Nick Pivetta,16.4
298,6,7-30,2:10pm ET,PHI@CWS,PHI,CWS,Taijuan Walker,10.6
299,7,7-30,2:10pm ET,PHI@CWS,CWS,PHI,Adrian Houser,12.1
300,15,7-30,3:45pm ET,PIT@SF,SF,PIT,Logan Webb,19.1
301,14,7-30,3:45pm ET,PIT@SF,PIT,SF,Mike Burrows,13.5
302,28,7-30,10:05pm ET,SEA@OAK,SEA,OAK,Bryan Woo,16.8
303,29,7-30,10:05pm ET,SEA@OAK,OAK,SEA,Jeffrey Springs,11.2
304,20,7-30,7:05pm ET,TB@NYY,TB,NYY,Zack Littell,12.5
305,21,7-30,7:05pm ET,TB@NYY,NYY,TB,Will Warren,15.6
306,26,7-30,9:38pm ET,TEX@LAA,TEX,LAA,Kumar Rocker,14.5
307,27,7-30,9:38pm ET,TEX@LAA,LAA,TEX,Jose Soriano,12.5
308,0,7-30,12:35pm ET,TOR@BAL,TOR,BAL,Jose Berrios,14.6
309,1,7-30,12:35pm ET,TOR@BAL,BAL,TOR,Trevor Rogers,12.4
310,8,7-30,2:10pm ET,WSH@HOU,WSH,HOU,Mitchell Parker,9.4
311,9,7-30,2:10pm ET,WSH@HOU,HOU,WSH,Hunter Brown,20.9
312,3,7-31,7:10pm ET,ATL@CIN,CIN,ATL,Andrew Abbott,15.1
313,2,7-31,7:10pm ET,ATL@CIN,ATL,CIN,Grant Holmes,20.0
314,0,7-31,1:05pm ET,TB@NYY,TB,NYY,Ryan Pepiot,18.4
315,1,7-31,1:05pm ET,TB@NYY,NYY,TB,Marcus Stroman,11.2
316,5,7-31,9:40pm ET,TEX@SEA,SEA,TEX,Logan Gilbert,21.8
317,4,7-31,9:40pm ET,TEX@SEA,TEX,SEA,Nathan Eovaldi,15.8
318,27,8-1,10:05pm ET,ARI@OAK,OAK,ARI,Jacob Lopez,14.2
319,26,8-1,10:05pm ET,ARI@OAK,ARI,OAK,Merrill Kelly,15.9
320,1,8-1,12:40pm ET,ATL@CIN,CIN,ATL,Brady Singer,14.9
321,0,8-1,12:40pm ET,ATL@CIN,ATL,CIN,Davis Daniel,11.6
322,3,8-1,2:20pm ET,BAL@CHC,CHC,BAL,Cade Horton,10.9
323,2,8-1,2:20pm ET,BAL@CHC,BAL,CHC,Tomoyuki Sugano,10.2
324,23,8-1,9:38pm ET,CWS@LAA,LAA,CWS,Tyler Anderson,11.9
325,22,8-1,9:38pm ET,CWS@LAA,CWS,LAA,Aaron Civale,11.0
326,7,8-1,6:45pm ET,DET@PHI,PHI,DET,Ranger Suarez,15.6
327,6,8-1,6:45pm ET,DET@PHI,DET,PHI,Casey Mize,13.6
328,12,8-1,7:10pm ET,HOU@BOS,HOU,BOS,Framber Valdez,14.2
329,13,8-1,7:10pm ET,HOU@BOS,BOS,HOU,Garrett Crochet,21.9
330,9,8-1,7:07pm ET,KC@TOR,TOR,KC,Kevin Gausman,16.1
331,8,8-1,7:07pm ET,KC@TOR,KC,TOR,Michael Lorenzen,13.0
332,19,8-1,7:35pm ET,LAD@TB,TB,LAD,Shane Baz,16.8
333,18,8-1,7:35pm ET,LAD@TB,LAD,TB,Tyler Glasnow,23.6
334,5,8-1,6:45pm ET,MIL@WSH,WSH,MIL,MacKenzie Gore,18.0
335,4,8-1,6:45pm ET,MIL@WSH,MIL,WSH,Nestor Cortes,16.6
336,11,8-1,7:10pm ET,MIN@CLE,CLE,MIN,Tanner Bibee,15.7
