,player_name,pitcher,fDurability,fERA,fControl,fStuff
191,Alfredo Romero,801252.0,,97.0,94.0,83.0
192,Alfredo Ruiz,701619.0,,90.0,,92.0
193,Alfredo Zarraga,700287.0,55.0,107.0,106.0,112.0
194,Alimber Santa,695001.0,117.0,107.0,100.0,100.0
195,Alison Zacarias,90.0,,92.0,,
196,Alix Hernandez,90.0,,91.0,,
197,Alix Hernandez,806672.0,40.0,,,
198,Allan Hernandez,687198.0,40.0,105.0,92.0,97.0
199,Allan Saathoff,802697.0,,83.0,75.0,80.0
200,Allan Winans,642216.0,137.0,109.0,117.0,98.0
201,Allen Facundo,702098.0,57.0,117.0,104.0,102.0
202,Alonzo Richardson,694946.0,108.0,82.0,86.0,78.0
203,Alonzo Tredwell,696280.0,111.0,100.0,104.0,106.0
204,Alton Davis II,702671.0,,,104.0,
205,Alvaro Gamez,90.0,,93.0,,
206,Alvaro Gonzalez,677572.0,,,,98.0
207,Alvin Guzman,682630.0,,98.0,85.0,95.0
208,Alvin Nova,812460.0,40.0,,,
209,Amilcar Chirinos,702847.0,113.0,102.0,101.0,107.0
210,Amir Garrett,607237.0,,102.0,112.0,105.0
211,Amos Willingham,686294.0,,104.0,111.0,107.0
212,Anders Tolhurst,689434.0,,97.0,104.0,89.0
213,Anderson Bido,675525.0,,84.0,95.0,72.0
214,Anderson Brito,820901.0,40.0,110.0,95.0,109.0
215,Anderson Comas,672624.0,,85.0,,
216,Anderson Espinoza,659262.0,,92.0,92.0,83.0
217,Anderson Jimenez,90.0,,94.0,,
218,Anderson Munoz,674468.0,,,,99.0
219,Anderson Paulino,678255.0,,97.0,101.0,84.0
220,Anderson Pilar,666768.0,,106.0,115.0,101.0
221,Anderson Ramos,90.0,,93.0,,
222,Andinson Ferrer,800072.0,,95.0,98.0,96.0
223,Andre Granillo,701552.0,138.0,112.0,110.0,117.0
224,Andre Jackson,656578.0,,96.0,98.0,105.0
225,Andre Pallante,669467.0,150.0,98.0,,94.0
226,Andre Sanchez,700062.0,,80.0,80.0,71.0
227,Andres Galan,800883.0,88.0,94.0,110.0,84.0
228,Andres Machado,600921.0,,93.0,,102.0
229,Andres Munoz,662253.0,150.0,,,108.0
230,Andres Nunez,656804.0,,91.0,90.0,82.0
231,Andrew Abbott,671096.0,149.0,117.0,98.0,122.0
232,Andrew Albers,452027.0,,91.0,,
233,Andrew Alvarez,674841.0,144.0,103.0,101.0,89.0
234,Andrew Baker,687900.0,126.0,98.0,86.0,111.0
235,Andrew Bash,687856.0,138.0,102.0,103.0,84.0
236,Andrew Bechtold,657510.0,128.0,101.0,102.0,113.0
237,Andrew Bellatti,571479.0,,100.0,85.0,94.0
238,Andrew Bolivar,90.0,,92.0,,
239,Andrew Cabezas,663716.0,,89.0,,90.0
240,Andrew Carson,802539.0,,96.0,81.0,89.0
241,Andrew Chafin,605177.0,,,106.0,98.0
242,Andrew Dalquist,686643.0,141.0,92.0,81.0,91.0
243,Andrew Dutkanych IV,702254.0,50.0,,128.0,101.0
244,Andrew Heaney,571760.0,150.0,,125.0,99.0
245,Andrew Hoffmann,694851.0,143.0,105.0,112.0,111.0
246,Andrew Kittredge,552640.0,136.0,88.0,,102.0
247,Andrew Landry,815069.0,87.0,94.0,100.0,85.0
248,Andrew Lindsey,701604.0,65.0,85.0,100.0,94.0
249,Andrew Magno,687841.0,150.0,108.0,100.0,105.0
250,Andrew Marrero,687817.0,,90.0,82.0,101.0
251,Andrew McInvale,687534.0,,,,92.0
252,Andrew Misiaszek,667280.0,,97.0,95.0,92.0
253,Andrew Moore,681097.0,,97.0,84.0,111.0
254,Andrew Moore - 681097,681097.0,125.0,,,
255,Andrew Morones,688474.0,77.0,105.0,101.0,96.0
256,Andrew Morris,702193.0,132.0,101.0,112.0,95.0
257,Andrew Nardi,677053.0,54.0,,,103.0
258,Andrew Painter,691725.0,91.0,94.0,103.0,102.0
259,Andrew Perez,680970.0,,91.0,104.0,98.0
260,Andrew Pogue,689535.0,,,,104.0
261,Andrew Politi,681555.0,,96.0,103.0,95.0
262,Andrew Quezada,676768.0,,84.0,93.0,72.0
263,Andrew Saalfrank,685314.0,125.0,115.0,99.0,114.0
264,Andrew Schultz,669697.0,,97.0,80.0,102.0
265,Andrew Sears,808825.0,150.0,104.0,112.0,103.0
266,Andrew Suarez,605498.0,,96.0,113.0,91.0
267,Andrew Taylor,800063.0,68.0,86.0,95.0,88.0
268,Andrew Vail,693685.0,,85.0,,
269,Andrew Vasquez,607755.0,,96.0,107.0,78.0
270,Andrew Walling,681003.0,130.0,110.0,103.0,104.0
271,Andrew Walters,689958.0,58.0,97.0,108.0,135.0
272,Andrew Wantz,681806.0,93.0,100.0,106.0,108.0
273,Andruw Salcedo,691402.0,,,,96.0
274,Andry Lara,691251.0,127.0,85.0,88.0,82.0
275,Andy Basora,90.0,,94.0,,
276,Andy Fabian,820848.0,68.0,106.0,134.0,110.0
277,Andy Fisher,688585.0,,102.0,95.0,87.0
278,Andy Luis,692451.0,,,85.0,
279,Andy Rodriguez,701259.0,,90.0,110.0,109.0
280,Andy Rodriguez,703142.0,,85.0,110.0,75.0
281,Andy Rodriguez - 701259,701259.0,,99.0,95.0,80.0
282,Andy Rodriguez - 703142,703142.0,91.0,100.0,,
283,Aneudis Mejia,805874.0,,98.0,88.0,93.0
284,Aneudy Cortorreal,683676.0,,99.0,74.0,108.0
285,Aneury Lora,699699.0,82.0,102.0,109.0,85.0
286,Aneurys Zabala,656008.0,,113.0,94.0,126.0
287,Anferni Gonzalez,90.0,,87.0,,
288,Anfernny Reyes,703102.0,100.0,103.0,80.0,93.0
289,Angel Alfonseca,695227.0,,,,100.0
290,Angel Anazco,807816.0,,,67.0,
291,Angel Bastardo,682785.0,40.0,102.0,102.0,110.0
292,Angel Beltran,90.0,,95.0,,
293,Angel Camacho,90.0,,90.0,,
294,Angel Chivilli,683409.0,140.0,95.0,112.0,119.0
295,Angel Cruz,90.0,,93.0,,
296,Angel Cuenca,681450.0,,86.0,86.0,82.0
297,Angel De Jesus,669804.0,,93.0,101.0,104.0
298,Angel Felipe,665734.0,,97.0,80.0,96.0
