,Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID,MLBID
416,Alex Lange,KC,2.6354,2.563,0.0,3.93472,53.0,0.0,0.0,7.1607,,53.0,231.037,47.652,25.2188,23.1711,5.05267,26.9993,1.218,2.7533,55.744,9.46596,4.58479,2.06465,0.858,0.241277,0.116861,0.1244160011410713,0.23674,1.40852,0.303225,0.731493,0.467504,,3.95503,0.226775,0.334014,999.0,,,,,,,255.90000000000003,4.828301886792453,250,4.716981132075472,6.43,5.46,4.85,4.39,4.0,3.64,3.29,2.92,2.48,5.05,4.76,4.55,4.39,4.24,4.1,3.95,3.78,3.57,Alex Lange,19883,656638.0,656638.0
417,Andrew Chafin,,2.2026,2.1129,0.0,3.82278,44.0,0.0,0.0,0.0,,44.0,190.476,39.2882,20.2667,18.6891,4.928,20.7531,1.0701,1.5935,46.824,9.57764,4.24495,2.25624,1.008,0.245826,0.108954,0.1368723735213279,0.233678,1.36458,0.295248,0.748457,0.417,,3.9864,0.225007,0.30434,999.0,,,,,,,187.7,4.265909090909092,180,4.090909090909091,6.42,5.37,4.72,4.23,3.82,3.44,3.09,2.71,2.27,4.87,4.6,4.41,4.25,4.11,3.97,3.83,3.67,3.46,Andrew Chafin,12988,605177.0,605177.0
418,Tyler Rogers,TOR,3.6569,3.6014,0.0,4.05985,74.0,0.0,2.065,17.529,,74.0,316.781,80.6269,36.524,33.381,8.35378,17.0349,1.5342,3.3164,50.926,6.1937,2.07181,2.98951,1.016,0.160761,0.053775,0.1069858893752098,0.271993,1.31975,0.304757,0.711182,0.511693,,4.05137,0.224198,0.0399376,706.6900024414062,,,,,,,362.6,4.9,390,5.27027027027027,6.32,5.51,4.98,4.58,4.23,3.91,3.59,3.25,2.83,5.16,4.89,4.7,4.55,4.41,4.27,4.14,3.98,3.77,Tyler Rogers,15541,643511.0,643511.0
419,Phil Maton,CHC,3.2685,3.1065,0.0,3.81243,65.0,0.0,3.529,13.7934,,65.0,276.831,57.5753,29.8036,27.5342,7.55444,25.4505,1.5874,4.5555,67.2706,9.31439,3.52392,2.64319,1.046,0.243002,0.0919352,0.1510672569274902,0.233264,1.27732,0.290819,0.73461,0.425361,,3.96105,0.22312,0.39978,469.30999755859375,,,,,,,351.8,5.412307692307692,341,5.246153846153846,6.05,5.2,4.66,4.24,3.89,3.56,3.24,2.91,2.5,4.83,4.56,4.38,4.23,4.09,3.96,3.83,3.67,3.47,Phil Maton,18064,664208.0,664208.0
420,Colton Gordon,HOU,2.0174,2.0261,0.6131,4.14001,31.62,1.62,0.0,0.6626,,38.94,163.851,38.4789,19.1999,17.9124,6.00974,10.126,1.1504,1.5084,34.282,7.92342,2.34037,3.38554,1.389,0.209227,0.0618001,0.1474266313016414,0.25279,1.2482,0.290098,0.731627,0.383457,,4.27704,0.222997,0.207937,999.0,,,,,,,152.0,3.897435897435898,153,3.923076923076923,7.56906,5.9929,5.06596,4.39413,3.84755,3.37704,2.93031,2.48817,1.98521,5.09055,4.84596,4.67367,4.53908,4.40908,4.28678,4.16219,4.01219,3.8176,Colton Gordon,31312,676467.0,676467.0
421,Javier Assad,CHC,3.9407,4.2526,1.844,4.18682,54.86,4.86,0.0,4.7,,76.5465,329.266,76.1602,38.5056,35.6096,9.883,27.0351,1.1786,3.1428,65.6112,7.71428,3.17867,2.42689,1.162,0.199265,0.0821072,0.1171578541398048,0.254641,1.34814,0.296418,0.72393,0.437964,,4.28203,0.216166,0.37191,693.6900024414062,,,,,,,311.20000000000005,4.0415584415584425,317,4.116883116883117,7.00101,5.86148,5.15131,4.61889,4.16687,3.76525,3.37364,2.96896,2.49081,5.2201,4.95317,4.7797,4.63276,4.49929,4.36929,4.23236,4.07889,3.87542,Javier Assad,21741,665871.0,665871.0
422,Hunter Dobbins,BOS,2.119,2.4383,1.1962,4.40265,27.24,3.24,0.0,0.6699,,41.8516,180.593,43.9038,22.1064,20.4731,5.52906,13.3769,0.8501,1.8145,32.5191,6.99309,2.87664,2.43099,1.189,0.180068,0.0740721,0.1059963479638099,0.265438,1.36866,0.301325,0.710018,0.452529,,4.38751,0.215424,0.219589,739.4600219726562,,,,,,,147.6,3.5142857142857142,157,3.738095238095238,8.03304,6.41228,5.45124,4.74579,4.16887,3.66048,3.18635,2.71223,2.16237,5.48991,5.21564,5.02711,4.86285,4.71858,4.58432,4.44005,4.27152,4.05725,Hunter Dobbins,30240,690928.0,690928.0
423,Jaden Hill,COL,2.6316,3.0587,0.0,4.57466,58.0,0.0,1.911,10.357,,58.0,253.94,59.7289,31.7065,29.4811,7.33378,22.6929,1.4538,3.5641,54.8219,8.50685,3.52131,2.41582,1.138,0.215885,0.0893632,0.1265220046043396,0.262334,1.42107,0.316535,0.702871,0.463344,,4.24662,0.215052,0.265148,748.8499755859375,,,,,,,266.1,4.587931034482759,278,4.793103448275862,7.12,6.15,5.54,5.07,4.66,4.28,3.91,3.52,3.05,5.76,5.44,5.22,5.04,4.88,4.72,4.56,4.38,4.13,Jaden Hill,30250,677955.0,677955.0
424,Bryan Hudson,CWS,2.0031,2.1169,0.0,3.87324,42.0,0.0,0.0,0.6075,,42.0,179.641,38.6403,19.609,18.0751,5.082,17.6434,1.0832,1.7098,39.8574,8.54087,3.78073,2.25905,1.089,0.221872,0.0982148,0.1236577257514,0.241068,1.34009,0.29093,0.745892,0.437419,,4.19254,0.214931,0.193753,999.0,,,,,,,171.9,4.092857142857143,169,4.023809523809524,6.54,5.46,4.79,4.28,3.86,3.48,3.11,2.73,2.28,4.95,4.67,4.47,4.31,4.16,4.02,3.88,3.71,3.5,Bryan Hudson,19924,663542.0,663542.0
425,Josh Sborz,,2.2722,2.2398,0.0,3.95074,46.0,0.0,0.0,0.0,,46.0,196.413,41.9257,21.7803,20.1927,5.704,18.2081,1.0879,1.597,47.1396,9.22297,3.56245,2.58894,1.116,0.240002,0.0927031,0.1472993120551109,0.237394,1.30726,0.292667,0.735471,0.407,,3.98923,0.212288,0.205978,750.3800048828125,,,,,,,191.40000000000003,4.160869565217392,186,4.043478260869565,6.54,5.5,4.85,4.36,3.94,3.56,3.2,2.82,2.37,5.06,4.75,4.54,4.37,4.22,4.07,3.92,3.74,3.52,Josh Sborz,18323,622250.0,622250.0
