,player_name,pitcher,p_throws,pitch_type,n_pitches,release_speed,release_pos_x,release_pos_z,release_extension,pfx_x_in,pfx_z_in,PC,Usage,SwStr%,Strike%,Ball%,xwOBACON,STUFF+,STUFF+_lg,xwOBACON_lg,SwStr%_lg,Strike%_lg,Ball%_lg,STUFF+_AA,STUFF+_AA_pct,xwOBACON_AA,xwOBACON_AA_pct,SwStr%_AA,SwStr%_AA_pct,Strike%_AA,Strike%_AA_pct,Ball%_AA,Ball%_AA_pct,PitchGrade,QualifiedPitch
2797,Steven Wilson,621051,R,CH,70,84.87142857142857,-2.3212857142857146,5.655571428571428,6.901428571428572,12.858857142857143,6.264,70,0.072,0.143,0.329,0.471,0.466,93.606,97.37529038112524,0.36030923694779116,0.12857168784029038,0.357562613430127,0.4536442831215971,-3.769290381125245,-0.03870890003380022,-0.10569076305220887,-0.29333348194879466,0.014428312159709605,0.1122199793910477,-0.028562613430127004,-0.0798814315515919,-0.01735571687840287,-0.03825842741580578,92.6,0
2798,Steven Wilson,621051,R,FF,326,93.83803680981595,-2.1344171779141106,5.931748466257669,6.7098159509202455,6.210184049079754,18.870920245398775,326,0.335,0.095,0.509,0.371,0.353,102.951,97.65948614609572,0.4265792922673657,0.09500755667506298,0.4634105793450881,0.36534634760705287,5.291513853904277,0.05418330633020461,0.0735792922673657,0.17248678874277998,-7.55667506298352e-06,-7.953762129499064e-05,0.045589420654911894,0.09837803167838946,-0.005653652392947128,-0.01547477463502084,106.9,1
2799,Steven Wilson,621051,R,ST,568,82.09647887323945,-2.4225,5.855809859154929,6.499295774647887,-15.155492957746478,-0.3380281690140845,568,0.583,0.129,0.442,0.364,0.33,101.905,99.45568674698795,0.3672549019607843,0.14117469879518071,0.43291265060240963,0.4065240963855422,2.4493132530120505,0.024627181543102953,0.03725490196078429,0.10144153764014943,-0.01217469879518071,-0.08623853211009166,0.009087349397590372,0.020991184676504786,0.04252409638554222,0.10460412251974582,103.3,1
2800,T.J. McFarland,519008,L,CH,29,80.88620689655171,2.061034482758621,5.456551724137931,5.544827586206897,-15.260689655172413,-1.2206896551724138,29,0.107,0.103,0.345,0.379,0.266,94.655,97.37529038112524,0.36030923694779116,0.12857168784029038,0.357562613430127,0.4536442831215971,-2.7202903811252384,-0.027936146536539894,0.09430923694779114,0.2617452656687138,-0.02557168784029039,-0.19889050435469988,-0.012562613430127045,-0.0351340239674749,0.0746442831215971,0.1645436433320798,103.2,0
2801,T.J. McFarland,519008,L,SI,139,87.9043165467626,2.0587050359712227,5.326978417266187,5.422302158273381,-17.8705035971223,-1.507338129496403,139,0.511,0.05,0.345,0.396,0.381,98.422,99.46187804878049,0.3860931098696462,0.060130662020905924,0.4477909407665505,0.34917770034843204,-1.0398780487804942,-0.010455041360374194,0.005093109869646173,0.013191403160148916,-0.010130662020905921,-0.1684774735622193,-0.10279094076655054,-0.22955118428833768,-0.04682229965156798,-0.13409304089249016,86.1,0
2802,T.J. McFarland,519008,L,ST,101,78.05544554455446,2.035544554455446,5.432079207920792,5.642574257425743,16.1619801980198,-1.6918811881188118,101,0.371,0.109,0.525,0.287,0.444,102.21,99.45568674698795,0.3672549019607843,0.14117469879518071,0.43291265060240963,0.4065240963855422,2.754313253012043,0.027693873956337225,-0.0767450980392157,-0.208969567538708,-0.032174698795180715,-0.227906976744186,0.09208734939759039,0.21271577365421954,0.11952409638554223,0.29401478890979965,104.7,0
2803,Taijuan Walker,592836,R,CU,133,74.92330827067669,-1.8790977443609023,6.524661654135338,5.746616541353383,-6.769624060150376,-10.336240601503759,133,0.065,0.083,0.414,0.414,0.429,91.983,96.90630048076923,0.3883174603174603,0.11207211538461538,0.4016730769230769,0.43809855769230766,-4.923300480769228,-0.050804751149758756,-0.04068253968253971,-0.1047661870503598,-0.029072115384615377,-0.2594054309124447,0.012326923076923069,0.030688945276966514,0.024098557692307676,0.055007160533116745,94.6,0
2804,Taijuan Walker,592836,R,FC,629,87.06677265500795,-1.90543720190779,6.503275039745628,5.902543720190779,-3.0793640699523053,12.650365659777425,630,0.306,0.089,0.51,0.322,0.352,99.626,98.77336079545454,0.3993963963963964,0.10486363636363637,0.4504119318181818,0.36716193181818185,0.8526392045454685,0.008632278963466293,0.04739639639639642,0.11867006518846013,-0.01586363636363637,-0.15127871694841794,0.05958806818181822,0.13229682424548245,0.045161931818181844,0.12300276228131946,106.5,1
2805,Taijuan Walker,592836,R,FF,195,92.23794871794873,-1.741128205128205,6.55574358974359,6.017435897435898,9.105230769230769,17.175384615384615,195,0.095,0.072,0.462,0.364,0.44,95.687,97.65948614609572,0.4265792922673657,0.09500755667506298,0.4634105793450881,0.36534634760705287,-1.9724861460957186,-0.02019758882557438,-0.013420707732634318,-0.03146122649625164,-0.02300755667506299,-0.2421655443024552,-0.0014105793450880921,-0.0030439083783576626,0.001346347607052878,0.003685126773187118,94.4,1
2806,Taijuan Walker,592836,R,FS,463,87.35140388768897,-1.935097192224622,6.416133909287257,6.030453563714903,12.43645788336933,3.907904967602592,463,0.225,0.099,0.324,0.451,0.38,99.261,96.81708125,0.33855555555555555,0.151975,0.3694375,0.46686875,2.4439187499999946,0.025242640228838695,-0.04144444444444445,-0.1224154906465376,-0.052974999999999994,-0.34857706859680865,-0.045437499999999964,-0.12299103366604626,0.015868749999999987,0.033989745511988086,87.1,1
2807,Taijuan Walker,592836,R,SI,417,92.00095923261391,-1.736354916067146,6.51158273381295,6.037410071942446,14.698705035971223,12.505611510791367,417,0.202,0.046,0.448,0.343,0.335,95.682,99.46187804878049,0.3860931098696462,0.060130662020905924,0.4477909407665505,0.34917770034843204,-3.779878048780489,-0.038003284503904805,0.05109310986964616,0.13233364844789994,-0.014130662020905925,-0.2349992756772418,0.0002090592334494934,0.0004668679386224642,0.006177700348432014,0.017692138822918833,98.1,1
2808,Taijuan Walker,592836,R,SL,223,83.56233183856503,-1.8448430493273542,6.531793721973094,5.92286995515695,-6.835695067264575,5.236950672645739,223,0.108,0.117,0.354,0.413,0.348,99.292,99.07088235294118,0.3811496478873239,0.13827226890756303,0.43779999999999997,0.3867966386554622,0.22111764705881853,0.0022319135734663624,0.03314964788732394,0.08697278895853446,-0.02127226890756302,-0.15384334889148188,-0.08379999999999999,-0.19141160347190497,-0.026203361344537768,-0.06774454254727462,90.6,1
