,player_name,pitcher,fDurability,fERA,fControl,fStuff
159,Alex Breckheimer,832225.0,,,,102.0
160,Alex Bustamante,806628.0,58.0,103.0,87.0,98.0
161,Alex Carrillo,692024.0,93.0,113.0,100.0,122.0
162,Alex Claudio,592222.0,,87.0,108.0,73.0
163,Alex Clemmey,806046.0,101.0,104.0,89.0,102.0
164,Alex Cobb,502171.0,72.0,103.0,103.0,109.0
165,Alex Colome,517008.0,,92.0,101.0,93.0
166,Alex Cook,702047.0,64.0,107.0,115.0,114.0
167,Alex Cornwell,676498.0,107.0,97.0,97.0,86.0
168,Alex Faedo,656412.0,64.0,103.0,108.0,109.0
169,Alex Garbrick,687885.0,55.0,96.0,101.0,96.0
170,Alex Hoppe,695380.0,113.0,102.0,99.0,109.0
171,Alex Lange,656638.0,90.0,112.0,102.0,120.0
172,Alex Makarewich,801317.0,88.0,110.0,71.0,121.0
173,Alex Martinez,692624.0,69.0,108.0,104.0,95.0
174,Alex Mauricio,676089.0,69.0,100.0,104.0,102.0
175,Alex McFarlane,686934.0,82.0,98.0,95.0,102.0
176,Alex Pham,702129.0,83.0,102.0,107.0,107.0
177,Alex Phillips,641974.0,,,50.0,
178,Alex Rao,702102.0,55.0,93.0,82.0,98.0
179,Alex Santos II,691012.0,64.0,92.0,91.0,104.0
180,Alex Scherff,669085.0,,98.0,97.0,106.0
181,Alex Segal,669393.0,,95.0,76.0,100.0
182,Alex Speas,666208.0,75.0,98.0,74.0,111.0
183,Alex Troop,675960.0,62.0,92.0,105.0,90.0
184,Alex Valverde,663820.0,,87.0,94.0,87.0
185,Alex Vesia,681911.0,129.0,100.0,122.0,107.0
186,Alex Williams,677354.0,95.0,93.0,106.0,89.0
187,Alex Wood,622072.0,64.0,,,98.0
188,Alex Young,622065.0,81.0,104.0,108.0,103.0
189,Alexander Alberto,693739.0,87.0,115.0,105.0,111.0
190,Alexander Almonte,90.0,,94.0,,
191,Alexander Campos,814226.0,,92.0,117.0,87.0
192,Alexander Cornielle,529017.0,105.0,96.0,100.0,94.0
193,Alexander Fuentes,90.0,,92.0,,
194,Alexander Garcia,90.0,,90.0,,
195,Alexander Johnson,689564.0,61.0,95.0,70.0,89.0
196,Alexander Meckley,814384.0,82.0,96.0,100.0,83.0
