,PLAYERID,NAME,HAND,TEAM,OPP_TM,SALARY,POS,LP,OL,OD,IPL,ERROR,2H,PITCHER,CATCHER,UMPIRE,PARK,ROOF,GVF,PLATOON,HFA,PH%,COLD,TILT_BIAS,FPTS,FPTS/$,RBI,R,SB,CS,SH,SF,GIDP,HR_DEPENDENCE,0%_PH%_FPTS,SLATE,FLOOR,CEILING,POWN,PA,PAVSSP,PAVSSP%,BA,_OBP,SLG,ISO,WOBA,CNWOBA,XWOBA_CS,XWOBA_LS,AB,K,BB,IBB,HBP,H,1B,2B,3B,HR,TB,PARTNERID,OWNERSHIP
27,3409991.0,Seiya Suzuki,R,CHC,WAS,12000,OF,3,true,true,true,-,-,Jake Irvin,Riley Adams (-),Clint Vondrak (EH),CHC,-,-,false,true,0%,true,66%,9.35,0.78,0.77,0.72,0.06,0.02,0.0,0.001,0.07,37%,9.37,--,0.84,20.49,0.01,4.28,2.72,64%,0.271,0.355,0.506,0.235,0.369,0.365,0.381,0.329,3.78,0.92,0.46,0.03,0.03,1.03,0.59,0.19,0.01,0.22,1.92,3409991.0,
28,16500.0,Mookie Betts,R,LAD,BAL,4500,SS,2,false,false,true,-,-,Dean Kremer,Samuel Basallo (-),-,BAL,-,-,false,false,1%,false,69%,9.34,2.08,0.63,0.74,0.05,0.04,0.0,0.001,0.07,30%,9.4,Main,1.04,20.4,10.77,4.67,2.79,60%,0.282,0.36,0.479,0.197,0.364,0.345,0.318,0.35,4.16,0.49,0.47,0.0,0.04,1.17,0.73,0.25,0.01,0.18,1.99,16500.0,
29,2039129.0,Julio Rodriguez,R,SEA,ATL,5000,OF,3,false,false,true,-,-,Chris Sale,Drake Baldwin (N),-,ATL,-,-,true,false,0%,false,59%,9.32,1.86,0.62,0.57,0.23,0.04,0.0,0.001,0.08,28%,9.32,Main,0.69,21.5,3.47,4.44,2.72,61%,0.274,0.33,0.464,0.19,0.342,0.358,0.334,0.35,4.09,1.25,0.28,0.01,0.06,1.12,0.71,0.21,0.04,0.17,1.9,2039129.0,
30,2109143.0,Gunnar Henderson,L,BAL,LAD,5100,SS,3,false,false,true,-,-,Tyler Glasnow,Dalton Rushing (-),-,BAL,-,-,true,true,0%,true,64%,9.29,1.82,0.64,0.63,0.12,0.04,0.0,0.001,0.08,35%,9.29,Main,0.53,20.98,6.72,4.24,2.74,65%,0.27,0.356,0.517,0.247,0.373,0.362,0.353,0.382,3.74,1.06,0.47,0.02,0.03,1.01,0.55,0.21,0.04,0.21,1.93,2109143.0,
31,5161399.0,Hunter Goodman,R,COL,SDP,5200,C,3,false,false,true,-,-,Nick Pivetta,Freddy Fermin (N),-,COL,-,-,false,true,0%,false,62%,9.28,1.78,0.79,0.72,0.02,0.01,0.0,0.001,0.06,43%,9.28,Main,0.67,20.42,6.16,4.31,2.71,63%,0.263,0.311,0.528,0.265,0.357,0.317,0.288,0.29,4.02,1.21,0.25,0.01,0.03,1.06,0.53,0.25,0.02,0.26,2.12,5161399.0,
32,2039346.0,Corbin Carroll,L,ARI,BOS,5800,OF,3,false,false,true,-,-,Payton Tolle,Carlos Narvaez (N),-,ARI,Closed,-,false,true,0%,false,51%,9.23,1.59,0.65,0.6,0.25,0.04,0.03,0.001,0.07,24%,9.23,Main,0.42,21.47,4.58,4.25,2.3,54%,0.253,0.336,0.453,0.2,0.342,0.361,0.37,0.324,3.73,1.01,0.42,0.02,0.07,0.94,0.55,0.19,0.06,0.15,1.69,2039346.0,
33,2038928.0,Jo Adell,R,LAA,ATH,4100,OF,5,false,false,true,-,-,Mason Barnett,Shea Langeliers (-),-,LAA,-,-,false,true,2%,false,63%,9.22,2.25,0.72,0.7,0.08,0.03,0.0,0.001,0.06,43%,9.31,Main,0.54,20.52,9.76,4.08,2.32,57%,0.264,0.336,0.536,0.272,0.371,0.335,0.367,0.323,3.68,1.03,0.34,0.01,0.06,0.97,0.51,0.19,0.02,0.26,1.97,2038928.0,
34,1221473.0,Randy Arozarena,R,SEA,ATL,4500,OF,1,false,false,true,-,-,Chris Sale,Drake Baldwin (N),-,ATL,-,-,true,false,0%,false,55%,9.16,2.04,0.48,0.67,0.21,0.06,0.0,0.001,0.08,28%,9.18,Main,0.62,20.93,4.76,4.62,2.92,63%,0.246,0.333,0.434,0.188,0.336,0.349,0.336,0.311,4.08,1.38,0.41,0.0,0.13,1.0,0.6,0.22,0.02,0.17,1.77,1221473.0,
35,5229311.0,Pete Crow-Armstrong,L,CHC,WAS,12900,OF,4,true,true,true,-,-,Jake Irvin,Riley Adams (-),Clint Vondrak (EH),CHC,-,-,true,true,0%,true,58%,9.13,0.71,0.69,0.6,0.2,0.04,0.04,0.001,0.07,29%,9.15,--,0.54,21.16,0.01,4.18,2.65,63%,0.265,0.32,0.477,0.212,0.343,0.322,0.329,0.321,3.81,0.86,0.28,0.02,0.05,1.01,0.6,0.18,0.06,0.17,1.82,5229311.0,
36,493497.0,Taylor Ward,R,LAA,ATH,4200,OF,4,false,false,true,-,-,Mason Barnett,Shea Langeliers (-),-,LAA,-,-,false,true,0%,true,61%,9.08,2.16,0.72,0.68,0.04,0.02,0.0,0.001,0.05,38%,9.08,Main,0.61,19.95,9.41,4.19,2.39,57%,0.268,0.368,0.517,0.249,0.381,0.349,0.339,0.344,3.61,0.94,0.52,0.01,0.05,0.97,0.53,0.21,0.01,0.22,1.87,493497.0,
