,player_name,pitcher,fDurability,fERA,fControl,fStuff
477,Cam Schlittler,693645,144.0,102.0,100.0,108.0
2134,Michael Grove,675627,48.0,102.0,,94.0
2168,Miguel Sano,593934,,102.0,,
409,Bryan Hudson,663542,118.0,102.0,,94.0
403,Bruce Zimmermann,669145,137.0,102.0,,99.0
2345,Pedro Avila,658648,,102.0,,90.0
2332,Patrick Wisdom,621550,,102.0,,
2302,Oswaldo Cabrera,665828,,102.0,,
1540,John Schreiber,670167,150.0,102.0,,94.0
3042,Zack Thompson,668868,55.0,102.0,,97.0
1563,Jonathan Loaisiga,642528,60.0,101.0,,108.0
1607,Jose De Leon,592254,110.0,101.0,,101.0
3036,Zack Kelly,677161,146.0,101.0,,98.0
3016,Zach Jackson,667427,,101.0,,
444,Cade Cavalli,676917,111.0,101.0,,97.0
2705,Tayler Saucedo,642048,130.0,101.0,,95.0
504,Carlos Vargas,672841,149.0,101.0,114.0,88.0
628,Clayton Beeter,690925,141.0,101.0,,110.0
1954,Luis L. Ortiz,682847,,101.0,88.0,101.0
2712,Taylor Rogers,573124,150.0,101.0,,94.0
2935,Will Warren,701542,150.0,101.0,88.0,95.0
1943,Luis Garcia,472610,,101.0,,97.0
2557,Sam Moll,594580,140.0,101.0,,99.0
1103,Grant Anderson,681982,150.0,101.0,96.0,103.0
2784,Trevor Richards,670950,,101.0,,93.0
1842,Kyle Nelson,669459,113.0,101.0,,100.0
1535,John King,667463,150.0,101.0,,81.0
2994,Yosver Zulueta,691172,136.0,101.0,,102.0
1759,Keaton Winn,676775,106.0,101.0,,100.0
2372,Porter Hodge,687863,132.0,101.0,,109.0
1275,Jack Leiter,683004,145.0,101.0,86.0,98.0
1206,Hurston Waldrep,694462,128.0,101.0,,99.0
576,Chasen Shreve,592741,,101.0,,
2472,Ron Marinaccio,676760,150.0,101.0,,105.0
732,Dane Dunning,641540,,101.0,94.0,90.0
2682,T.J. McFarland,519008,,101.0,,77.0
312,Brady Singer,663903,150.0,101.0,96.0,91.0
931,Elvis Alvarado,665660,150.0,101.0,,113.0
1675,Josh Winckowski,670174,69.0,101.0,,90.0
1735,Justin Topa,623437,96.0,101.0,,85.0
2842,Tyler Mahle,641816,,101.0,99.0,89.0
466,Caleb Ferguson,657571,150.0,101.0,,90.0
1511,Joel Payamps,606303,150.0,101.0,,98.0
1806,Kody Funderburk,681892,150.0,101.0,,89.0
1786,Kevin Ginkel,656464,88.0,101.0,,104.0
667,Colin Selby,681882,144.0,101.0,,105.0
1155,Hayden Wesneski,669713,63.0,101.0,,95.0
1229,Isaiah Campbell,663462,124.0,101.0,,109.0
243,Bailey Ober,641927,145.0,100.0,114.0,93.0
14,Aaron Loup,571901,,100.0,,
2434,Richard Lovelady,663992,,100.0,,93.0
3005,Yusei Kikuchi,579328,150.0,100.0,93.0,98.0
2573,Sandy Alcantara,645261,132.0,100.0,103.0,93.0
1853,Lake Bachar,669199,150.0,100.0,105.0,104.0
297,Brad Lord,695418,150.0,100.0,98.0,91.0
972,Erik Swanson,657024,,100.0,,93.0
1833,Kyle Harrison,690986,147.0,100.0,,98.0
1124,Griffin Canning,656288,,100.0,86.0,93.0
182,Anthony DeSclafani,543101,,100.0,,102.0
783,David Morgan,688158,150.0,100.0,,105.0
2502,Ryan Fernandez,681676,150.0,100.0,,107.0
35,Adam Ottavino,493603,,100.0,,99.0
2191,Mitch Keller,656605,150.0,100.0,104.0,90.0
829,Domingo German,593334,,100.0,,94.0
2619,Seth Lugo,607625,110.0,100.0,96.0,86.0
2884,Victor Vodnik,680767,147.0,100.0,,98.0
806,Dennis Santana,642701,150.0,100.0,,100.0
2487,Ryan Bergert,686701,123.0,100.0,86.0,95.0
1601,Jose Castillo,620454,132.0,100.0,,99.0
1494,Joe Jacques,682175,142.0,100.0,,
534,Casey Mize,663554,127.0,100.0,109.0,95.0
2041,Mason Englert,669438,112.0,100.0,,96.0
1385,Jameson Taillon,592791,150.0,100.0,116.0,86.0
132,Andres Machado,600921,,100.0,,
2963,Yency Almonte,622075,83.0,100.0,,
921,Eli Morgan,669212,121.0,100.0,,94.0
1779,Kenta Maeda,628317,130.0,100.0,104.0,90.0
2076,Matt Gage,657424,149.0,100.0,,99.0
670,Collin Snider,676092,147.0,100.0,,98.0
335,Brandon Sproat,687075,150.0,100.0,,108.0
1373,Jakob Junis,596001,145.0,100.0,118.0,88.0
135,Andrew Alvarez,674841,144.0,100.0,,94.0
2152,Michael Rucker,621074,,100.0,,
471,Calvin Faucher,676534,150.0,100.0,,95.0
180,Anthony Bender,669622,80.0,100.0,,91.0
846,Drew Carlton,656290,,100.0,,
2646,Simeon Woods Richardson,680573,150.0,100.0,91.0,95.0
2541,Ryan Yarbrough,642232,121.0,100.0,109.0,85.0
2687,Taj Bradley,671737,150.0,100.0,91.0,94.0
2086,Matt Moore,519043,,100.0,,83.0
1744,Kade Strowd,669704,150.0,100.0,,103.0
710,Cristian Javier,664299,111.0,100.0,91.0,89.0
2373,Prelander Berroa,672860,59.0,100.0,,110.0
676,Connor Brogdon,641401,144.0,100.0,,103.0
1212,Ian Hamilton,641656,143.0,100.0,,104.0
1572,Jordan Hicks,663855,107.0,99.0,84.0,91.0
253,Ben Casparius,676508,131.0,99.0,103.0,99.0
1113,Grant Wolfram,664991,150.0,99.0,,104.0
2581,Sawyer Gipson-Long,687830,94.0,99.0,,100.0
1175,Huascar Brazoban,623211,150.0,99.0,,96.0
2429,Richard Bleier,542947,,99.0,,
2491,Ryan Brasier,518489,117.0,99.0,,91.0
1597,Jose Berrios,621244,150.0,99.0,97.0,88.0
800,Dean Kremer,665152,150.0,99.0,105.0,90.0
448,Cade Gibson,806188,142.0,99.0,,86.0
130,Andre Pallante,669467,150.0,99.0,86.0,85.0
1314,Jacob Latz,656641,,99.0,88.0,101.0
1748,Kai-Wei Teng,678906,135.0,99.0,,96.0
350,Brayan Bello,678394,150.0,99.0,93.0,86.0
140,Andrew Chafin,605177,,99.0,,100.0
491,Carlos Estevez,608032,150.0,99.0,,92.0
2348,Penn Murfee,682171,,99.0,,100.0
1333,Jaden Hill,677955,130.0,99.0,,98.0
1731,Justin Slaten,686580,130.0,99.0,,104.0
2355,Peter Strzelecki,657265,,99.0,,
1667,Josh Simpson,681006,131.0,99.0,,102.0
1512,Joel Peguero,666711,150.0,99.0,,104.0
194,Anthony Veneziano,685107,139.0,99.0,,96.0
1456,Jesse Chavez,445926,,99.0,,82.0
1447,Jeffrey Springs,605488,122.0,99.0,100.0,90.0
