,rank,player_name,positions,organization,eta,comp,prime_skills,ranking_explanation,previous_rank,hit_grade,plate_approach_grade,power_grade,speed_grade,other_tool_grades
74,111,Harry Ford,C,Mariners,Late 2025,"J.T. Realmuto light (less power, better discipline)","Ford has great plate skills and he’s a great athlete, but the biggest change this year is the power finally showing up.  He’s done a great job improving the hit tool this season as his contact rate has risen nearly 5% to a solid 78% with an 84.1 Z-Contact%.  Ford gets to slightly above average angles as well with an 8.8% barrel rate, 23.2% line drive rate and 9 degree average launch angle this year.  Ford’s power this season has ticked up to average-ish despite hitting way too many balls on the ground as he’s netted a 103.5 90th percentile EV and 109.3 average EV on the season.","Ford is a good athlete so there’s a chance he moves off to the OF where he played a little in 2024.  This year he has only played at catcher and DH and though he might move off a bit, he should keep the catcher designation as the backup to Raleigh even if it’s not his primary position in the bigs.  He should get a September call up based on his performance and the only thing to hate this year is the drop in stolen bases after coming off three consecutive 20+ steal seasons.  Ford has a 127 wRC+ and is still at least one year young for the level, so he theoretically should net an 150 wRC+ when considering age-to-level.  I give Estrada an edge to Ford as I think Estrada has more power potential and Ford being a catcher and not yet playing off position may affect his total ABs ala Dalton Rushing.",133,50/55,65/70,45/45,50/55,
75,112,Ryan Clifford,1B / OF,Mets,Early 2026,Vinnie Pasquantino with more Ks,"This kid has a big time power and a decent eye to take a walk.  The hit tool has gone from sub par to above average at AAA (as I have previously mentioned the AAA environment is great for hitters and terrible for pitchers) as his contact rate has gone from 74.9% to 83.3% with a 93.5 Z-Contact%.  I’m not sure how much I buy that, but it is definitely factored into this ranking and his potential hit tool, though the angles haven’t been great with only a 6.9% barrel rate and 6 degree average launch angle in the small AAA sample size, the AA angles were a bit better, though still only average.  The max EV is only 111, though I’m sure he’s hit it harder when we haven’t had the data based on his profile and his 90th percentile EV is sitting at a very good 107.1 mph.","The power is legit at a young age, he might struggle at times with strikeouts, but he actually does have a good approach with only a 22.6% chase rate at AAA. He needs to swing in the zone more though, as a 52.9% Z-Swing% is way too passive.  I jumped Clifford of Wilken even though I think Clifford is probably at best a 30-35 homer guy based on the lower EVs and worse angles, but he makes much better contact and has a little more athleticism that will raise his batting potential batting average to be a good 20 points higher than Wilken and that matters. Top 150 Ranking:  N/A",,45/55,50/55,60/65,35/30,
76,114,Angel Genao,SS,Guardians,Late 2026,Shades of Tommy Edman w/ a better hit tool and less speed,"Athletic switch hitting middle infielder with a classic hit and speed type profile with a little power built in.  He’s a small dude and will have a limited power upside, but he does have 15 homer power just based on how much hard contact he generates in the smaller frame.  He was a .300 plus hitter on both sides of the plate, so he is a legit switch hitter that will stick with a great hit tool (81.2% contact rate) and solid angles, but ideally the GB% would decrease.  The stolen bases are down this year, as is the power stroke - likely due to his injury or lack of a normal pre-season program.  Interestingly Genao gets close to his max EV pretty regularly having posed a 105 max EV and 104.1 90th percentile EV","The Guardians have a lot of these hit first switch hitting middle infielders and while Genao might be the best of their massive middle infield crop behind Bazzana, they haven’t exactly hit on all of them (see Rocchio and Gimenez).",92,50/60,55/55,45/50,55/60,
77,115,Brock Wilken,3B,Brewers,Mid 2026,Righty Max Muncy,"This dude has massive power, but the question is if the hit tool can be average enough to allow him to mash 30-40 homers.  His contact rate is up to 72.5%, which is good enough with his power and he has a top notch eye, the strikeout rates should tick down as the swinging strike rate of 9.5% portends to better future outcomes.  Wilken has a near 60% pull rate so the air/pull here is ridiculous for a guy who has put up a 115 max EV and a 108.1 90th percentile EV back in 2023 when we had those numbers for him.","Brock Wilken missed time in 2024 after getting hit in the eye with a pitch and it messed up his entire season.  Don’t get too excited about his low average this year either, as he’s been hitting in the Southern League which is basically the opposite minor league version of the PCL (that or the low A FSL), though Biloxi is about league average in wOBA.  I’m taking Wilken over Caissie gun to my head, as I trust his approach more despite that I know best case scenario he’s probably a .220-.240 hitter because he is so slow with the sub-average hit tool.",88,40/40,50/60,60/70,30/25,
78,117,Owen Caissie,OF,Cubs,Debuted (in MLB),Cody Bellinger meets Joey Gallo,"The power is legit for this big lefty OF (115.5 max EV in 2024 and around 91.9 average EV with a 107.7 90th percentile EV this season), but the hit tool (73 Contact% and 81.5 Z-Contact% at AAA) and plate skills need some serious work.  He also hits to good angles and is able to barrel the ball well when he does make contact with a 17.5% barrel rate and 25.8% line drive rate at AAA this year.  There is a lot of power potential here however, it will likely come in a strong-side platoon role, because his numbers against lefties are horrendous with a .225/.355/.371 slash against same-handed pitching.","Caissie has always played young for the level and I expect more power to develop based on the exit velocities, but the hit tool has to catch up in order for this to happen.  These are the major hurdles that will determine whether or not Caissie leans toward good Cody Bellinger production or bad Joey Gallo production, while the EVs keep his prospect status afloat.  A lot of people will have Caissie as a Top 100 guy, but he’s basically all power at this point with a lot of questions in the approach and hit tool - plus he can’t hit lefties, so he’s likely a platoon bat.",118,40/40,30/40,55/70,35/40,
79,118,Tommy Troy,2B / SS,Diamondbacks,Early 2026,Matt McLain light / Maikel Garcia mash,"I was really high on Troy when he first came on the scene and his hit tool has improved as the season has gone on from below average to a potential solid 50 at this point (75.8 contact%, 87.2 Z-Contact%), but he does have above average gap power (24.1% line drive rate, despite still getting below average angles with only a 6 degree average launch angle and 3.7% barrel rate at AAA - that have lead to a 51.9% GB rate). Troy has double plus speed with a much improved plate approach as well that could result in a 15/25 potential profile.  He has a 5’9” fire hydrant type build with a big leg kick in his swing and the AAA data thus far doesn’t portend to much power with a 103.8 max EV on the year and poor 99.8 90th percentile EV, but it’s only been 23 games, while he had a 108 max EV last season","Troy jumped out as a standout post draft in the fast lane to a quick promotion.  He killed it in his debut, but then struggled in 2024 and has fallen off most lists - but a solid season in 2025 is rebounding him back into prominence - at least as a notable prospect.",119,45/50,50/55,40/45,55/50,
80,123,Bo Davidson,Bo,Giants,Mid 2026,Curtis Granderson,"Davidson is a toolsy undrafted outfielder with a good plate approach from a lefty toe tap to lunge stance who is developing a hit tool as he advances levels.  Davidson has a 72.8 Contact% on the season with some great angles (27.7% line drive rate).  He has above average speed and a potential plus power tool, having netted a 112 max EV, a very good 106 90th percentile EV last season and an elite 78.9 mph bat speed.","Davidson is one of the more under the radar breakout guys this year, though I suppose technically he broke out last season, but this is the “show me” season where he is proving last year wasn’t just a flash in the pan.  Davidson has a 140 wRC+ on the year, including 112 at AA where he has 5 bombs and 7 steals in 31 games.  Davidson doesn’t have elite speed, but I’ll take a 20/10 profile over the 10/30 profile of DeBarge most times, especially when Davidson has continued a linear developmental path since he broke into the organization.",N/A,40/45,50/55,55/60,55/55,
81,124,Kyle DeBarge,2B/SS,Twins,2027,Jett Williams and Matt McLain mash,"DeBarge was a comp first round pick who has an advanced plate approach with plus, plus speed and non-zero power.  It’s funny to me that I compared a prospect to another prospect, but he has the same profile as Jett Williams almost to a T, especially because Jett Williams is still younger than DeBarge.  He has a solid hit tool thanks to some very quick hands posting a 77.6% contact rate to date.  DeBarge had a reported 106.2 max EV and 102 90th percentile EV in 2024, but we have no data for 2025.","DeBarge is a smaller dude at 5’ 9” so the power is a bit limited with maybe 15 homer power if he really leans into it with his 57.4% pull rate this year and he should be a quick mover as a college guy, but with Keaschall at 2B long-term the question may become between DeBarge and Culpepper who will end up as the long-term shortstop in the organization.  He’s very comparable to AJ Ewing, but the contactability is not as good, though DeBarge does get to better angles.  DeBarge and Troy are a close matchup, but Troy gets the edge for the better power potential and for proximity.",127,45/55,55/55,35/40,65/60,
82,127,Devin Taylor,OF,Athletics,2027,Luis Gonzalez mechanics w/ a light Riley Greene profile,"Taylor was an early second rounder out of Indiana by the Athletics, I’m a big fan of his and thought he should have been drafted earlier as he demonstrated a plus plate approach and some fun tools in college for the strong, athletic lefty.  He has a crouched stance to a leg kick to get to his power, but it’s not the quickest set-up and while it will lead to power could affect the contactability.  In his small sample size he has a 70.4 Contact% and average-ish angles and has had reported exit velocities over 110 mph with a wood bat, but no hard data as of yet since he’s on the west coast.","Taylor was a sneaky pick by the Athletics and this is an organization I trust in development.  He’s already showing off the power in his small sample size in pro ball and once we get some more data, he could be a mover early next season up the rankings despite my noted concerns with the hit tool, the advanced plate approach could help him jump levels quickly.",N/A,35/50,45/60,45/60,50/45,
83,129,Kayson Cunningham,SS,Diamondbacks,2028,Bigger Sal Frelick as a SS,"Cunningham is a hit first, prep shortstop the D Backs selected in the first round of the 2025 draft.  He has a smaller frame and with only a six game sample size, the statistics to date are a bit irrelevant, but he does have an 80.9% contact rate thus far and notched a 102 mph exit velocity prior to the draft.  He could develop into a 15/20 homer threat and had plus, plus run times pre-draft showing a quick burst that could lead to steals and beating grounders out of the box.  He’s a quick twitch guy and has great bat speed, with a nice smooth, mechanically sound swing.","As a prep guy, he’s super raw and we don’t have a lot to go on outside of a little bit of video and reports that may or may not be biased toward the player, but I was a big fan of Cunningham going into the draft and the Diamondbacks have been successful at developing these types hit/speed guys into having more than expected power.",N/A,40/60,30/55,30/45,60/65,
84,130,Wehiwa Aloy,SS/3B,Orioles,2027,Eugenio Suarez,"Aloy is a comp first rounder that fell to the Orioles and is best known for his breakout 2025 where the power came to life.  He has solid plate skills, but a sub par hit tool (as evidenced by his 67.7% contact rate despite the early dominance) where he will need to work on maximizing angles to optimize the power in pro ball.  There isn’t any publicly available data on exit velocities with a wood bat for Aloy, but he was maxing at 114 mph with metal and had a killer Cape Cod league performance in 2024 with 8 bombs prior to his Arkansas breakout this year - showing no transition issues.  Aloy has a simple toe tap setup in the box and the simple mechanics should lead to a consistent overall approach.","Aloy has been dominant through his little 12 game sample size at low A and is obviously too good for the level, which makes sense considering he was the 2025 Golden Spikes winner.  Aloy should be a quick mover, but overall I like Cunningham as the better overall player and it’s more likely Cunningham can reach a 50 power tool before Aloy can reach a 50 hit tool, which is the difference.",N/A,30/40,40/50,50/65,55/50,
85,132,Joseph Sullivan,OF,Astros,2028,Trent Grisham mashed with a more twitchy PCA mechanics and speed,"Sullivan is a seventh rounder out of South Alabama from 2024 with a lot of good stuff under the hood as some of the stats here look pretty extreme.  Sullivan posted an 86.7% contact last season in A ball and a 73% Contact% this season, but with a below average quality of contact.  I’m sure the barrel rate is great based on the hard contact, but he hits nearly 50% of balls on the ground, so the angles need improvement.  Sullivan gets a lot of walks, but some of that is passivity (ala Emmanuel Rodriguez) with only a 34.3% swing rate on the season.  He also only has a 9.5% SwStr% which is great - but the problem is he needs to swing more and get the bat off the shoulder, hence the spread on his plate approach grade.  Sullivan has posted a max EV of 112.2 and a 90th percentile EV of 105.1, thus could be a 25 homer guy if he improves on the angles and starts swinging the bat more.","Sullivan might actually be the actuality of who Emmanuel Rodriguez was supposed to be.  His approach and hit is a more standard and safe version of what Bolte is doing in the minors.  Yes, Bolte has more natural athleticism, but the hit tool and angles are so bad - I just don’t think it’s sustainable over a long period of time, even if he does have some crazy hot stretches.",N/A,40/45,35/55,50/55,60/60,
86,133,Braylon Payne,OF,Brewers,2028,Lawrence Butler,"Payne is a big bodied outfielder who is tooled up with a killer power and speed combo from the left side.  He’s one of the faster guys picked in the 2024 draft and if he can develop the hit tools and classic Brewers plate skills, the tools can really play this kid up with some of the better Brewers prospects.  Payne has a rougher hit tool (67.4 contact%) and has regressed angles-wise from last year’s small sample size (50% GB rate), but the plate skills are potentially above average to plus.  Payne had a 110.2 max EV last season at 18-years-old and could grow into plus power if he improves his angles.  He’s electric, speed-wise but could work on his base running ability.","Welsh turned me onto Payne after he saw him in the Bridge league and told me Payne was absolutely electric.  He’s super young, getting some solid reps at A ball last year while the other high school guys didn’t debut.  I might have jumped him a little too high early in the season after a fast start, but the hit tool also didn’t develop as I had hoped last year when he ran a 74% contact rate in the small sample size.  Payne and Sullivan are pretty similar, however Sullivan is much closer to the majors, while Payne has a bit higher of a ceiling.",90,30/40,35/55,40/55,70/70,
87,136,Leonardo Bernal,C,Cardinals,Late 2026,Adley Rutschman light,"The Cardinals love catchers out of Panama, which is also where Ivan Herrera is from.  Bernal is a switch hitting catcher with solid tools across the board.  Bernal is rocking an 80.5% contact rate and absolutely destroys lefties from the right side (.324/.360/.543 - 6 bombs), but is merely below average as a lefty against righties (.230/.327/.374 - 7 bombs).  A 26.6% line drive rate shows Bernal has a high quality of contact.  We haven’t had consistent statcast data on Bernal since 2023, but we do have data that shows a max EV of 110.4 and a 90th percentile EV of 102.2 back in 2022 when he was only 18-years-old.","Bernal is not only a bucket of above average tools as a hitter and a little young for the level, as a catcher, but he’s also an excellent defender throwing out 25/64 base stealers for a 39% caught stealing rate - Yadier Molina had a career 41% for reference. He doesn’t have an elite tool like some of the speed guys under him in the rankings, but he’s such a solid player that in deep leagues a .260/.340/.450 outcome for a catcher with 20 bombs and 5-8 steals is legit.",N/A,50/55,55/55,40/55,45/40,
88,138,Esmerlyn Valdez,1B/OF,Pirates,Late 2026,Fernando Tatis Jr. mechanics w/ a Spencer Torkelson-esk profile (or maybe Jason Bay without speed for the Pirates people),"Valdez is a power first bat with a contact tool that was bad and developing further to be below average (71.1% Contact% on the year and 74.1% at AA).  He gets to very good angles for a power hitter as well (15 degree average launch angle in 2025, 17 degrees in 2024 with an 11.5% barrel rate).  The real juice is in the EVs and the ability to pull in the air.  Valdez upped his max EV from 2024 112.5 to a reported 114 to this season and assuming a similar increase in his 90th percentile (105 in 2024), he’s a potential plus, plus power hitter.","I’m usually a bit lower on the power first types without speed, but Valdez hits to such good angles and has put up very good exit velocities, he’s one of the safer power hitting types in the minors and could be a future 30 homer guy.  The organization and park aren’t the best developmentally for his profile, but to me I give Bernal a slight edge as I think he will be long-time starting catcher who will notch 20 bombs and that sometimes has more value than your CI types that I think Valdez profiles as, though he surely has room to grow with the advances in the hit tool he has made to date.  I’ll go power over speed all day, hence Valdez over Bolte.",N/A,45/45,45/45,60/70,30/30,
89,140,Henry Bolte,OF,Athletics,,Righty Nolan Jones mashed with Billy Hamilton,"Bolte put up a decent steals total and some solid power numbers last year, but a high BABIP and high K rate made him look like a small ball version of Nolan Jones in a bad organization, but this year even though the concerns are the same and now we have AAA data.  He’s showing a 68.1% contact rate and decent 81.5 Z-Contact%, but some of the worst angles in baseball with a 67.2% groundball rate and -9 degree average launch angle.  His high batting averages are all based on his speed, rather than his hit tool or approach ala Billy Hamilton.  The interesting thing is he hits the ball hard with a 106.6 90th percentile EV and 111.6 max EV.","This dude has a terrible hit tool, but the power and speed especially at age-to-level are so enticing it makes him a fun upside gamble this late in the rankings.  If he can develop even a below average hit tool by improving contact and angles and limit the strikeouts, he could be a fantasy unicorn - but I don’t find it likely, we are probably looking at Esteury Ruiz 2.0 and it may be lucky he hits the ball on the ground so much, because hitting the ball in the air was the undoing of Ruiz.  Bolte has an extremely volatile player, but he is still young and has proximity enough that he should be noted as a potential stolen base wizard.",65,25/35,35/40,35/50,75/75,
90,141,Jhostynxon Garcia,OF,Red Sox,Debuted (in MLB),Manny Ramirez mechanics with a Spencer Steer profile,"Nicknamed the Password, Garcia is an angle king with excellent barrel control with a 12.2% barrel rate, 27.5% line drive rate and 14 degree average launch angle with an uncanny ability to get great angles despite lackluster contact tools (71.5 contact% and 76.8 Z-Contact% in AAA) that boost his hit tool grade.  The EVs are not consistent, but he does get to a 110 max EV and a 106.1 90th percentile EV.","Garcia rates out as a solid big league regular who could hit .260-.270 with 20-ish bombs and 10 steals, almost like an OF version of Spencer Steer with slightly better contact.  I give Garcia the edge to Bitonti due to the advanced angles that should help the hit tool play up to where they could have similar outcomes (though Bitonti has the higher ceiling), but Garcia has proximity.",100,35/40,40/40,55/55,50/45,
91,142,Cole Carrigg,OF,Rockies,Mid 2026,"Jarren Duran light as a switch hitter, pre-breakout","Ridiculous speed skill set with some pop, but poor contact and plate approach.  The dude is versatile though as a former catcher and has been clocked throwing 102 MPH.  He has a below average hit tool with only a 71.4 contact% this season and only an average ability to get to good angles.  The power isn’t as good as it appears, because he has only hit on the record a max EV of 107.7 and recorded only a 101.7 90th percentile EV in 2024.","There’s a high ceiling here, but tons of questions because Colorado has a terrible development track record.  Ultimately he could have some good seasons in his 20s as the speed will play up as you hope the hit tool and plate skill inch back toward the 40 grades we saw last season.  I’ll take the better hit and speed combo in Coors over the risky hit/plate approach Bitonti brings to the table.",78,35/40,35/45,40/45,65/70,
92,146,Colton Ledbetter,OF,Rays,Mid 2026,Garrett Mitchell,"Ledbetter was the Rays second round pick in 2023 and had a breakout 2024.  He’s a great athlete known for good defense and while there has been a bit too much swing and miss, the ability to do damage is there, despite some power regression in 2025.  There are great tools in this package (113 max EV and a reported 106 90th percentile EV), but some contact (73.7% contact rate & high 17.4 IFFB%) and plate skills questions, despite hitting for some solid angles with a 25.2% line drive rate.  It should be noted he was caught stealing 10 times this season","Ledbetter has shown plus speed this season and the batted ball profile has transitioned almost 1-1 from high A to AA, but the power has fallen off between levels and the profile without power isn’t nearly as interesting for fantasy despite the exit velocity numbers; though we should note he’s playing in the Southern league which is infamously tough for hitters. He’s quite similar as a prospect to Carrigg as both are college hitters in AA with 15/25 or so type potential, but Carrigg gets the boost with better foot speed even though Ledbetter has better power and they both have similar hit and batted ball profiles.",93,40/50,40/45,45/55,60/55,
93,148,Eric Bitonti,1B/3B,Brewers,2028,Shades of Kyle Tucker mechanics mashed with bad Cody Bellinger,"Bitonti has more or less moved off 3B now to 1B and has some big power potential with a little speed mixed in, but the contact rates have not improved year over year and are still at a dismal 65.4%, though he does have a great air/pull rate for power potential factored into quality of contact.  Bitonti has put up a 113 max EV and in 2024 had a reported 105 90th percentile EV, demonstrating some upper level power, but it won’t matter if he’s not making contact.","Bitonti has upside, but obviously a lot of holes in his game as well.  The potential for 30 homers and 10 steals if he can figure out the hit tool is what keeps him in the Top 150, but once you get out of the top 100 there are a lot of guys with extremes in either direction, rather than your well-rounded prospects with good contactability and strong tools.",N/A,30/35,25/40,55/65,45/40,
94,150,Termarr Johnson,2B,Pirates,Mid 2026,"Short Jason Kipnis, might have some Dozier-esk or Brandon Phillips-esk seasons","There’s major prospect fatigue here with Termarr, but he still has tools that will get him to the big leagues.  The hit tool is a tad underrated as he has a 75% contact rate, but he does not put together good angles for quality contact or for generating power.  He has slightly above average speed, but he has not been a good baserunner this year, having been caught stealing 11 times.  Johnson’s highest recorded exit velocity is 106.9 and he’s reportedly netted a 90th percentile EV over 105 which portends to average to slightly above average power once he’s fully developed.","Johnson needs to develop more of a doubles profile to really make it.  He’s still netting a 113 wRC+ at AA and only turned 21 a couple months ago, so he’s still a couple years young for the level which is worth a theoretical bump of 50 points assuming he’s not already capped in his developmental growth.  There’s a chance he could still add a 5 to the potential of all those grades, but he needs to make some significant strides forward instead of continually treading water - even though yes, he’s playing above age to level.  I’ll give BItonti the edge to Johnson thanks to the power upside.",85,40/45,50/55,50/55,50/45,
