,BatterName,batter,GB%,FB%,LD%,Brl%,SweetSpot%,AirPull%,Chase%,Z-Swing%,Contact%,Z-Contact%,la_median,la_std,EV90,xwOBACON,xwOBA,Team,PA,AB,H,R,HR,RBI,SB,CS,AVG,OBP,SLG,SBAtt%,K%,BB%,RotoValue,RV_per600,fHitTool,fDiscipline,fPower,fSpeed,fDurability,Year
390,Jonatan Clase,682729,0.41,0.376,0.162,0.043,0.248,0.154,0.295,0.68,0.737,0.818,17.0,28.23489948754233,101.17999999999999,0.30638793103448275,0.26195667045454546,TOR,177.0,161.0,36.0,17.0,3.0,15.0,6.0,2.0,0.224,0.294,0.311,0.182,0.254,0.073,-1.91,-6.48,,,,138.0,111.0,2024-2025
391,Jonathan Aranda,666018,0.405,0.284,0.264,0.138,0.413,0.193,0.274,0.672,0.758,0.803,13.0,25.157437695140345,106.66000000000001,0.4763278236914601,0.38223048841354723,TB,565.0,498.0,147.0,78.0,20.0,74.0,0.0,2.0,0.295,0.372,0.474,0.012,0.246,0.094,2.91,3.09,119.0,99.0,108.0,81.0,109.0,2024-2025
392,Jonathan India,663697,0.407,0.261,0.244,0.068,0.375,0.166,0.185,0.578,0.805,0.875,15.0,27.98141463967194,104.2,0.36184282178217825,0.338059825,KC,1201.0,1030.0,248.0,147.0,24.0,103.0,13.0,6.0,0.241,0.341,0.37,0.058,0.192,0.112,3.98,1.99,93.0,103.0,86.0,98.0,120.0,2024-2025
393,Jonathan Ornelas,680716,0.71,0.032,0.226,0.0,0.194,0.065,0.281,0.63,0.716,0.868,-8.0,26.686994939946523,105.2,0.29496666666666665,0.22344897959183674,ATL,49.0,46.0,10.0,2.0,0.0,3.0,0.0,0.0,0.217,0.265,0.261,0.0,0.327,0.061,-2.91,-35.65,,,,,112.0,2024-2025
394,Jonny DeLuca,676356,0.395,0.219,0.249,0.037,0.336,0.169,0.376,0.706,0.76,0.831,14.0,31.929475164409453,101.7,0.3113411371237458,0.2714635598086124,TB,419.0,389.0,91.0,34.0,6.0,35.0,22.0,6.0,0.234,0.289,0.35,0.295,0.215,0.062,0.12,0.17,,,93.0,119.0,82.0,2024-2025
395,Jorbit Vivas,678391,0.395,0.209,0.279,0.047,0.395,0.116,0.18,0.756,0.746,0.784,11.0,27.662096515090614,100.72000000000001,0.3281860465116279,0.30907765625,NYY,64.0,56.0,9.0,6.0,1.0,5.0,0.0,0.0,0.161,0.266,0.25,0.0,0.203,0.078,-2.97,-27.89,,,,,113.0,2024-2025
396,Jordan Beck,687597,0.43,0.271,0.252,0.089,0.371,0.142,0.287,0.685,0.679,0.76,13.0,28.04448253806201,104.9,0.39699364406779664,0.29752035370611185,COL,771.0,709.0,171.0,76.0,19.0,66.0,26.0,9.0,0.241,0.3,0.382,0.201,0.31,0.071,2.69,2.1,101.0,92.0,96.0,112.0,126.0,2024-2025
397,Jordan Lawlar,691783,0.39,0.244,0.293,0.049,0.366,0.317,0.264,0.614,0.667,0.775,12.0,32.852107628122674,104.1,0.35224390243902437,0.2616974189189189,ARI,74.0,66.0,12.0,9.0,0.0,5.0,2.0,0.0,0.182,0.257,0.288,0.167,0.351,0.081,-2.79,-22.63,,,,,95.0,2024-2025
398,Jordan Walker,691023,0.483,0.237,0.201,0.105,0.302,0.102,0.336,0.673,0.656,0.799,8.0,29.32487354201737,108.57,0.3769152542372881,0.28558087783595115,STL,574.0,527.0,111.0,56.0,11.0,61.0,11.0,3.0,0.211,0.27,0.324,0.118,0.307,0.068,-0.44,-0.46,93.0,93.0,82.0,104.0,115.0,2024-2025
399,Jordan Westburg,676059,0.425,0.281,0.23,0.116,0.367,0.135,0.287,0.721,0.707,0.787,13.0,27.604570259314496,106.3,0.4192917398945518,0.34536556461731494,BAL,798.0,744.0,197.0,116.0,35.0,104.0,7.0,5.0,0.265,0.312,0.47,0.07,0.222,0.049,4.94,3.71,94.0,90.0,109.0,110.0,104.0,2024-2025
400,Jordyn Adams,677941,0.423,0.269,0.269,0.038,0.346,0.0,0.329,0.724,0.659,0.746,13.0,26.842245693051726,100.4,0.41819230769230764,0.30888095238095237,BAL,43.0,40.0,8.0,5.0,1.0,4.0,2.0,0.0,0.2,0.256,0.275,0.2,0.326,0.07,-2.66,-37.15,,,,,102.0,2024-2025
401,Jorge Alfaro,595751,0.44,0.24,0.28,0.08,0.4,0.08,0.532,0.838,0.653,0.758,14.0,33.025091470981074,106.7,0.38828,0.2488974358974359,WSH,39.0,39.0,10.0,3.0,0.0,3.0,1.0,0.0,0.256,0.256,0.308,0.125,0.359,0.0,-2.7,-41.52,,,,100.0,96.0,2024-2025
402,Jorge Barrosa,678489,0.471,0.279,0.221,0.015,0.294,0.191,0.359,0.624,0.753,0.828,12.5,31.113686014659024,100.22,0.2777910447761194,0.220585,ARI,94.0,88.0,13.0,11.0,1.0,8.0,1.0,0.0,0.148,0.17,0.239,0.1,0.255,0.021,-3.01,-19.23,,,,,110.0,2024-2025
403,Jorge Mateo,622761,0.455,0.247,0.207,0.04,0.288,0.136,0.35,0.687,0.743,0.834,11.5,31.521924893027997,104.23,0.31975,0.2532567197231834,BAL,289.0,271.0,58.0,39.0,6.0,21.0,28.0,4.0,0.214,0.253,0.362,0.681,0.27,0.048,0.1,0.21,,92.0,95.0,161.0,87.0,2024-2025
404,Jorge Polanco,593871,0.369,0.299,0.245,0.097,0.366,0.226,0.255,0.665,0.744,0.822,17.0,28.796049933553487,105.23,0.38854222222222223,0.33108196751269037,SEA,990.0,888.0,214.0,107.0,42.0,123.0,10.0,5.0,0.241,0.312,0.429,0.066,0.221,0.089,4.51,2.73,96.0,102.0,116.0,99.0,117.0,2024-2025
405,Jorge Soler,624585,0.397,0.274,0.23,0.127,0.346,0.164,0.26,0.65,0.707,0.817,16.0,28.415100316736215,107.6,0.4039136029411765,0.33236396836158194,LAA,885.0,772.0,177.0,115.0,33.0,97.0,1.0,0.0,0.229,0.32,0.42,0.005,0.266,0.108,2.33,1.58,94.0,97.0,109.0,68.0,104.0,2024-2025
406,Jose Abreu,547989,0.523,0.256,0.186,0.023,0.267,0.058,0.333,0.687,0.703,0.781,5.0,28.790286114510973,103.44999999999999,0.2275,0.1983782,HOU,120.0,113.0,14.0,10.0,2.0,7.0,0.0,0.0,0.124,0.167,0.195,0.0,0.233,0.033,-3.42,-17.1,,,,,,2024-2025
407,Jose Altuve,514888,0.431,0.255,0.229,0.063,0.334,0.223,0.381,0.661,0.786,0.869,14.0,27.814117598105497,101.7,0.34146579476861166,0.311634844126506,HOU,1335.0,1216.0,340.0,174.0,46.0,142.0,32.0,12.0,0.28,0.339,0.44,0.125,0.171,0.076,11.23,5.05,94.0,107.0,109.0,99.0,125.0,2024-2025
408,Jose Azocar,640492,0.479,0.219,0.247,0.027,0.342,0.041,0.462,0.761,0.738,0.855,10.0,28.144975571563325,101.36,0.31795833333333334,0.28073737373737373,ATL,99.0,92.0,21.0,18.0,0.0,3.0,6.0,1.0,0.228,0.283,0.25,0.269,0.202,0.071,-2.18,-13.21,,,,115.0,103.0,2024-2025
409,Jose Barrero,676480,0.25,0.35,0.2,0.05,0.25,0.25,0.345,0.7,0.754,0.837,32.5,32.01085342258318,100.27,0.22565,0.19148354838709677,STL,31.0,29.0,4.0,4.0,1.0,3.0,0.0,0.0,0.138,0.194,0.276,0.0,0.29,0.032,-2.94,-56.92,,,,108.0,105.0,2024-2025
410,Jose Caballero,676609,0.414,0.226,0.254,0.054,0.358,0.196,0.321,0.65,0.72,0.823,16.0,30.076089805501002,101.7,0.33742155009451796,0.2804592612826603,NYY,846.0,755.0,175.0,105.0,14.0,80.0,93.0,27.0,0.232,0.309,0.348,0.591,0.273,0.087,7.73,5.48,99.0,102.0,84.0,152.0,111.0,2024-2025
411,Jose Devers,672701,0.667,0.0,0.333,0.0,0.333,0.0,0.2,0.625,0.857,0.8,-4.0,15.0996688705415,98.92,0.40433333333333327,0.30324999999999996,MIA,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.25,0.0,-2.9,-434.82,,,,,,2024-2025
412,Jose Fermin,665877,0.514,0.198,0.198,0.0,0.261,0.144,0.214,0.561,0.873,0.926,8.0,30.082327658385044,100.8,0.28505454545454545,0.29256622297297297,STL,148.0,131.0,28.0,12.0,1.0,13.0,4.0,3.0,0.214,0.304,0.298,0.189,0.142,0.101,-2.36,-9.58,,,,101.0,100.0,2024-2025
413,Jose Herrera,645444,0.474,0.237,0.209,0.005,0.322,0.133,0.173,0.59,0.777,0.853,14.0,31.43531615528773,98.7,0.26034715025906735,0.24456663333333334,ARI,300.0,263.0,53.0,32.0,3.0,30.0,0.0,0.0,0.202,0.287,0.281,0.0,0.247,0.107,-2.34,-4.68,,,,68.0,87.0,2024-2025
414,Jose Iglesias,578428,0.543,0.172,0.24,0.02,0.318,0.092,0.364,0.595,0.834,0.884,6.0,28.337470161157295,101.4,0.3165785123966942,0.2997573577106518,SD,630.0,576.0,161.0,68.0,7.0,62.0,11.0,3.0,0.28,0.337,0.366,0.079,0.151,0.057,2.21,2.1,99.0,106.0,77.0,111.0,107.0,2024-2025
