,BatterName,batter,GB%,FB%,LD%,Brl%,SweetSpot%,AirPull%,Chase%,Z-Swing%,Contact%,Z-Contact%,la_median,la_std,EV90,xwOBACON,xwOBA,Team,PA,AB,H,R,HR,RBI,SB,CS,AVG,OBP,SLG,SBAtt%,K%,BB%,RotoValue,RV_per600,fHitTool,fDiscipline,fPower,fSpeed,fDurability,Year
194,Daulton Varsho,662139,0.318,0.33,0.19,0.096,0.336,0.208,0.274,0.725,0.72,0.783,24.0,29.179038994340882,105.51,0.35757114228456915,0.28954156978233037,TOR,783.0,707.0,157.0,116.0,38.0,113.0,12.0,2.0,0.222,0.29,0.457,0.096,0.273,0.083,3.5,2.68,96.0,92.0,136.0,106.0,103.0,2024-2025
195,David Banuelos,675915,0.0,1.0,0.0,0.0,0.0,0.0,0.286,1.0,0.4,0.333,56.0,,87.3,0.022,0.24833000000000002,BAL,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.333,0.0,-2.95,-590.61,,,,,,2024-2025
196,David Bote,623520,0.424,0.242,0.212,0.03,0.333,0.091,0.347,0.756,0.667,0.735,12.0,33.09707942805024,104.28,0.3602121212121212,0.2768125,CHC,48.0,46.0,14.0,4.0,0.0,6.0,0.0,0.0,0.304,0.333,0.391,0.0,0.271,0.042,-2.54,-31.74,,,,94.0,,2024-2025
197,David Dahl,621311,0.421,0.395,0.158,0.079,0.368,0.211,0.363,0.758,0.667,0.78,14.0,27.310305267910458,100.97000000000001,0.37613157894736843,0.26440322580645165,PHI,62.0,58.0,12.0,6.0,3.0,8.0,0.0,0.0,0.207,0.242,0.397,0.0,0.339,0.048,-2.62,-25.39,,,,,,2024-2025
198,David Fletcher,664058,0.625,0.25,0.125,0.0,0.125,0.25,0.636,0.5,1.0,1.0,7.5,28.735244660769567,93.1,0.14675,0.13044444444444445,ATL,9.0,8.0,2.0,0.0,0.0,2.0,0.0,0.0,0.25,0.222,0.25,0.0,0.111,0.0,-2.88,-191.86,,,,96.0,98.0,2024-2025
199,David Fry,681807,0.347,0.318,0.227,0.079,0.344,0.219,0.298,0.704,0.728,0.809,20.0,28.091462361664814,103.48,0.3443731778425656,0.29272229834254143,CLE,547.0,481.0,113.0,60.0,22.0,74.0,5.0,1.0,0.235,0.32,0.422,0.046,0.26,0.093,1.0,1.1,100.0,97.0,113.0,76.0,89.0,2024-2025
200,David Hamilton,666152,0.401,0.282,0.256,0.058,0.36,0.19,0.248,0.644,0.755,0.845,15.0,29.211266878411855,102.52000000000001,0.3324011627906977,0.2761598070866142,BOS,508.0,471.0,108.0,74.0,14.0,47.0,55.0,10.0,0.229,0.285,0.372,0.602,0.25,0.069,3.82,4.51,100.0,95.0,97.0,172.0,108.0,2024-2025
201,David Hensley,682073,0.714,0.171,0.114,0.029,0.2,0.086,0.203,0.487,0.679,0.789,-11.0,33.098909576088005,102.28,0.24262857142857144,0.2103859649122807,MIA,58.0,52.0,11.0,9.0,1.0,4.0,1.0,0.0,0.212,0.293,0.288,0.067,0.293,0.103,-2.66,-27.47,,,,,,2024-2025
202,David Peralta,444482,0.473,0.181,0.291,0.055,0.39,0.165,0.326,0.706,0.719,0.831,10.0,25.73074161960399,102.74,0.3557472527472527,0.3137937846153846,SD,260.0,236.0,62.0,35.0,8.0,28.0,2.0,0.0,0.263,0.331,0.411,0.03,0.208,0.085,-0.79,-1.83,,,,,,2024-2025
203,David Villar,681584,0.421,0.289,0.237,0.105,0.316,0.105,0.218,0.62,0.657,0.733,14.5,33.66659389970963,103.87,0.4261315789473685,0.32929016129032257,SF,62.0,55.0,13.0,7.0,1.0,5.0,0.0,0.0,0.236,0.306,0.382,0.0,0.29,0.081,-2.66,-25.78,,,,,,2024-2025
204,Davis Schneider,676914,0.3,0.395,0.202,0.127,0.367,0.238,0.222,0.651,0.701,0.791,23.0,28.103639073856797,103.52000000000001,0.375328165374677,0.3060190014684288,TOR,681.0,585.0,119.0,81.0,24.0,77.0,9.0,1.0,0.203,0.307,0.371,0.062,0.3,0.122,0.51,0.45,96.0,106.0,115.0,94.0,111.0,2024-2025
205,Davis Wendzel,673995,0.486,0.286,0.114,0.086,0.286,0.114,0.333,0.653,0.739,0.781,13.0,26.841958876030652,101.58,0.3198857142857143,0.25747330612244895,TEX,49.0,47.0,6.0,2.0,1.0,2.0,0.0,0.0,0.128,0.163,0.234,0.0,0.245,0.02,-3.16,-38.72,,,,,,2024-2025
206,Daylen Lile,695734,0.364,0.245,0.323,0.052,0.457,0.178,0.268,0.752,0.811,0.874,15.0,25.491736614680597,103.92,0.39491791044776114,0.3536687593123209,WSH,349.0,321.0,98.0,51.0,9.0,41.0,8.0,6.0,0.305,0.352,0.511,0.163,0.16,0.06,1.31,2.25,120.0,99.0,102.0,117.0,118.0,2024-2025
207,Daz Cameron,663662,0.45,0.295,0.215,0.081,0.369,0.128,0.265,0.689,0.725,0.819,10.0,26.877543075676993,105.04,0.359751677852349,0.2812420701754386,MIL,228.0,211.0,42.0,29.0,6.0,18.0,6.0,0.0,0.199,0.25,0.322,0.136,0.281,0.061,-1.89,-4.96,,,,111.0,100.0,2024-2025
208,Denzel Clarke,672016,0.551,0.236,0.191,0.067,0.315,0.067,0.302,0.653,0.673,0.798,6.0,30.419265540718964,107.82,0.39263218390804594,0.25813993630573245,ATH,157.0,148.0,34.0,18.0,3.0,8.0,6.0,0.0,0.23,0.274,0.372,0.2,0.389,0.038,-1.95,-7.44,,,,,93.0,2024-2025
209,Denzer Guzman,694203,0.35,0.3,0.15,0.15,0.3,0.1,0.194,0.75,0.576,0.628,24.0,30.151547049424913,103.64,0.44835,0.22481395348837208,LAA,43.0,42.0,8.0,4.0,2.0,3.0,0.0,0.0,0.19,0.209,0.357,0.0,0.512,0.023,-2.82,-39.41,,,,,116.0,2024-2025
210,Derek Hill,656537,0.49,0.217,0.268,0.111,0.384,0.136,0.374,0.702,0.656,0.792,9.5,27.726738167957038,103.6,0.42987046632124354,0.30498328164556965,CWS,316.0,296.0,68.0,38.0,10.0,37.0,13.0,2.0,0.23,0.275,0.378,0.231,0.329,0.044,-0.22,-0.42,,,,126.0,93.0,2024-2025
211,Diego Castillo,660636,0.6,0.2,0.2,0.0,0.4,0.0,0.211,0.294,0.889,0.8,1.0,24.166091947189145,97.52,0.37360000000000004,0.4085,MIN,8.0,6.0,2.0,3.0,0.0,2.0,0.0,0.0,0.333,0.5,0.5,0.0,0.125,0.25,-2.79,-209.1,,,,93.0,93.0,2024-2025
212,Dillon Dingler,693307,0.374,0.255,0.3,0.084,0.434,0.182,0.312,0.654,0.745,0.837,13.0,25.017995328667745,105.4,0.4439921052631579,0.3472415099457504,DET,555.0,519.0,135.0,56.0,14.0,68.0,0.0,0.0,0.26,0.306,0.407,0.0,0.252,0.047,0.84,0.9,109.0,91.0,95.0,86.0,110.0,2024-2025
213,Dom Nunez,624513,1.0,0.0,0.0,0.0,0.0,0.0,0.231,0.467,0.4,0.571,-38.0,25.632011235952593,76.2,0.09699999999999999,0.04157142857142857,CLE,7.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.286,0.286,0.286,0.0,0.571,0.0,-2.86,-245.26,,,,91.0,91.0,2024-2025
214,Dominic Canzone,686527,0.441,0.273,0.253,0.132,0.368,0.155,0.369,0.684,0.703,0.799,13.0,28.521633634850332,107.77,0.4362203947368421,0.35160581978021976,SEA,456.0,411.0,106.0,50.0,19.0,49.0,4.0,1.0,0.258,0.322,0.44,0.045,0.246,0.083,0.79,1.04,110.0,100.0,104.0,96.0,112.0,2024-2025
215,Dominic Fletcher,666150,0.449,0.207,0.247,0.02,0.369,0.116,0.324,0.631,0.801,0.866,12.0,28.74092041999925,100.69,0.29420408163265305,0.2517512029520295,CWS,272.0,255.0,53.0,19.0,2.0,19.0,1.0,0.0,0.208,0.254,0.282,0.019,0.221,0.048,-2.65,-5.84,,,,96.0,109.0,2024-2025
216,Dominic Smith,642086,0.411,0.301,0.244,0.077,0.389,0.137,0.294,0.654,0.76,0.836,15.0,26.310858929470605,102.66,0.35144931506849314,0.3058378721804511,SF,532.0,479.0,122.0,59.0,11.0,68.0,3.0,1.0,0.255,0.321,0.395,0.032,0.222,0.081,0.73,0.82,103.0,100.0,88.0,84.0,109.0,2024-2025
217,Donovan Solano,456781,0.444,0.236,0.262,0.037,0.369,0.135,0.32,0.646,0.754,0.853,13.0,25.12713289221139,101.18,0.33653025936599423,0.29119988934426233,TEX,488.0,449.0,121.0,41.0,11.0,56.0,2.0,1.0,0.269,0.322,0.385,0.023,0.215,0.061,0.5,0.61,110.0,98.0,82.0,71.0,97.0,2024-2025
218,Donovan Walton,622268,0.565,0.174,0.174,0.043,0.261,0.087,0.218,0.721,0.77,0.796,6.0,33.41315212873317,101.67999999999999,0.2969090909090909,0.26218763636363634,PHI,33.0,30.0,4.0,4.0,1.0,3.0,0.0,0.0,0.133,0.212,0.233,0.0,0.242,0.061,-2.96,-53.79,,,,93.0,107.0,2024-2025
219,Drake Baldwin,686948,0.487,0.249,0.231,0.11,0.341,0.122,0.288,0.699,0.805,0.859,9.0,28.677353061867727,106.32000000000001,0.39489614243323445,0.362890067264574,ATL,446.0,405.0,110.0,56.0,19.0,80.0,0.0,0.0,0.272,0.339,0.467,0.0,0.152,0.085,1.58,2.12,105.0,107.0,112.0,82.0,111.0,2024-2025
220,Drew Avans,682183,0.667,0.083,0.167,0.0,0.25,0.083,0.425,0.769,0.83,0.933,-7.0,25.84335094136958,98.49000000000001,0.22383333333333333,0.14922222222222223,MIL,18.0,17.0,2.0,1.0,0.0,1.0,1.0,0.0,0.118,0.111,0.118,0.5,0.333,0.0,-2.96,-98.52,,,,,110.0,2024-2025
221,Drew Gilbert,687551,0.457,0.185,0.259,0.049,0.37,0.16,0.218,0.654,0.742,0.846,12.0,31.111939473099035,102.2,0.29314814814814816,0.2694263211009174,SF,109.0,100.0,19.0,12.0,3.0,13.0,1.0,1.0,0.19,0.248,0.35,0.111,0.183,0.064,-2.57,-14.13,,,,,104.0,2024-2025
222,Drew Millas,686452,0.488,0.202,0.286,0.024,0.357,0.083,0.226,0.679,0.789,0.865,8.5,30.244924373734513,101.15,0.3227951807228916,0.2877565217391304,WSH,115.0,106.0,29.0,13.0,1.0,8.0,6.0,0.0,0.274,0.33,0.377,0.2,0.2,0.078,-1.8,-9.37,,,,,91.0,2024-2025
223,Drew Romo,691011,0.485,0.303,0.152,0.03,0.212,0.121,0.412,0.707,0.661,0.829,9.0,28.150804660440933,96.14,0.23593939393939395,0.16403571428571428,COL,56.0,54.0,9.0,4.0,0.0,6.0,0.0,1.0,0.167,0.196,0.222,0.125,0.375,0.036,-3.02,-32.35,,,,,89.0,2024-2025
224,Drew Waters,671221,0.474,0.256,0.231,0.038,0.359,0.141,0.323,0.773,0.696,0.788,11.0,28.483382179447716,101.6,0.32479487179487176,0.26022761344537815,KC,238.0,222.0,54.0,23.0,1.0,15.0,5.0,3.0,0.243,0.294,0.315,0.136,0.277,0.055,-1.79,-4.5,96.0,90.0,83.0,109.0,112.0,2024-2025
225,Duke Ellis,668752,0.667,0.0,0.333,0.0,0.333,0.0,0.273,0.583,0.8,0.714,-26.0,43.189504897988044,97.82000000000001,0.4376666666666667,0.26260000000000006,NYY,5.0,5.0,1.0,1.0,0.0,0.0,5.0,0.0,0.2,0.2,0.2,5.0,0.4,0.0,-2.54,-305.02,,,,,90.0,2024-2025
226,Dustin Harris,687957,0.355,0.29,0.258,0.065,0.419,0.258,0.32,0.699,0.75,0.931,16.0,27.14758548839035,102.1,0.33241935483870966,0.2621,TEX,50.0,46.0,10.0,6.0,2.0,5.0,1.0,1.0,0.217,0.28,0.435,0.25,0.3,0.08,-2.6,-31.24,,,,,111.0,2024-2025
227,Dylan Beavers,687637,0.293,0.4,0.253,0.093,0.4,0.24,0.189,0.572,0.763,0.838,21.0,24.742588297825183,103.38000000000001,0.3992702702702703,0.35107352941176473,BAL,136.0,110.0,25.0,16.0,4.0,14.0,2.0,2.0,0.227,0.375,0.4,0.098,0.265,0.191,-2.09,-9.24,,,,,111.0,2024-2025
228,Dylan Carlson,666185,0.398,0.315,0.232,0.046,0.343,0.156,0.222,0.695,0.727,0.767,18.0,28.345183849774774,101.38000000000001,0.3113944954128441,0.27069750988142294,BAL,506.0,452.0,93.0,36.0,9.0,45.0,5.0,4.0,0.206,0.283,0.305,0.077,0.255,0.085,-1.67,-1.98,97.0,97.0,85.0,104.0,110.0,2024-2025
229,Dylan Crews,686611,0.521,0.238,0.174,0.087,0.267,0.113,0.288,0.649,0.716,0.834,6.0,30.496628198882604,106.1,0.3735466237942122,0.31940155286343613,WSH,454.0,412.0,87.0,55.0,13.0,35.0,29.0,8.0,0.211,0.282,0.35,0.37,0.225,0.077,0.78,1.03,88.0,97.0,96.0,130.0,107.0,2024-2025
230,Dylan Moore,664238,0.317,0.33,0.235,0.087,0.389,0.238,0.202,0.669,0.718,0.77,22.0,28.169384280951537,104.0,0.3497076923076923,0.29014854185022027,TEX,683.0,587.0,118.0,88.0,21.0,67.0,46.0,11.0,0.201,0.302,0.37,0.373,0.3,0.107,2.95,2.59,95.0,93.0,106.0,126.0,107.0,2024-2025
231,Eddie Rosario,592696,0.401,0.323,0.237,0.056,0.297,0.159,0.35,0.722,0.722,0.796,14.0,30.22601333901814,103.3,0.31899565217391307,0.2602123076923077,ATL,325.0,305.0,53.0,34.0,10.0,35.0,9.0,1.0,0.174,0.212,0.311,0.213,0.243,0.049,-1.83,-3.37,,,,,,2024-2025
232,Eddy Alvarez,657193,0.714,0.143,0.143,0.0,0.143,0.143,0.312,0.5,0.667,0.909,-2.0,20.32005811765217,99.72,0.215,0.26592654545454547,NYM,11.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.182,0.0,0.0,0.182,0.091,-3.03,-165.5,,,,,,2024-2025
233,Edgar Quero,700337,0.493,0.206,0.264,0.037,0.361,0.068,0.19,0.683,0.79,0.832,8.0,25.886519855231594,102.3,0.31675,0.29541054838709674,CWS,403.0,365.0,98.0,31.0,5.0,36.0,0.0,1.0,0.268,0.333,0.356,0.009,0.176,0.079,-0.75,-1.12,110.0,99.0,70.0,69.0,107.0,2024-2025
234,Edmundo Sosa,624641,0.455,0.254,0.23,0.074,0.339,0.132,0.429,0.725,0.713,0.819,11.5,28.92862733259631,104.5,0.3645374331550802,0.30178547448015125,PHI,529.0,492.0,131.0,69.0,18.0,70.0,8.0,2.0,0.266,0.31,0.445,0.085,0.231,0.043,2.13,2.42,107.0,95.0,105.0,104.0,100.0,2024-2025
235,Edouard Julien,666397,0.474,0.258,0.268,0.108,0.401,0.091,0.186,0.622,0.711,0.798,11.0,23.201934570056483,103.88000000000001,0.40290559440559437,0.30753112623274165,MIN,508.0,448.0,93.0,49.0,11.0,33.0,6.0,3.0,0.208,0.299,0.324,0.074,0.321,0.108,-1.39,-1.64,93.0,99.0,94.0,94.0,119.0,2024-2025
236,Edward Olivares,658668,0.496,0.213,0.199,0.064,0.362,0.135,0.329,0.688,0.758,0.85,10.0,30.26757069647746,105.0,0.37356737588652483,0.33323155102040813,PIT,196.0,174.0,39.0,22.0,5.0,23.0,1.0,0.0,0.224,0.291,0.333,0.021,0.189,0.082,-1.94,-5.93,,,,,,2024-2025
237,Edwin Rios,621458,0.6,0.2,0.2,0.0,0.4,0.0,0.381,0.579,0.526,0.727,11.0,23.647410006171924,99.60000000000001,0.3218,0.23090000000000002,CIN,10.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.111,0.2,0.111,0.0,0.4,0.1,-2.98,-179.02,,,,89.0,104.0,2024-2025
238,Eguy Rosario,666703,0.382,0.294,0.235,0.147,0.412,0.176,0.347,0.593,0.581,0.734,16.5,30.726323435641593,104.42,0.4022121212121212,0.2748784285714286,SD,56.0,53.0,13.0,5.0,3.0,6.0,0.0,0.0,0.245,0.286,0.528,0.0,0.357,0.036,-2.53,-27.08,,,,,88.0,2024-2025
239,Ehire Adrianza,501303,0.533,0.333,0.133,0.067,0.467,0.133,0.267,0.552,0.646,0.75,10.0,30.65755558236361,99.28,0.349,0.2369642857142857,LAA,28.0,26.0,5.0,4.0,1.0,2.0,0.0,0.0,0.192,0.25,0.346,0.0,0.393,0.071,-2.84,-60.86,,,,,,2024-2025
240,Elehuris Montero,660707,0.38,0.292,0.222,0.076,0.281,0.146,0.393,0.723,0.697,0.859,17.0,30.94402216486955,106.5,0.3077309941520468,0.26972469635627533,COL,247.0,224.0,46.0,23.0,4.0,28.0,0.0,0.0,0.205,0.267,0.304,0.0,0.227,0.081,-2.32,-5.65,,,,,,2024-2025
241,Eli White,642201,0.479,0.247,0.223,0.093,0.344,0.126,0.29,0.711,0.743,0.819,12.0,27.552200560123715,104.5,0.40135514018691587,0.3102133890675241,ATL,312.0,295.0,71.0,52.0,11.0,39.0,13.0,2.0,0.241,0.279,0.41,0.238,0.263,0.038,0.37,0.7,101.0,87.0,100.0,126.0,104.0,2024-2025
242,Elias Diaz,553869,0.455,0.218,0.236,0.059,0.318,0.149,0.319,0.747,0.694,0.792,10.0,32.04169820421218,105.3,0.3201116173120729,0.27457153429027115,SD,629.0,580.0,138.0,61.0,15.0,68.0,0.0,0.0,0.238,0.294,0.362,0.0,0.227,0.065,0.17,0.16,95.0,94.0,92.0,71.0,106.0,2024-2025
243,Elly De La Cruz,682829,0.493,0.228,0.237,0.114,0.356,0.103,0.278,0.628,0.675,0.777,9.0,26.74817345568757,108.0,0.42497529411764706,0.32859966111513395,CIN,1393.0,1247.0,326.0,207.0,47.0,162.0,104.0,24.0,0.261,0.337,0.455,0.378,0.286,0.098,16.1,6.94,96.0,96.0,105.0,126.0,130.0,2024-2025
244,Eloy Jimenez,650391,0.569,0.157,0.208,0.078,0.255,0.078,0.33,0.701,0.738,0.847,2.0,30.074422638185847,107.66,0.3452941176470588,0.2993976551724138,BAL,349.0,324.0,78.0,25.0,6.0,23.0,3.0,0.0,0.241,0.292,0.34,0.037,0.201,0.063,-1.5,-2.58,91.0,98.0,93.0,90.0,84.0,2024-2025
245,Emmanuel Rivera,656896,0.487,0.232,0.238,0.057,0.369,0.097,0.307,0.713,0.716,0.821,9.0,25.390945447677936,102.6,0.3472255892255892,0.3033877336448598,BAL,428.0,385.0,93.0,29.0,5.0,42.0,3.0,0.0,0.242,0.306,0.325,0.027,0.217,0.075,-1.11,-1.56,,99.0,82.0,74.0,105.0,2024-2025
246,Endy Rodriguez,682848,0.342,0.342,0.237,0.026,0.395,0.211,0.195,0.653,0.755,0.831,20.0,32.29887983647921,102.73,0.2891578947368421,0.2541754385964912,PIT,57.0,52.0,9.0,5.0,0.0,2.0,0.0,1.0,0.173,0.246,0.25,0.1,0.246,0.088,-3.04,-32.05,,,,91.0,,2024-2025
247,Enmanuel Valdez,665839,0.346,0.303,0.232,0.088,0.355,0.193,0.28,0.596,0.781,0.854,19.0,29.65602581379629,104.6,0.36331718061674007,0.3150401234567901,PIT,324.0,292.0,62.0,30.0,8.0,40.0,1.0,1.0,0.212,0.278,0.366,0.032,0.213,0.086,-1.69,-3.13,,,,76.0,,2024-2025
248,Enrique Hernandez,571771,0.368,0.305,0.242,0.065,0.355,0.157,0.288,0.697,0.746,0.824,16.0,27.575845637225687,103.74,0.3383544857768052,0.28767851622874807,LAD,647.0,594.0,130.0,74.0,22.0,77.0,0.0,0.0,0.219,0.27,0.37,0.0,0.224,0.07,0.22,0.2,95.0,96.0,99.0,84.0,106.0,2024-2025
249,Eric Haase,606992,0.487,0.256,0.218,0.115,0.372,0.154,0.304,0.635,0.621,0.703,9.5,29.95170104692545,105.44999999999999,0.4685324675324675,0.29257227586206896,MIL,145.0,136.0,34.0,21.0,7.0,23.0,0.0,0.0,0.25,0.297,0.434,0.0,0.407,0.048,-1.61,-6.67,,,,90.0,84.0,2024-2025
250,Eric Wagaman,676572,0.438,0.245,0.259,0.067,0.362,0.154,0.263,0.654,0.762,0.857,12.0,29.243164501146694,107.15,0.37857339449541283,0.32241664965986394,MIA,588.0,548.0,137.0,62.0,11.0,63.0,4.0,1.0,0.25,0.293,0.381,0.04,0.199,0.058,0.62,0.64,99.0,96.0,88.0,82.0,114.0,2024-2025
251,Eric Yang,687066,,,,,,,0.5,1.0,0.25,0.0,,,,,0.0,CIN,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,-2.94,-1761.66,,,,,,2024-2025
252,Ernie Clement,676391,0.365,0.28,0.262,0.03,0.372,0.196,0.394,0.71,0.855,0.919,18.0,28.206328722449783,99.98,0.30263009049773754,0.2893857706511176,TOR,1031.0,979.0,264.0,131.0,21.0,101.0,18.0,8.0,0.27,0.3,0.401,0.115,0.099,0.037,5.82,3.39,106.0,112.0,86.0,106.0,122.0,2024-2025
253,Esteury Ruiz,665923,0.423,0.308,0.154,0.096,0.269,0.077,0.339,0.687,0.647,0.768,15.5,33.32785965616357,100.85000000000001,0.36106,0.2755044651162791,LAD,86.0,76.0,15.0,12.0,3.0,10.0,9.0,4.0,0.197,0.267,0.368,0.765,0.326,0.07,-1.9,-13.25,,,,132.0,113.0,2024-2025
254,Estevan Florial,664314,0.448,0.207,0.276,0.103,0.362,0.155,0.248,0.786,0.578,0.63,17.5,30.201786584334087,102.81,0.3307719298245614,0.2479472,CLE,110.0,98.0,17.0,11.0,3.0,11.0,2.0,1.0,0.173,0.264,0.367,0.167,0.373,0.1,-2.66,-14.5,,,,,,2024-2025
255,Eugenio Suarez,553993,0.323,0.37,0.225,0.128,0.378,0.267,0.29,0.682,0.687,0.799,22.0,26.94349719388799,105.96000000000001,0.4244012422360248,0.3280251644787645,SEA,1297.0,1159.0,278.0,181.0,79.0,219.0,6.0,2.0,0.24,0.307,0.495,0.031,0.287,0.073,9.5,4.4,93.0,92.0,141.0,79.0,132.0,2024-2025
256,Evan Carter,694497,0.392,0.259,0.251,0.059,0.357,0.161,0.194,0.614,0.753,0.828,14.0,29.936375845014737,102.92,0.3361411764705882,0.30267111023622045,TEX,382.0,338.0,75.0,54.0,10.0,40.0,16.0,2.0,0.222,0.309,0.379,0.202,0.22,0.089,0.13,0.21,,101.0,,128.0,96.0,2024-2025
257,Everson Pereira,677592,0.421,0.316,0.211,0.079,0.316,0.184,0.235,0.731,0.542,0.66,17.5,32.7561901678156,106.71000000000001,0.3537105263157895,0.25124657534246575,TB,73.0,65.0,9.0,7.0,2.0,8.0,2.0,0.0,0.138,0.219,0.246,0.154,0.384,0.096,-2.85,-23.38,,,,112.0,100.0,2024-2025
258,Ezequiel Duran,677649,0.447,0.215,0.229,0.031,0.307,0.092,0.385,0.726,0.754,0.852,13.0,33.929456961471196,103.69,0.3002324929971989,0.2514249880478088,TEX,503.0,473.0,111.0,42.0,3.0,34.0,12.0,4.0,0.235,0.276,0.304,0.143,0.235,0.044,-0.71,-0.85,108.0,92.0,80.0,122.0,109.0,2024-2025
259,Ezequiel Tovar,678662,0.349,0.313,0.271,0.091,0.422,0.189,0.43,0.821,0.673,0.786,18.0,27.213223813460893,104.1,0.400603305785124,0.30302685154061626,COL,1073.0,1015.0,267.0,127.0,35.0,111.0,11.0,8.0,0.263,0.295,0.444,0.09,0.278,0.041,5.83,3.26,121.0,94.0,97.0,98.0,112.0,2024-2025
260,Fernando Tatis Jr.,665487,0.479,0.256,0.216,0.125,0.319,0.114,0.257,0.721,0.726,0.816,9.0,28.02581664456725,108.8,0.4423233766233766,0.3830376862745098,SD,1129.0,992.0,268.0,175.0,46.0,120.0,43.0,10.0,0.27,0.356,0.464,0.174,0.199,0.107,10.41,5.53,98.0,105.0,105.0,114.0,120.0,2024-2025
261,Forrest Wall,657088,0.542,0.333,0.125,0.0,0.208,0.167,0.295,0.706,0.636,0.771,5.0,31.51946143694975,98.83,0.257375,0.23648571428571433,MIA,35.0,32.0,8.0,4.0,0.0,1.0,4.0,3.0,0.25,0.314,0.25,0.636,0.229,0.086,-2.51,-43.08,,,,,100.0,2024-2025
262,Francisco Alvarez,682626,0.504,0.219,0.222,0.091,0.305,0.108,0.284,0.652,0.681,0.767,7.0,29.397513724716948,107.12,0.370360201511335,0.3083599886731392,NYM,619.0,554.0,136.0,71.0,22.0,79.0,1.0,1.0,0.245,0.321,0.422,0.014,0.257,0.092,1.34,1.3,86.0,98.0,112.0,80.0,105.0,2024-2025
263,Francisco Lindor,596019,0.37,0.294,0.255,0.111,0.364,0.191,0.265,0.685,0.778,0.836,16.0,28.596330742147742,104.7,0.41037869822485207,0.366198733615222,NYM,1421.0,1262.0,339.0,224.0,64.0,177.0,59.0,10.0,0.269,0.343,0.481,0.198,0.182,0.085,15.08,6.37,101.0,103.0,115.0,107.0,132.0,2024-2025
264,Freddie Freeman,518692,0.401,0.301,0.265,0.097,0.416,0.155,0.275,0.749,0.763,0.809,16.0,25.085788866506345,104.48,0.40287429218573045,0.36216243509615387,LAD,1265.0,1098.0,318.0,162.0,46.0,179.0,15.0,4.0,0.29,0.373,0.49,0.055,0.18,0.109,10.9,5.17,115.0,101.0,111.0,75.0,126.0,2024-2025
265,Freddy Fermin,666023,0.496,0.229,0.203,0.037,0.305,0.108,0.311,0.726,0.767,0.859,9.0,29.765924467288574,102.3,0.31207532956685496,0.27846793767705386,SD,707.0,658.0,172.0,72.0,11.0,62.0,3.0,2.0,0.261,0.308,0.353,0.028,0.185,0.059,1.26,1.07,105.0,96.0,77.0,84.0,103.0,2024-2025
266,Gabriel Arias,672356,0.503,0.199,0.245,0.104,0.354,0.104,0.392,0.776,0.6,0.69,8.0,30.57352572369279,107.69999999999999,0.4123413333333334,0.2901736523809524,CLE,631.0,585.0,129.0,59.0,14.0,69.0,13.0,6.0,0.221,0.269,0.361,0.16,0.341,0.052,0.37,0.35,98.0,91.0,96.0,100.0,115.0,2024-2025
267,Gabriel Moreno,672515,0.448,0.234,0.261,0.066,0.382,0.098,0.236,0.598,0.817,0.861,12.0,26.66040618197013,104.1,0.35873443983402487,0.3367532427480916,ARI,660.0,582.0,160.0,83.0,14.0,85.0,5.0,3.0,0.275,0.353,0.405,0.043,0.159,0.106,2.71,2.47,108.0,106.0,90.0,95.0,96.0,2024-2025
268,Gage Workman,669398,0.556,0.333,0.111,0.111,0.444,0.111,0.385,0.808,0.452,0.619,13.0,17.109938632268673,101.28,0.5475555555555556,0.3310588235294118,CWS,17.0,16.0,3.0,0.0,0.0,2.0,1.0,0.0,0.188,0.235,0.25,0.333,0.412,0.059,-2.87,-101.25,,,,,108.0,2024-2025
269,Garrett Cooper,643265,0.389,0.306,0.264,0.097,0.486,0.139,0.37,0.572,0.705,0.805,14.5,25.195138264658794,104.39,0.43077777777777776,0.32203779310344827,BOS,116.0,107.0,22.0,6.0,1.0,11.0,0.0,0.0,0.206,0.267,0.299,0.0,0.302,0.06,-2.82,-14.59,,,,,,2024-2025
270,Garrett Hampson,641658,0.392,0.292,0.215,0.038,0.311,0.129,0.253,0.622,0.772,0.835,20.0,32.78638577796129,100.44000000000001,0.2868529411764706,0.2383481012658228,STL,317.0,290.0,59.0,35.0,0.0,17.0,10.0,3.0,0.203,0.265,0.262,0.191,0.278,0.079,-2.02,-3.83,,,,,,2024-2025
271,Garrett Mitchell,669003,0.547,0.174,0.244,0.081,0.331,0.087,0.192,0.678,0.662,0.749,4.0,30.884528054794927,105.96000000000001,0.4015207100591716,0.3066895719063545,MIL,299.0,264.0,63.0,42.0,8.0,24.0,14.0,4.0,0.239,0.324,0.417,0.257,0.321,0.107,-0.24,-0.49,,,,127.0,76.0,2024-2025
